Keyword Phrase,Magnet IQ Score,Search Volume,Search Volume Trend,Competing Products,CPR,Cluster,Subcluster
christmas gifts for nurses,17.0,844.0,147.0,50000.0,11, for family,2
college christmas gifts,42.0,845.0,199.0,20000.0,11, for family,2
things for christmas,11.0,845.0,77.0,80000.0,11, for family,6
christmas presents for parents,85.0,845.0,170.0,10000.0,11, for family,1
christmas gifts for co workers,42.0,847.0,65.0,20000.0,11, for family,2
family christmas gift,8.0,847.0,114.0,100000.0,11, for family,1
toddler christmas gift,8.0,847.0,120.0,100000.0,11, for family,2
unique family christmas gifts,9.0,909.0,203.0,100000.0,12, for family,1
chrismas gifts,6.0,1163.0,65.0,200000.0,26, for family,2
couples gifts for christmas,29.0,1164.0,205.0,40000.0,26, for family,2
christmas office gifts,12.0,1166.0,127.0,100000.0,26, for family,2
presents for grandma,20.0,1209.0,55.0,60000.0,26, for family,3
christmas inexpensive gifts,202.0,1209.0,214.0,6000.0,26, for family,9
family gifts for christmas,13.0,1287.0,223.0,100000.0,26, for family,1
christmas small gifts,7.0,1365.0,138.0,200000.0,26, for family,9
best christmas gifts,15.0,1535.0,55.0,100000.0,26, for family,2
office christmas gifts,16.0,1588.0,169.0,100000.0,26, for family,2
good christmas gifts,16.0,1588.0,96.0,100000.0,26, for family,6
winter gifts,16.0,1609.0,106.0,100000.0,27, for family,2
work christmas gifts,16.0,1611.0,212.0,100000.0,26, for family,2
couple christmas gifts,46.0,1830.0,151.0,40000.0,26, for family,2
halloween gifts,18.0,1836.0,-23.0,100000.0,30, for family,2
christmas gift for grandma,18.0,1839.0,149.0,100000.0,27, for family,3
grandma gifts for christmas,18.0,1839.0,629.0,100000.0,27, for family,3
christmas themed gifts,23.0,2279.0,133.0,100000.0,27, for family,2
thanksgiving gifts for family,23.0,2316.0,247.0,100000.0,27, for family,1
christmas gifts for grandparents,116.0,2318.0,178.0,20000.0,27, for family,3
cute christmas gifts,23.0,2318.0,197.0,100000.0,27, for family,6
grandparents christmas gifts,121.0,2429.0,338.0,20000.0,27, for family,3
fun christmas gifts,24.0,2429.0,165.0,100000.0,27, for family,6
gifts for operation christmas child,1215.0,2429.0,182.0,2000.0,27, for family,2
christmas gifts for employees,243.0,2431.0,208.0,10000.0,27, for family,2
unusual christmas gifts,811.0,2434.0,247.0,3000.0,27, for family,2
top christmas gifts,27.0,2686.0,259.0,100000.0,27, for family,2
cool stuff for christmas,150.0,2998.0,140.0,20000.0,28, for family,6
christmas gifts for family,33.0,3276.0,114.0,100000.0,28, for family,1
gifts for christmas,17.0,3304.0,112.0,200000.0,29, for family,2
xmas gifts,37.0,3706.0,60.0,100000.0,31, for family,2
small christmas gifts,23.0,4682.0,178.0,200000.0,30, for family,9
cool christmas gifts,47.0,4689.0,222.0,100000.0,30, for family,6
family christmas gifts,49.0,4909.0,172.0,100000.0,30, for family,1
unique christmas gifts,54.0,5428.0,229.0,100000.0,31, for family,2
cheap christmas gifts,57.0,5681.0,227.0,100000.0,31, for family,9
grandma christmas gifts,129.0,6443.0,249.0,50000.0,33, for family,3
gifts for grandparents,184.0,7355.0,121.0,40000.0,34, for family,3
secret santa gifts,1317.0,10535.0,276.0,8000.0,37, for family,2
holiday gifts,97.0,19396.0,286.0,200000.0,48, for family,2
toddler christmas gifts,361.0,36124.0,142.0,100000.0,67, for family,2
mens christmas gifts,938.0,93817.0,905.0,100000.0,136, for family,4
christmas gifts,1458.0,291619.0,156.0,200000.0,375, for family,2
