Keyword Phrase,Magnet IQ Score,Search Volume,Search Volume Trend,Competing Products,CPR,Cluster,Subcluster
boyfriends dad christmas gifts,2.0,445.0,116.0,200000.0,8, for dad,3
christmas dad gifts,4.0,447.0,752.0,100000.0,8, for dad,3
boyfriends dad gifts,15.0,447.0,224.0,30000.0,8, for dad,7
dads birthday gifts,5.0,452.0,12.0,100000.0,8, for dad,1
fathers gifts,5.0,458.0,45.0,100000.0,8, for dad,7
dad's birthday gifts,5.0,461.0,-2.0,100000.0,8, for dad,1
gofts for dads,5.0,463.0,22.0,100000.0,8, for dad,2
dads gifts,5.0,465.0,78.0,100000.0,8, for dad,9
father gift,5.0,482.0,5.0,100000.0,9, for dad,5
unique gifts for dad,520.0,484.0,82.0,931.0,9, for dad,9
gufts for dad,5.0,484.0,124.0,100000.0,9, for dad,2
gifts for your dad,5.0,486.0,30.0,100000.0,9, for dad,9
christmas gift for dad from daughter,27.0,534.0,100.0,20000.0,9, for dad,9
good christmas gifts for dad,5.0,534.0,231.0,100000.0,9, for dad,3
birthday presents for dad,29.0,573.0,-8.0,20000.0,9, for dad,1
presents for dads,7.0,573.0,34.0,80000.0,9, for dad,9
birthday for dad,7.0,642.0,-9.0,90000.0,10, for dad,0
christmas gifts dad,9.0,713.0,700.0,80000.0,10, for dad,3
cool dad gifts,18.0,713.0,30.0,40000.0,10, for dad,9
good gifts for dad,14.0,713.0,22.0,50000.0,10, for dad,9
present for dad,9.0,713.0,14.0,80000.0,10, for dad,9
gifts for fathers,7.0,713.0,16.0,100000.0,10, for dad,7
gifts fir dad,7.0,713.0,32.0,100000.0,10, for dad,5
cool gifts for dad,9.0,773.0,13.0,90000.0,11, for dad,9
gifts for dad birthday,8.0,844.0,-7.0,100000.0,11, for dad,1
gift for dads,8.0,844.0,26.0,100000.0,11, for dad,9
gifts for boyfriends dad,30.0,907.0,47.0,30000.0,12, for dad,9
best gifts for dad,12.0,1164.0,36.0,100000.0,26, for dad,9
gifts for father,13.0,1290.0,46.0,100000.0,26, for dad,9
gifts for dad's birthdays,15.0,1366.0,98.0,90000.0,26, for dad,1
fathers birthday gifts,15.0,1533.0,-3.0,100000.0,26, for dad,1
father christmas gifts,15.0,1535.0,145.0,100000.0,26, for dad,3
gofts for dad,18.0,1761.0,58.0,100000.0,26, for dad,2
fathers day gifts,18.0,1837.0,-16.0,100000.0,27, for dad,7
father gifts,18.0,1846.0,37.0,100000.0,27, for dad,7
father birthday gifts,21.0,2085.0,-24.0,100000.0,27, for dad,1
gifts for dad who have everything,521.0,2085.0,6.0,4000.0,27, for dad,6
presents for dad,32.0,2557.0,45.0,80000.0,28, for dad,9
christmas presents for dad,38.0,2686.0,141.0,70000.0,27, for dad,3
birthday gift for dad,31.0,3086.0,-10.0,100000.0,29, for dad,0
gifts for dad who wants nothing,1651.0,3301.0,59.0,2000.0,29, for dad,6
christmas gifts for dads,52.0,4123.0,283.0,80000.0,29, for dad,3
dad birthday gifts,41.0,4124.0,31.0,100000.0,29, for dad,1
dad gifts for birthday,54.0,5430.0,12.0,100000.0,31, for dad,1
new dad gifts,188.0,5641.0,8.0,30000.0,32, for dad,9
dad gift,64.0,6429.0,37.0,100000.0,32, for dad,5
cool birthday gifts dad,322.0,6433.0,49.0,20000.0,32, for dad,0
birthday gifts for dad,88.0,8849.0,-9.0,100000.0,38, for dad,1
gift for dad,104.0,10369.0,50.0,100000.0,37, for dad,6
gifts for dads,116.0,11635.0,80.0,100000.0,38, for dad,9
dad birthday gift,150.0,13524.0,-44.0,90000.0,43, for dad,0
dad christmas gifts,268.0,18794.0,253.0,70000.0,47, for dad,3
christmas gifts for dad,395.0,27656.0,264.0,70000.0,59, for dad,3
dad gifts,610.0,60977.0,90.0,100000.0,98, for dad,5
gifts for dad,938.0,93830.0,69.0,100000.0,139, for dad,9
