Keyword Phrase,Magnet IQ Score,Search Volume,Search Volume Trend,Competing Products,CPR,Cluster,Subcluster
cute things for boyfriend,201.0,401.0,-14.0,2000.0,8, for guy friend,6
gift for guy friend,21.0,410.0,6.0,20000.0,8, for guy friend,8
cool guy gifts,52.0,417.0,6.0,8000.0,8, for guy friend,8
boyfriends gifts,5.0,419.0,301.0,90000.0,8, for guy friend,2
young adult male gifts,105.0,419.0,261.0,4000.0,8, for guy friend,1
gift for guy,11.0,424.0,-1.0,40000.0,8, for guy friend,8
gift for college student male,106.0,424.0,142.0,4000.0,8, for guy friend,0
good gifts for boyfriend,14.0,427.0,24.0,30000.0,8, for guy friend,6
teen guy gifts,143.0,429.0,191.0,3000.0,8, for guy friend,5
guy best friend gifts,43.0,431.0,12.0,10000.0,8, for guy friend,8
gifts for your bf,216.0,431.0,17.0,2000.0,8, for guy friend,6
gag gifts for boyfriend,56.0,447.0,72.0,8000.0,8, for guy friend,2
funny gifts for guys,50.0,447.0,160.0,9000.0,8, for guy friend,7
best mens gifts,4.0,447.0,230.0,100000.0,8, for guy friend,7
male gift,5.0,450.0,-15.0,100000.0,8, for guy friend,1
best gifts for daughters boyfriend,23.0,450.0,,20000.0,8, for guy friend,6
male gifts for birthday,5.0,454.0,-1.0,100000.0,8, for guy friend,3
gifts for new boyfriend,47.0,466.0,-8.0,10000.0,8, for guy friend,6
christmas guy gifts,0.0,466.0,,-2.0,8, for guy friend,8
cute sentimental gifts for boyfriend,234.0,468.0,-30.0,2000.0,8, for guy friend,6
mens funny gifts,5.0,470.0,25.0,100000.0,8, for guy friend,7
birthday presents for boyfriend,47.0,472.0,-3.0,10000.0,8, for guy friend,2
gifts for college students male,119.0,477.0,534.0,4000.0,8, for guy friend,0
sentimental gifts for boyfriend,161.0,482.0,8.0,3000.0,9, for guy friend,2
bf gift,161.0,482.0,-13.0,3000.0,9, for guy friend,6
college essentials for guys,737.0,486.0,-8.0,659.0,9, for guy friend,0
gifts for 25 year old male,833.0,573.0,7.0,688.0,9, for guy friend,1
guy birthday gifts,29.0,574.0,-18.0,20000.0,9, for guy friend,3
guys gifts,16.0,642.0,14.0,40000.0,10, for guy friend,8
gifts for guy friends,32.0,642.0,10.0,20000.0,10, for guy friend,8
mens unique gifts,6.0,642.0,15.0,100000.0,10, for guy friend,1
gifts for guys who have everything,644.0,644.0,30.0,1000.0,10, for guy friend,8
unique mens gifts,6.0,644.0,29.0,100000.0,10, for guy friend,1
guy gift,21.0,644.0,14.0,30000.0,10, for guy friend,8
cool gifts for guys,36.0,713.0,21.0,20000.0,10, for guy friend,4
mens anniversary gifts,7.0,713.0,0.0,100000.0,10, for guy friend,3
gifts to get your boyfriend,71.0,714.0,18.0,10000.0,10, for guy friend,6
gifts for boss male,77.0,773.0,-20.0,10000.0,11, for guy friend,9
young mens gifts,39.0,773.0,107.0,20000.0,11, for guy friend,1
male christmas gifts,8.0,812.0,128.0,100000.0,11, for guy friend,1
funny mens gifts,8.0,844.0,29.0,100000.0,11, for guy friend,7
mens birthday gift,8.0,844.0,-19.0,100000.0,11, for guy friend,3
college gifts for guys,169.0,847.0,4.0,5000.0,11, for guy friend,0
cool mens gifts,9.0,907.0,27.0,100000.0,12, for guy friend,9
mens birthday gifts unique,9.0,907.0,-4.0,100000.0,12, for guy friend,3
male gifts,9.0,909.0,32.0,100000.0,12, for guy friend,1
mens gifts for birthday unique,12.0,1164.0,-25.0,100000.0,26, for guy friend,3
gift for bf,389.0,1166.0,11.0,3000.0,26, for guy friend,6
funny male gifts,17.0,1166.0,31.0,70000.0,26, for guy friend,7
gifts for male friends,13.0,1285.0,24.0,100000.0,26, for guy friend,1
teenage boyfriend gifts,447.0,1340.0,27.0,3000.0,26, for guy friend,5
cute boyfriend gifts,67.0,1349.0,-14.0,20000.0,26, for guy friend,6
cool gifts for male boss,342.0,1366.0,146.0,4000.0,26, for guy friend,9
boyfriend gifts for birthday,14.0,1377.0,0.0,100000.0,26, for guy friend,2
best gift for boyfriend,14.0,1379.0,-19.0,100000.0,26, for guy friend,6
birthday gift for boyfriend,16.0,1581.0,-11.0,100000.0,26, for guy friend,2
mens christmas gift,16.0,1581.0,173.0,100000.0,26, for guy friend,1
gifts for boyfriends,18.0,1588.0,28.0,90000.0,26, for guy friend,2
gifts for college guys,441.0,1763.0,64.0,4000.0,26, for guy friend,0
boyfriend birthday gifts,18.0,1765.0,-19.0,100000.0,26, for guy friend,2
meaningful gifts for boyfriend,228.0,1827.0,13.0,8000.0,26, for guy friend,6
cool college gifts for guys,915.0,1830.0,56.0,2000.0,26, for guy friend,0
anniversary gifts for boyfriend,46.0,1834.0,-8.0,40000.0,26, for guy friend,2
gifts for boyfriend birthday,31.0,1837.0,-26.0,60000.0,26, for guy friend,2
cool gifts for college guys,1140.0,2279.0,21.0,2000.0,27, for guy friend,0
cute christmas gifts for boyfriend,228.0,2282.0,171.0,10000.0,27, for guy friend,6
college care package for guys,7495.0,2286.0,-46.0,305.0,27, for guy friend,0
cute gifts for boyfriend,149.0,2982.0,-12.0,20000.0,28, for guy friend,6
gifts for guys in their 20's,5590.0,3276.0,70.0,586.0,28, for guy friend,4
mens birthday gifts,42.0,4162.0,-14.0,100000.0,30, for guy friend,3
gifts for guys,74.0,5171.0,50.0,70000.0,30, for guy friend,8
guy gifts,136.0,5430.0,27.0,40000.0,31, for guy friend,8
mens gifts for birthday,57.0,5720.0,-24.0,100000.0,31, for guy friend,3
birthday gifts for boyfriend,64.0,6438.0,-11.0,100000.0,33, for guy friend,2
gift for boyfriend,98.0,8851.0,-8.0,90000.0,35, for guy friend,6
boyfriend christmas gifts,257.0,12829.0,331.0,50000.0,39, for guy friend,2
mens gifts for christmas,188.0,18794.0,6444.0,100000.0,47, for guy friend,1
mens gifts,1359.0,135899.0,91.0,100000.0,187, for guy friend,1
