Keyword Phrase,Magnet IQ Score,Search Volume,Search Volume Trend,Competing Products,CPR,Cluster,Subcluster
raffle prizes for adults,3987.0,909.0,-20.0,228.0,12, for adult,3
christmas treats for adults,91.0,909.0,171.0,10000.0,12, for adult,9
gifts for old people,56.0,1113.0,56.0,20000.0,26, for adult,5
trivia books for adults,116.0,1163.0,4.0,10000.0,26, for adult,6
bingo prizes for adults,2638.0,1166.0,-2.0,442.0,26, for adult,3
books for adults,12.0,1210.0,-35.0,100000.0,26, for adult,2
fun christmas gifts for adults,14.0,1287.0,104.0,90000.0,26, for adult,9
small gifts for adults,13.0,1343.0,88.0,100000.0,26, for adult,9
food gifts for adults,171.0,1365.0,59.0,8000.0,26, for adult,9
science gifts for adults,195.0,1366.0,41.0,7000.0,26, for adult,8
gifts for elderly,46.0,1382.0,93.0,30000.0,26, for adult,5
college student fun gifts,383.0,1533.0,38.0,4000.0,26, for adult,1
gift for adults,16.0,1581.0,64.0,100000.0,26, for adult,9
adult gifts for prizes,158.0,1584.0,,10000.0,26, for adult,3
grab bag gifts for adults,882.0,1763.0,94.0,2000.0,26, for adult,9
gifts for adult brothers,88.0,1765.0,3.0,20000.0,26, for adult,4
white elephant gifts for adults unique,177.0,1765.0,791.0,10000.0,26, for adult,7
gifts for young adults,61.0,1827.0,106.0,30000.0,26, for adult,9
useful gifts for elderly,9010.0,1829.0,67.0,203.0,26, for adult,5
gift for adults who have everything,610.0,1829.0,99.0,3000.0,26, for adult,9
young adult gifts,61.0,1839.0,37.0,30000.0,26, for adult,9
christmas gifts for adults,24.0,2429.0,133.0,100000.0,27, for adult,9
fun gifts for adults,24.0,2431.0,97.0,100000.0,27, for adult,1
history books for adults,24.0,2433.0,48.0,100000.0,27, for adult,2
adult gifts,24.0,2434.0,52.0,100000.0,27, for adult,9
brother adult gifts,165.0,3299.0,144.0,20000.0,28, for adult,4
gifts for adults,35.0,3457.0,62.0,100000.0,29, for adult,9
funny gifts for adults,41.0,4123.0,204.0,100000.0,29, for adult,1
prizes for adults,206.0,4124.0,1.0,20000.0,29, for adult,3
gifts for adult white elephant,591.0,4137.0,,7000.0,29, for adult,7
gifts for brother adult,208.0,4167.0,44.0,20000.0,30, for adult,4
gifts for adults who have everything,1170.0,4681.0,30.0,4000.0,30, for adult,9
unisex gifts for adults,52.0,5161.0,108.0,100000.0,30, for adult,9
white elephant gifts for adults useful,11201.0,11201.0,468.0,1000.0,38, for adult,7
