Keyword Phrase,Magnet IQ Score,Search Volume,Search Volume Trend,Competing Products,CPR,Cluster,Subcluster
presents for 6 year old girls,122.0,367.0,80.0,3000.0,8, for kids(5-10),6
gifts for girls 7,4.0,369.0,29.0,100000.0,8, for kids(5-10),0
gifts for girls 6 years old,19.0,371.0,,20000.0,8, for kids(5-10),6
girls gifts 7 year old,46.0,371.0,706.0,8000.0,8, for kids(5-10),0
gifts for 9 yr old girls,74.0,371.0,66.0,5000.0,8, for kids(5-10),7
birthday gifts for 7 year old girl,93.0,371.0,0.0,4000.0,8, for kids(5-10),0
best gifts for kids 10-12,0.0,371.0,,0.0,8, for kids(5-10),2
best gifts for kids who love sports,0.0,371.0,,0.0,8, for kids(5-10),3
christmas gifts for kids 5-8 girls,0.0,371.0,,0.0,8, for kids(5-10),4
trending gifts for kids,373.0,373.0,-23.0,1000.0,8, for kids(5-10),3
thanksgiving gifts for kids at school,0.0,373.0,,0.0,8, for kids(5-10),3
toddler girl 4 year old gifts,0.0,373.0,,0.0,8, for kids(5-10),5
gifts for a 8 year-old girl,0.0,374.0,,0.0,8, for kids(5-10),1
gifts for preschool teachers,63.0,376.0,34.0,6000.0,8, for kids(5-10),3
cool christmas presents for kids,4.0,376.0,16.0,100000.0,8, for kids(5-10),3
christmas gifts for 5 year old,75.0,376.0,42.0,5000.0,8, for kids(5-10),4
birthday gifts 6 year old girl,63.0,378.0,-12.0,6000.0,8, for kids(5-10),6
5 year girl birthday gift,19.0,378.0,-12.0,20000.0,8, for kids(5-10),9
9 yo girl birthday gift,578.0,378.0,-14.0,654.0,8, for kids(5-10),7
girl presents for 7 year old,191.0,381.0,-4.0,2000.0,8, for kids(5-10),0
holiday teacher gifts,4.0,381.0,125.0,100000.0,8, for kids(5-10),3
girls 6 year old gifts,48.0,381.0,78.0,8000.0,8, for kids(5-10),6
gift for 5 year old girls most popular,664.0,381.0,19.0,574.0,8, for kids(5-10),9
kids 10 year old gifts,0.0,381.0,,0.0,8, for kids(5-10),2
best 5 year old girl gifts,48.0,383.0,125.0,8000.0,8, for kids(5-10),9
birthday gifts for 1 year old baby,0.0,383.0,,0.0,8, for kids(5-10),8
housewarming gifts for kids,13.0,387.0,37.0,30000.0,8, for kids(5-10),3
gifts for 6-7 year old girls,77.0,387.0,55.0,5000.0,8, for kids(5-10),6
gifts for 8 year old girls trendy ,825.0,387.0,89.0,469.0,8, for kids(5-10),1
8 yr old girl gifts,56.0,392.0,237.0,7000.0,8, for kids(5-10),1
birthday gifts 8 year old girls,65.0,392.0,-10.0,6000.0,8, for kids(5-10),1
age 6 girls gifts,8.0,394.0,1.0,50000.0,8, for kids(5-10),6
kids birthday gifts,4.0,396.0,-14.0,100000.0,8, for kids(5-10),8
kids 8-12 gifts,6.0,396.0,1.0,70000.0,8, for kids(5-10),2
gifts for christmas for kids,1.0,397.0,,300000.0,8, for kids(5-10),3
girls gifts age 8,7.0,401.0,112.0,60000.0,8, for kids(5-10),1
gifts for 7yr old girls,80.0,401.0,-2.0,5000.0,8, for kids(5-10),0
gifts for 5yr old girls,57.0,401.0,36.0,7000.0,8, for kids(5-10),9
gifts for 5 yr old girls,20.0,401.0,279.0,20000.0,8, for kids(5-10),9
gifts for 6 years old girls,45.0,401.0,45.0,9000.0,8, for kids(5-10),6
gifts for 8-9 year old girls,100.0,401.0,490.0,4000.0,8, for kids(5-10),1
girl birthday gifts age 6-7,13.0,401.0,-50.0,30000.0,8, for kids(5-10),6
best gifts for 4 year old girls,40.0,403.0,5.0,10000.0,8, for kids(5-10),5
4 year old girls birthday gifts,81.0,403.0,10.0,5000.0,8, for kids(5-10),5
best 7 year old gifts,81.0,403.0,1282.0,5000.0,8, for kids(5-10),0
birthday gift for 8+ year old girl,20.0,403.0,2.0,20000.0,8, for kids(5-10),1
top 8 year old girls gifts,403.0,403.0,,1000.0,8, for kids(5-10),1
girls gifts age 5,8.0,404.0,-15.0,50000.0,8, for kids(5-10),9
gifts for girls 8,13.0,404.0,36.0,30000.0,8, for kids(5-10),1
gifts for 8year old girls,51.0,404.0,15.0,8000.0,8, for kids(5-10),1
gifts for 7 years old girls,40.0,404.0,50.0,10000.0,8, for kids(5-10),0
gift for a 9 year old girl,102.0,406.0,-12.0,4000.0,8, for kids(5-10),7
best gifts for 8 year olds girls,58.0,406.0,-10.0,7000.0,8, for kids(5-10),1
pe teacher gifts,408.0,408.0,30.0,1000.0,8, for kids(5-10),3
custom teacher gifts,21.0,410.0,64.0,20000.0,8, for kids(5-10),3
birthday gifts for 6 year old girl,68.0,410.0,-12.0,6000.0,8, for kids(5-10),6
big gifts for 8 year old girls,41.0,410.0,-4.0,10000.0,8, for kids(5-10),1
christmas gift 8 year old girl,103.0,410.0,-2.0,4000.0,8, for kids(5-10),1
teachers gift,4.0,411.0,-3.0,100000.0,8, for kids(5-10),3
girl gifts age 5,6.0,413.0,0.0,70000.0,8, for kids(5-10),9
kid birthday gift,4.0,413.0,-7.0,100000.0,8, for kids(5-10),8
8 year old girl gifts christmas,104.0,415.0,48.0,4000.0,8, for kids(5-10),1
gifts for girls age 4,8.0,417.0,441.0,50000.0,8, for kids(5-10),5
gifts for 8 year old girls best sellers,464.0,417.0,8.0,899.0,8, for kids(5-10),1
5th grade girl gifts,417.0,417.0,-3.0,1000.0,8, for kids(5-10),9
birthday gift for girls 6-8,10.0,417.0,7.0,40000.0,8, for kids(5-10),6
best gifts for 7 year old,52.0,419.0,157.0,8000.0,8, for kids(5-10),0
7 year old birthday gifts girl,84.0,419.0,-18.0,5000.0,8, for kids(5-10),0
christmas gifts for 6 year old girls,47.0,419.0,201.0,9000.0,8, for kids(5-10),6
best present for 7 years old girl,140.0,419.0,-31.0,3000.0,8, for kids(5-10),0
kids gifts for christmas,4.0,420.0,141.0,100000.0,8, for kids(5-10),3
gifts for 8 years old girls,53.0,420.0,43.0,8000.0,8, for kids(5-10),1
best 4 year old girl gifts,42.0,422.0,31.0,10000.0,8, for kids(5-10),5
best gifts for 8 year old,42.0,422.0,10.0,10000.0,8, for kids(5-10),1
gifts teachers really want,212.0,424.0,64.0,2000.0,8, for kids(5-10),3
christmas presents for 7 year old girl,424.0,424.0,111.0,1000.0,8, for kids(5-10),0
gifts for 7-8 year old girls,71.0,424.0,21.0,6000.0,8, for kids(5-10),0
girls 5 year old gifts,42.0,424.0,47.0,10000.0,8, for kids(5-10),9
coolest gift for 7 year old girl,683.0,424.0,55.0,621.0,8, for kids(5-10),0
8 yo girl birthday gift,536.0,426.0,7.0,795.0,8, for kids(5-10),1
gifts kids,2.0,427.0,21.0,200000.0,8, for kids(5-10),3
birthday gifts 5 year old girl,71.0,427.0,-11.0,6000.0,8, for kids(5-10),9
gift for 9 year old,85.0,427.0,6.0,5000.0,8, for kids(5-10),7
9 years old girl gift,71.0,427.0,0.0,6000.0,8, for kids(5-10),7
christmas for kids 8-12,9.0,427.0,25.0,50000.0,8, for kids(5-10),2
girls gifts age 6,9.0,429.0,102.0,50000.0,8, for kids(5-10),6
inexpensive kids gifts,21.0,429.0,16.0,20000.0,8, for kids(5-10),3
stuff for 6 year old girls,143.0,429.0,9.0,3000.0,8, for kids(5-10),6
big gifts for 6 year old girl,22.0,431.0,195.0,20000.0,8, for kids(5-10),6
best gift 8 year girl,48.0,431.0,-5.0,9000.0,8, for kids(5-10),1
best gifts for 6 year old girl ,779.0,431.0,,553.0,8, for kids(5-10),6
trending gifts for 7 year old girl,797.0,431.0,,541.0,8, for kids(5-10),0
turtle gifts for kids,72.0,433.0,25.0,6000.0,8, for kids(5-10),3
gifts for college kids,22.0,433.0,30.0,20000.0,8, for kids(5-10),3
gifts for girls 6-8 years old,43.0,433.0,260.0,10000.0,8, for kids(5-10),6
gift girls 6-8,5.0,433.0,-2.0,90000.0,8, for kids(5-10),6
unique gifts for 7-8 year old girls,0.0,433.0,,0.0,8, for kids(5-10),0
6 year old girl birthday gifts,73.0,435.0,-10.0,6000.0,8, for kids(5-10),6
girly gifts for girls age 5,435.0,435.0,59.0,1000.0,8, for kids(5-10),9
8 year old girl top gifts,435.0,435.0,,1000.0,8, for kids(5-10),1
coolest gifts for 5 year old girl,0.0,435.0,,0.0,8, for kids(5-10),9
9 year old gift,87.0,436.0,11.0,5000.0,8, for kids(5-10),7
gift for a 7 year old girl,87.0,436.0,7.0,5000.0,8, for kids(5-10),0
kids christmas gifts bulk,2.0,436.0,31.0,200000.0,8, for kids(5-10),3
8 year old girls christmas gifts,44.0,436.0,,10000.0,8, for kids(5-10),1
thank you gifts for teachers,22.0,438.0,17.0,20000.0,8, for kids(5-10),3
girl gifts age 7,11.0,438.0,3.0,40000.0,8, for kids(5-10),0
gifts for 5 years old girls,22.0,438.0,48.0,20000.0,8, for kids(5-10),9
cool kids gifts,4.0,440.0,821.0,100000.0,8, for kids(5-10),3
5 year old girl gifts for birthday,63.0,440.0,-3.0,7000.0,8, for kids(5-10),9
best christmas presents for parents,44.0,440.0,186.0,10000.0,8, for kids(5-10),3
gifts for girls 7 years old,74.0,442.0,29.0,6000.0,8, for kids(5-10),0
childrens gifts,4.0,442.0,133.0,100000.0,8, for kids(5-10),3
birthday gift for 5+ year old girl,22.0,442.0,0.0,20000.0,8, for kids(5-10),9
small teacher gifts,4.0,443.0,9.0,100000.0,8, for kids(5-10),3
large gifts for kids,2.0,443.0,96.0,200000.0,8, for kids(5-10),3
gift for 4 + year old girl,7.0,443.0,11.0,60000.0,8, for kids(5-10),5
girly gifts for girls age 7,443.0,443.0,13.0,1000.0,8, for kids(5-10),0
trending kids gifts,148.0,445.0,-15.0,3000.0,8, for kids(5-10),3
birthday gift for 6 + year old girl,22.0,445.0,-8.0,20000.0,8, for kids(5-10),6
kids 10 years old gifts,74.0,445.0,,6000.0,8, for kids(5-10),2
presents for parents,22.0,447.0,32.0,20000.0,8, for kids(5-10),3
small gifts for teachers,4.0,447.0,33.0,100000.0,8, for kids(5-10),3
best gifts for 7 year old girl,75.0,447.0,62.0,6000.0,8, for kids(5-10),0
gift for 8 year old girls most popular,632.0,447.0,8.0,707.0,8, for kids(5-10),1
best gifts for 7 years old girls,89.0,447.0,,5000.0,8, for kids(5-10),0
best gifts for 8 year old girls,64.0,449.0,11.0,7000.0,8, for kids(5-10),1
5year old girl gifts,22.0,449.0,3.0,20000.0,8, for kids(5-10),9
8 years old girl gift,64.0,449.0,89.0,7000.0,8, for kids(5-10),1
holiday gifts for teachers,11.0,449.0,-7.0,40000.0,8, for kids(5-10),3
christmas gifts for 5-6 year old girls,112.0,449.0,17.0,4000.0,8, for kids(5-10),4
parents gifts,5.0,450.0,318.0,100000.0,8, for kids(5-10),3
7yr old girl gifts,90.0,450.0,45.0,5000.0,8, for kids(5-10),0
christmas gifts for 4-5 year old girls,113.0,450.0,1135.0,4000.0,8, for kids(5-10),4
christmas gifts kids 8-12,15.0,450.0,164.0,30000.0,8, for kids(5-10),2
top gifts for kids,15.0,452.0,268.0,30000.0,8, for kids(5-10),3
things for 7 year old girls,452.0,452.0,21.0,1000.0,8, for kids(5-10),0
birthday gift for 7+ year old girl,23.0,452.0,1.0,20000.0,8, for kids(5-10),0
gifts for 8 yr old girls,65.0,454.0,71.0,7000.0,8, for kids(5-10),1
age 7 girl gifts,11.0,454.0,150.0,40000.0,8, for kids(5-10),0
5year old girl christmas gifts,45.0,454.0,1099.0,10000.0,8, for kids(5-10),4
top gifts for 5 year old girls,91.0,456.0,39.0,5000.0,8, for kids(5-10),9
birthday gifts for 5 year old girl,76.0,458.0,-2.0,6000.0,8, for kids(5-10),9
birthday gifts for girls 5-7,11.0,458.0,-11.0,40000.0,8, for kids(5-10),0
coolest gift for 8 year old girl,736.0,458.0,-41.0,622.0,8, for kids(5-10),1
gift for a 4 year old girl,46.0,459.0,2.0,10000.0,8, for kids(5-10),5
christmas presents for 6 year old girl,459.0,459.0,77.0,1000.0,8, for kids(5-10),6
9year old girl gifts,115.0,461.0,49.0,4000.0,8, for kids(5-10),7
thanksgiving gift for teacher,12.0,461.0,62.0,40000.0,8, for kids(5-10),3
girl 7 year old birthday gifts,115.0,461.0,-17.0,4000.0,8, for kids(5-10),0
4 year old birthday gifts girl,77.0,461.0,-8.0,6000.0,8, for kids(5-10),5
best gift for 8 year old girl,66.0,465.0,-3.0,7000.0,8, for kids(5-10),1
useful gifts for parents,116.0,465.0,14.0,4000.0,8, for kids(5-10),3
best gifts for 6 year old,47.0,465.0,-5.0,10000.0,8, for kids(5-10),6
6year old girl gifts,23.0,466.0,47.0,20000.0,8, for kids(5-10),6
valentines day gifts for kids,7.0,466.0,13.0,70000.0,8, for kids(5-10),3
7 year old gift,78.0,466.0,1.0,6000.0,8, for kids(5-10),0
christmas presents for 8 year old girls,466.0,466.0,89.0,1000.0,8, for kids(5-10),1
gift for 7 year old girls most popular,750.0,466.0,3.0,621.0,8, for kids(5-10),0
stuff for 7 year old girls,466.0,466.0,5.0,1000.0,8, for kids(5-10),0
gifts for 6-8 year old girls,78.0,466.0,42.0,6000.0,8, for kids(5-10),6
girls gifts age 7,12.0,468.0,-5.0,40000.0,8, for kids(5-10),0
gift for kids 8-12 girls,9.0,468.0,-2.0,50000.0,8, for kids(5-10),1
cool 5 year old gifts,156.0,468.0,-13.0,3000.0,8, for kids(5-10),8
birthday present for 5 year old girl,157.0,470.0,-20.0,3000.0,8, for kids(5-10),9
best gifts for 7 year old girls,94.0,470.0,1673.0,5000.0,8, for kids(5-10),0
top gifts for 7 year old girls,470.0,470.0,22.0,1000.0,8, for kids(5-10),0
gift for a 5 year old girl,59.0,470.0,8.0,8000.0,8, for kids(5-10),9
christmas for 7 year old girl,157.0,470.0,142.0,3000.0,8, for kids(5-10),0
gifts for impossible parents,1950.0,470.0,,241.0,8, for kids(5-10),3
best gifts for 5 year old girls,59.0,472.0,37.0,8000.0,8, for kids(5-10),9
trending gifts kids,472.0,472.0,16.0,1000.0,8, for kids(5-10),3
6 year old christmas gifts,47.0,473.0,95.0,10000.0,8, for kids(5-10),6
present for 9 year old girl,237.0,473.0,-1.0,2000.0,8, for kids(5-10),7
christmas gift 5 year old girl,47.0,473.0,1631.0,10000.0,8, for kids(5-10),9
kid gift,2.0,475.0,12.0,200000.0,8, for kids(5-10),8
present for 7 year old girl,238.0,475.0,-23.0,2000.0,8, for kids(5-10),0
9 year old gifts for girls,95.0,475.0,12.0,5000.0,8, for kids(5-10),7
5 gifts for kids,5.0,475.0,25.0,100000.0,8, for kids(5-10),2
presents for kids,5.0,475.0,279.0,100000.0,8, for kids(5-10),3
6 year old girls gifts,24.0,475.0,77.0,20000.0,8, for kids(5-10),6
christmas presents for 5 year old girl,238.0,475.0,56.0,2000.0,8, for kids(5-10),4
christmas for 6 year old girl,119.0,475.0,76.0,4000.0,8, for kids(5-10),6
halloween gifts for kids,5.0,477.0,68.0,100000.0,8, for kids(5-10),3
christmas gift kids,5.0,481.0,42.0,100000.0,9, for kids(5-10),3
birthday gifts for 8 year old girls,80.0,481.0,-18.0,6000.0,9, for kids(5-10),1
best gifts for kids,5.0,481.0,24.0,100000.0,9, for kids(5-10),3
best gifts for 7-8 year olds,80.0,481.0,-48.0,6000.0,9, for kids(5-10),2
diwali gifts for kids,482.0,482.0,252.0,1000.0,9, for kids(5-10),3
gifts for 6+ year old girls,16.0,482.0,1.0,30000.0,9, for kids(5-10),6
6-7 year old girl gifts,48.0,482.0,8.0,10000.0,9, for kids(5-10),6
gift for teachers,5.0,484.0,1.0,100000.0,9, for kids(5-10),3
christmas presents for 9 year old girls,484.0,484.0,197.0,1000.0,9, for kids(5-10),7
top gifts for 6 year old girls,484.0,484.0,31.0,1000.0,9, for kids(5-10),6
best gift for 4 year old girl,48.0,484.0,2.0,10000.0,9, for kids(5-10),5
teacher assistant gifts,81.0,484.0,-8.0,6000.0,9, for kids(5-10),3
9 year old girls gifts,121.0,484.0,130.0,4000.0,9, for kids(5-10),7
8 year old girls gifts,69.0,484.0,21.0,7000.0,9, for kids(5-10),1
8yr old girl gifts,81.0,484.0,2.0,6000.0,9, for kids(5-10),1
8yr old girl christmas gifts,54.0,484.0,446.0,9000.0,9, for kids(5-10),1
gifts for babies 6-12 months,121.0,484.0,61.0,4000.0,9, for kids(5-10),8
things for 8 year old girls,484.0,484.0,4.0,1000.0,9, for kids(5-10),1
6 year old gifts girls,48.0,484.0,7.0,10000.0,9, for kids(5-10),6
7 year old girl birthday gift,121.0,484.0,-25.0,4000.0,9, for kids(5-10),0
birthday gift 7 year old girl,122.0,486.0,-17.0,4000.0,9, for kids(5-10),0
birthday gifts for 4 year old girls,81.0,486.0,-17.0,6000.0,9, for kids(5-10),5
5 year old birthday gift,76.0,534.0,-27.0,7000.0,9, for kids(5-10),8
4 years old girl birthday gift,53.0,534.0,-30.0,10000.0,9, for kids(5-10),5
teacher holiday gifts,13.0,534.0,298.0,40000.0,9, for kids(5-10),3
gifts for 8 yr old girl,67.0,534.0,96.0,8000.0,9, for kids(5-10),1
gift for kids 5-7,6.0,534.0,27.0,90000.0,9, for kids(5-10),2
birthday present for 7 year old girl,535.0,535.0,-1.0,1000.0,9, for kids(5-10),0
gifts for 7 year olds,89.0,535.0,14.0,6000.0,9, for kids(5-10),0
7 year old gifts girl,107.0,535.0,10.0,5000.0,9, for kids(5-10),0
8year old girl christmas gifts,67.0,535.0,,8000.0,9, for kids(5-10),1
gifts for an 8 year old girl,82.0,571.0,10.0,7000.0,9, for kids(5-10),1
birthday present for 6 year old girl,286.0,571.0,-18.0,2000.0,9, for kids(5-10),6
5 year old girls gifts,29.0,571.0,20.0,20000.0,9, for kids(5-10),9
christmas kids gifts,6.0,571.0,150.0,100000.0,9, for kids(5-10),3
christmas for 8 year old girl,143.0,571.0,252.0,4000.0,9, for kids(5-10),1
kids christmas gifts girls ages 5-7,57.0,571.0,82.0,10000.0,9, for kids(5-10),4
big gifts for kids,3.0,573.0,144.0,200000.0,9, for kids(5-10),3
christmas gifts 7 year old girl,191.0,573.0,109.0,3000.0,9, for kids(5-10),0
8 year old gift,57.0,573.0,10.0,10000.0,9, for kids(5-10),1
6-8 year old girl gifts,96.0,573.0,26.0,6000.0,9, for kids(5-10),6
5 year-old girl gift,19.0,573.0,-4.0,30000.0,9, for kids(5-10),9
feel better gifts for kids,19.0,574.0,-1.0,30000.0,9, for kids(5-10),3
cool gifts for parents,2962.0,628.0,392.0,212.0,10, for kids(5-10),3
christmas for 5 year old girl,63.0,628.0,127.0,10000.0,10, for kids(5-10),4
get well gifts for kids,13.0,642.0,-27.0,50000.0,10, for kids(5-10),3
gifts for girls age 7,16.0,642.0,-4.0,40000.0,10, for kids(5-10),0
big christmas gifts for kids,6.0,642.0,49.0,100000.0,10, for kids(5-10),3
7 year old girl gifts best sellers,703.0,642.0,9.0,913.0,10, for kids(5-10),0
gifts for 6 year olds,64.0,642.0,13.0,10000.0,10, for kids(5-10),6
christmas gifts for 5 year old girl,64.0,642.0,120.0,10000.0,10, for kids(5-10),4
cool things for 8 year old,642.0,642.0,,1000.0,10, for kids(5-10),1
birthday gift 5 year old girl,107.0,644.0,-11.0,6000.0,10, for kids(5-10),9
birthday present for 4 year old girl,322.0,644.0,-16.0,2000.0,10, for kids(5-10),5
christmas gifts 8 year old girl,161.0,644.0,41.0,4000.0,10, for kids(5-10),1
8 year old gifts for girls,92.0,644.0,15.0,7000.0,10, for kids(5-10),1
christmas gift for parents,13.0,644.0,220.0,50000.0,10, for kids(5-10),3
top 10 kids gifts,161.0,644.0,867.0,4000.0,10, for kids(5-10),2
