"关键词词组","ABA总计 点击份额","ABA总计 转化份额","关键词销量","Magnet IQ得分","搜索量","搜索量趋势","H10 PPC 建议出价","H10 PPC 建议最低出价","H10 PPC 建议最高出价","广告推广ASIN 数","竞品数","CPR","自然","标题密度","Smart Complete","亚马逊推荐"
"candle warmer lights",,,1,256,256,17,,,,323,">1,000",8,1,1,1,0
"lamp with candle warmer",24.3,14.3,8,421,421,6,0.96,0.69,1.29,296,">1,000",8,1,0,1,0
"unique candle warmer lamp",34.6,50,4,871,296,15,,,,210,340,8,1,0,1,1
"candle lamp warmer",19.8,12.6,826,"22,423","22,423",60,0.89,0.56,1.21,476,">1,000",55,1,14,1,1
"seen last candle warmer lamp",,,10,576,301,-1,,,,176,523,8,1,0,1,1
"candle warmer electric wax melt lamp",,,5,271,271,-25,,,,165,">1,000",8,1,0,1,0
"candle warmer lamp cordless",37.7,11.1,7,990,762,-13,0.95,0.7,1.25,465,">770",11,1,0,1,0
"candle warmer with candles",18.8,,6,121,"1,210",53,1,0.69,1.22,421,">10,000",26,1,0,1,0
"clearance candle warmer lamp",20.7,100,5,244,244,-9,,,,164,">1,000",8,1,0,1,0
"electric candle warmer lamp with timer",23.1,50,11,283,277,-33,,,,155,">978",8,1,1,1,0
"cupcakes and cashmere candle warmer",40.6,25,11,"8,522","1,159",68,0.93,0.67,1.22,209,136,26,1,0,1,0
"candle warmer on amazon",22.2,33.3,6,603,400,13,1.01,0.68,1.28,432,663,8,1,0,1,0
"candles for warmer lamp",47.2,20,1,482,482,5,1.03,0.75,1.37,237,">1,000",9,1,0,1,0
"candle wax warmer",25.6,16.4,228,665,"6,645",1,0.69,0.48,0.89,756,">10,000",35,1,9,1,1
"candle+warmer+lamp",16.7,16.7,5,336,336,13,1.08,0.83,1.42,456,">1,000",8,1,0,1,1
"electric candle warmer",30.7,9.9,132,"1,959","3,917",36,0.83,0.6,1.25,474,">2,000",31,1,6,1,1
"bath and body works candle warmer",38.7,,4,"1,139",335,213,,,,280,294,8,1,0,1,0
"candle lamps warmer",15.8,12.5,28,"1,050","1,050",61,0.97,0.74,1.32,482,">1,000",25,1,0,1,0
"candle and mug warmer",,,5,324,324,252,,,,149,">1,000",8,1,0,1,0
"cozyberry candle warmer",,,2,"1,704",317,"3,141",1.19,0.9,1.54,199,186,8,1,0,1,1
"imenlox dimmable candle warmer lamp",,,15,489,253,-27,,,,135,517,8,1,0,1,1
"gold candle warmer",31.4,20,22,"1,262",820,43,0.88,0.6,1.15,447,">650",11,1,3,1,1
"hello kitty candle warmer",,,3,976,241,"n/a",,,,134,247,8,1,0,1,0
"candles warmer",16.9,,11,129,644,25,0.9,0.63,1.22,555,">5,000",10,1,0,1,0
"candles for lamp warmers",,,4,346,346,8,,,,182,">1,000",8,1,0,1,0
"cupcake and cashmere candle warmer",,,4,"2,272",359,"n/a",,,,68,158,8,1,0,1,0
"top candle warmer",84.4,12.5,5,435,413,4,0.92,0.6,1.23,333,">949",8,1,1,1,1
"candle warmer lamp with",23,42.9,21,243,"2,426",7,1.05,0.77,1.3,527,">10,000",38,1,35,1,1
"candle warmer lamp, electric candle lamp warmer with timer, mom christmas birthday gifts for women, ",,,25,417,225,-11,0.76,0.53,0.95,218,540,8,1,2,1,0
"candle warmers",24.3,10.3,197,"1,661","6,642",19,0.81,0.61,1.17,586,">4,000",33,1,2,1,0
"candle warmer lamp marycele",86.5,,3,845,437,2,1.27,0.96,1.54,261,517,8,1,0,1,0
"candle warmer lam",,,9,268,268,"1,029",,,,218,">1,000",8,1,0,1,1
"candle warmer lamp brushed nickel",,,2,"2,189",324,6,,,,185,148,8,1,0,1,1
"candle warmer lamp, candle lamp wax warmer heating lamp, timer & dimmer 7-levels, fits cup jar candl",,,6,515,271,-15,,,,158,526,8,1,0,1,0
"maoyue candle warmer lamp",,,15,452,238,74,0.94,0.64,1.16,332,526,8,1,0,1,0
"candle warmer lamp with timer dimmer adjustable height",,,25,396,280,-12,,,,177,">707",8,1,3,1,0
"candle warmer lamps with timer",12.5,8.6,51,"1,655","1,655",58,0.86,0.58,1.18,420,">1,000",26,1,0,1,0
"candle warmer lamp for large jar candles",,,1,274,274,256,,,,164,">1,000",8,1,1,1,0
"cozyberry candle warmer lamp",75.7,58.3,10,"1,090",581,21,1.03,0.78,1.33,439,533,9,1,0,1,1
"candle melt warmer",20.5,17.6,31,277,"1,384",8,0.69,0.49,0.9,563,">5,000",26,1,0,1,1
"wickless candle warmer",,,9,276,256,22,0.46,0.29,0.86,243,">928",8,1,0,1,1
"candle warmer lamp with dimmer",17.4,25,3,863,698,54,0.9,0.62,1.19,332,">809",10,1,3,1,1
"malbella essentials candle warmer lamp",79.3,,7,501,354,99,,,,167,706,8,1,0,1,0
"candle light warmer lamp",23.5,15.8,27,"1,164","1,164",50,0.91,0.65,1.24,560,">1,000",26,1,0,1,1
"briever dimmable candle warmer lamp with timer",75.5,100,19,"1,120",580,40,0.87,0.73,1.16,373,518,9,1,0,1,0
"loowoko candle warmer lamp",,,4,455,235,306,0.92,0.73,1.16,209,517,8,1,0,1,0
"candle warmer lamp for large yankee jar candles",,,2,450,259,11,,,,185,576,8,1,0,1,0
"cheap candle warmer",,,3,59,235,173,,,,257,">4,000",8,1,0,1,0
"candle jar warmer",30,57.2,1,330,330,21,,,,369,">1,000",8,1,3,1,1
"decorative candle warmer",22.6,100,1,330,330,16,,,,393,">1,000",8,1,1,1,1
"small candle warmer lamp",13.3,,2,644,644,19,0.91,0.69,1.32,298,">1,000",10,1,0,1,1
"candle warmer and candle",,,6,42,253,3,,,,224,">6,000",8,1,0,1,0
"jar candle warmer",25.3,11.1,7,423,423,15,0.91,0.61,1.29,366,">1,000",8,1,6,1,1
"extra large candle warmer",34.6,14.3,4,84,421,2,,,,322,">5,000",8,1,0,1,1
"candle warmer lamp modern",26.9,14.3,10,657,567,15,0.84,0.56,1.18,410,">863",9,1,0,1,1
"battery operated candle warmer lamp",25.5,,1,509,375,6,,,,332,">737",8,1,0,1,0
"retro candle warmer lamp",51.1,,4,450,268,70,,,,200,">596",8,1,0,1,1
"candle warmer cordless rechargeable",28.6,50,2,362,346,3,,,,307,956,8,1,0,1,1
"better homes and gardens candle warmer lamp, black ribbed glass",,,8,542,274,"n/a",,,,110,506,8,1,0,1,0
"candle and wax warmer",33.3,40,6,35,351,-1,0.59,0.45,1.02,393,">10,000",8,1,0,1,0
"cozy berry candle warmer lamp",,,2,689,346,-2,1.12,0.85,1.28,348,502,8,1,0,1,1
"disney candle warmer",,,3,488,286,39,,,,223,586,8,1,0,1,0
"candle warmer lamp clear",,,1,281,247,501,,,,243,878,8,1,0,1,1
"godonlif candle warmer lamp",67.2,72,35,"1,923","1,050",-9,0.91,0.69,1.13,391,546,25,1,0,1,1
"white candle warmer",22.3,12.5,23,129,644,25,0.88,0.6,1.25,460,">5,000",10,1,2,1,1
"candle warmer wireless cordless",36,,1,473,274,-11,,,,300,579,8,1,0,1,0
"light candle warmer lamp",22.7,11.9,71,"2,066","2,066",24,0.86,0.64,1.27,568,">1,000",27,1,0,1,1
"candle warmer lamp gold",26.9,16.7,20,"1,814","1,159",18,0.92,0.64,1.28,486,">639",26,1,0,1,1
"novamer candle warmer lamp",,,10,429,228,31,,,,163,531,8,1,0,1,1
"wood candle warmer lamp",48.4,,1,454,319,100,,,,253,">702",8,1,2,1,1
"luzdiosa candle warmer lamp",76.9,66.7,7,437,232,-16,0.94,0.83,1.34,324,531,8,1,0,1,1
"candle warmer lamp with timer: electric candles wax warmers glass lamps for jar candles burner adjus",,,16,432,241,-18,,,,135,558,8,1,0,1,0
"candle warmer lamp retro",,,1,356,213,-19,,,,95,">598",8,1,0,1,0
"candle warmer timer",25,,13,428,428,28,0.88,0.54,1.12,387,">1,000",8,1,0,1,1
"candle warmer with candle",,,4,19,388,42,1.07,0.71,1.26,370,">20,000",8,1,0,1,0
"candle wax warmer lamp",22.9,20,4,384,384,29,0.99,0.72,1.42,261,">1,000",8,1,1,1,1
"modern candle warmer lamp",25.3,21,22,"1,451","1,232",80,0.88,0.62,1.27,453,">849",27,1,3,1,1
"battery candle warmer lamp",28.8,,2,521,400,7,,,,279,">768",8,1,0,1,1
"candle warmer lamp set",,,1,278,228,91,,,,250,">821",8,1,0,1,1
"loowoko christmas candle warmer lamp",,,23,"2,671",219,"n/a",0.95,0.72,1.21,106,82,8,1,0,1,0
"candle and candle warmer",,,3,48,289,"n/a",,,,122,">6,000",8,1,0,1,0
"large jar candle warmer",25,,1,349,349,62,,,,281,">1,000",8,1,3,1,0
"cute candle warmer",27.2,18.2,8,820,820,-8,0.94,0.63,1.25,571,">1,000",11,1,0,1,1
"flameless candle warmer lamp",,,1,367,367,71,0.93,0.7,1.1,312,">1,000",8,1,3,1,1
"candle warmer lamp rose gold",37.9,28.6,1,768,391,7,,,,318,509,8,1,0,1,1
"fragrance candle warmer lamp",44.5,16.7,3,349,349,-50,1.02,0.77,1.39,260,">1,000",8,1,3,1,0
"crystal candle warmer lamp",29.4,25,12,"1,342",762,27,0.8,0.53,1.02,390,">568",11,1,3,1,1
"candle warmer with timers",,,3,268,268,-1,,,,204,">1,000",8,1,0,1,0
"candle warmer men",51.9,40,11,136,271,95,,,,193,">2,000",8,1,0,1,1
"gold candle warmer lamp",29.4,26.7,21,"1,915","1,218",52,0.85,0.6,1.19,382,">636",27,1,4,1,1
"amazon candle warmer",30,,3,561,311,-4,1.08,0.78,1.26,254,554,8,1,0,1,1
"mens candle warmer",,,1,320,320,87,,,,168,">1,000",8,1,0,1,0
"candle warmer lamp sale",,,1,358,289,50,,,,265,808,8,1,0,1,1
"lighted candle warmer lamp",,,2,648,357,-4,,,,260,551,8,1,0,1,1
"candle warmer for men",34.7,22.2,6,103,413,21,1.1,0.84,1.39,309,">4,000",8,1,0,1,0
"candle warmer for wax melts",,,8,156,311,-6,,,,306,">2,000",8,1,0,1,0
"better homes and gardens candle warmer",,,2,277,277,131,,,,197,">1,000",8,1,0,1,0
"yuichoy candle warmer lamp with timer, dimmable electric candle wamer adjustable height, glass moder",68.1,,8,"3,169","1,648",52,0.78,0.55,0.96,250,520,26,1,0,1,0
"ulg 2 pack candle warmer lamp with dimmer",,,9,522,265,-10,1.04,0.76,1.31,197,508,8,1,0,1,0
"teen candle warmer",,,1,453,262,"n/a",,,,133,579,8,1,0,1,0
"nvrgiup candle warmer lamp",,,13,495,262,14,,,,327,529,8,1,0,1,0
"candle warmer under 25",,,9,364,228,"n/a",,,,145,626,8,1,0,1,0
"candle warmer lamp 2 pack best seller",,,7,653,356,-7,,,,173,545,8,1,0,1,0
"candle warmers with timers",17.8,33.3,9,289,289,3,,,,337,">1,000",8,1,0,1,0
"pretty candle warmer",,,8,265,265,7,,,,364,">1,000",8,1,0,1,1
"hestia candle warmer",67.3,80,4,909,420,76,0.96,0.7,1.24,231,462,8,1,1,1,1
"marycele candle warmer lamp with timer",67.2,25,6,"1,074",580,17,0.93,0.7,1.29,339,540,9,1,0,1,0
"red candle warmer",,,3,69,277,"n/a",,,,132,">4,000",8,1,0,1,1
"hestia candle warmer lamp",,,8,403,213,136,1.3,0.96,1.67,228,529,8,1,0,1,0
"candle warmer lamp large",23.9,25,1,384,384,51,,,,314,">1,000",8,1,0,1,1
"lukasa candle warmer lamp",66.7,54.5,8,727,391,-19,0.96,0.75,1.29,250,538,8,1,0,1,0
"western candle warmer lamp",,,7,431,274,-13,,,,159,635,8,0,0,1,1
"candle warmer lamp rechargeable",36.7,,2,665,359,4,,,,183,540,8,1,0,1,0
"candle warmer lamp rustic farmhouse",24.1,25,2,651,330,15,,,,324,507,8,1,0,1,1
"candle warmer auto shut off",28.1,30,22,605,581,71,0.83,0.55,1.1,283,">961",9,1,1,1,1
"candle warmer lamp small",25,16.7,6,372,372,25,,,,266,">1,000",8,1,0,1,0
"amazon candle warmers",24.1,,12,"1,899","1,052",40,0.84,0.57,1.11,450,554,25,1,0,1,0
"wax candle warmer",19.9,16.7,31,311,"1,245",0,0.78,0.63,1,683,">4,000",26,1,0,1,1
"cute candle warmer lamp",28.3,16.7,2,623,402,7,0.93,0.62,1.14,344,645,8,1,0,1,1
"marycele candle warmer",,,3,667,322,16,1.17,0.86,1.42,305,483,8,1,0,1,1
"mid century modern candle warmer",,,1,635,322,0,,,,191,507,8,1,0,1,1
"candle warmer lamp with candle included",,,11,238,238,-9,,,,139,">1,000",8,1,0,1,0
"desk lamp candle warmer",,,2,371,235,-15,,,,136,">634",8,1,0,1,1
"dimmable candle warmer lamp with timer",,,24,262,253,11,,,,259,">966",8,1,4,1,0
"euaonya candle warmer lamp",,,7,683,349,235,0.94,0.89,1.22,174,511,8,1,0,1,0
"candle warmer with timer",34.9,11.4,215,"5,813","5,813",59,0.88,0.64,1.23,598,">1,000",32,1,3,1,1
"briever candle warmer lamp",66.7,33.3,6,927,484,112,0.95,0.62,1.17,161,522,9,1,0,1,1
"candle warmer lamp silver finish",45.3,,10,841,439,-5,0.83,0.61,1.1,314,522,8,1,0,1,1
"malbella candle warmer lamp",,,6,507,265,108,1.03,0.85,1.29,136,523,8,1,0,1,1
"clearance candle warmer",29.6,100,1,29,289,223,,,,209,">10,000",8,1,0,1,0
"candle warmer large",33.3,16.7,7,74,372,13,,,,281,">5,000",8,1,1,1,1
"wireless candle warmer lamp",30.4,,1,700,426,3,1.05,0.69,1.34,350,609,8,1,0,1,1
"nonvjj candle warmer lamp",,,7,485,247,30,,,,226,509,8,1,0,1,0
"best candle warmer",20.9,20,4,189,378,9,0.85,0.64,0.96,254,">2,000",8,1,0,1,1
"candle warmer lamp battery operated",35.9,18.8,9,"2,201","1,052",-2,0.88,0.62,1.22,598,478,25,1,0,1,1
"tulip candle warmer",,,2,856,381,5,,,,221,445,8,1,0,1,0
"candle warmer lamp",20.4,11.8,2937,"470,780","470,780",26,0.87,0.62,1.24,539,">1,000",597,1,40,1,1
"wood base candle warmer lamp",29,,7,348,232,-20,,,,142,">666",8,1,0,1,0
"rechargeable candle warmer",33.5,25,6,968,765,-6,0.9,0.64,1.25,363,">790",11,1,0,1,1
"candle warmer lantern with timer",,,4,489,317,32,,,,239,">648",8,1,3,1,1
"wax warmer candle",19.8,,13,175,698,-12,0.7,0.53,0.88,452,">4,000",10,1,0,1,0
"candle warmer marycele",,,6,939,402,"n/a",,,,117,428,8,1,0,1,0
"candle warmer flower",47.5,15.4,10,"2,095",727,12,0.86,0.6,1.15,375,347,10,1,0,1,0
"zukakii candle warmer lamp",,,14,500,265,54,1.1,0.87,1.26,241,530,8,1,0,1,1
"candle warmer lamp cheap",32.3,,4,81,407,-7,1.03,0.87,1.1,193,">5,000",8,1,0,1,0
"candle warmer lamp godonlif",,,13,528,283,-6,,,,127,536,8,1,0,1,0
"candle warmer for large candles",32.6,15.4,10,24,484,4,0.91,0.59,1.2,406,">20,000",9,1,0,1,0
"candle warmer lamp timer",21.2,13.9,39,"1,164","1,164",87,0.92,0.7,1.29,487,">1,000",26,1,1,1,1
"cordless candle warmer lamp",31.9,,8,"1,816","1,384",-1,0.85,0.65,1.15,682,">762",26,1,0,1,1
"candle warmer lamp glass",32.1,50,2,487,311,274,1.17,0.88,1.32,164,">638",8,1,0,1,1
"black and gold candle warmer lamp",41.9,50,8,694,372,129,,,,271,536,8,1,0,1,0
"funistree candle warmer lamp",76.9,,13,"7,262","1,053",28,0.9,0.69,1.19,348,145,25,1,0,1,0
"gnome candle warmer",,,3,442,268,34,,,,161,">606",8,1,0,1,0
"candle warmer lamp wood",28.8,33.3,7,726,516,37,0.76,0.5,0.98,285,">711",9,1,0,1,1
"yohonk candle lamp warmer",78.6,66.7,11,"1,109",581,"n/a",0.97,0.76,1.19,106,524,9,1,0,1,0
"candle lamp warmer adjustable with timer",,,2,379,351,21,1.02,0.75,1.32,139,">925",8,1,0,1,0
"candle heat lamp warmer",,,3,402,330,"n/a",,,,153,">820",8,1,0,1,1
"geezo fragrance candle warmer lamp",79.8,72.9,29,"1,347",698,-3,0.97,0.61,1.07,430,518,10,1,0,1,1
"candle warmer lamp modern style",,,8,356,228,-4,,,,180,641,8,1,0,1,1
"candle warmer lamp auto shut off",,,9,364,274,"n/a",,,,108,753,8,1,0,1,0
"heat lamp candle warmer",34,,5,429,383,16,,,,294,">893",8,1,0,1,1
"candle warmer candles",32.3,25,19,58,581,46,1.48,1.16,1.93,378,">10,000",9,1,0,1,0
"candle warmer wood",31,33.3,1,457,392,5,,,,246,">857",8,1,0,1,1
"flameless candle warmer",37.8,20,7,86,428,17,0.98,0.68,1.34,323,">5,000",8,1,1,1,1
"mug and candle warmer",,,1,431,250,93,,,,248,">580",8,1,0,1,0
"candle warmer lamp silver",32.7,7.1,22,"2,574","1,431",16,0.76,0.59,1.05,619,556,26,1,0,1,1
"warmer candle lamp",21,,7,396,396,6,,,,280,">1,000",8,1,0,1,0
"soilsiu candle warmer lamp with timer",,,4,677,352,65,,,,216,520,8,1,0,1,0
"better homes and gardens candle warmer lamp",,,2,438,235,"n/a",,,,131,537,8,1,0,1,0
"candle warmer amber",,,5,219,219,"n/a",,,,102,">1,000",8,1,0,1,0
"candle warmer electric lantern",,,7,216,216,219,,,,135,">1,000",8,1,0,1,0
"candle warmer lamp farmhouse",29.6,,4,641,370,5,,,,362,577,8,1,0,1,0
"candle warmer lamp for men",41.4,50,9,705,408,25,0.83,0.56,1.08,248,579,8,1,0,1,0
"candle warmer lamp teen girl",,,13,463,232,-24,,,,139,501,8,1,0,1,0
"candle warmer lamp for 3 wick candles",35.3,10,22,"1,095",644,24,0.83,0.56,1.11,394,588,10,1,0,1,0
"candle warmer with marble base",,,3,829,281,-7,,,,125,339,8,0,3,1,1
"yankee candle warmer",30.5,50,19,698,698,53,0.96,0.72,1.36,427,">1,000",10,1,0,1,1
"snowman candle warmer",,,5,271,271,9,,,,185,">1,000",8,1,0,1,1
"sokcvsea fragrance candle warmer lamp",,,8,528,280,-71,0.83,0.63,1.2,290,530,8,1,0,1,0
"dimmable candle warmer",,,15,290,289,28,,,,320,">998",8,1,13,1,1
"candle warmer lamp for large candles",30.8,20,10,436,436,13,0.99,0.7,1.34,274,">1,000",8,1,0,1,0
"modern candle warmer lamp with timer",40,33.3,3,261,219,-7,,,,195,">840",8,1,1,1,0
"candle warmer lamp bath and body works",30.6,,5,734,402,85,,,,316,548,8,1,0,1,0
"aromatherapy lamp candle warmer",,,4,380,311,46,,,,166,">819",8,1,0,1,1
"desk candle warmer",22,,2,375,375,25,,,,279,">1,000",8,1,0,1,1
"candle warmer lamp adjustable height",16.3,9.1,5,"1,012",820,74,0.84,0.61,1.17,333,">810",11,1,2,1,1
"large candle warmer lamp",18.1,,2,516,516,26,0.98,0.69,1.33,283,">1,000",9,1,0,1,1
"godonlif candle warmer lamp with timer",,,24,337,256,2,,,,122,759,8,1,0,1,0
"aikut candle warmer lamp",88,,5,683,364,-15,1.16,0.82,1.46,288,533,8,1,0,1,0
"mini candle warmer",43.3,33.3,3,462,362,4,,,,378,">783",8,1,0,1,1
"candle lamp warmer with timer",29.8,6,173,"3,924","3,924",58,0.91,0.62,1.26,613,">1,000",31,1,5,1,0
"candle warmer lamp 3 wick",50,12.5,5,658,388,18,0.99,0.69,1.19,302,590,8,1,0,1,0
"candle warmer lamp seenlast",,,5,720,381,-8,1.11,0.92,1.39,216,529,8,1,0,1,0
"copinpin candle warmer lamp",69,30,8,"1,014",429,"n/a",0.94,0.74,1.27,109,423,8,1,0,1,0
"candle warmer lamp for tall jar candles",51.6,16.7,4,317,317,"n/a",,,,67,">1,000",8,1,0,1,0
"retro candle warmer",35.1,33.3,1,809,389,10,,,,244,481,8,1,0,1,0
"rechargeable candle warmer lamp",34.9,,1,683,388,3,,,,292,568,8,1,0,1,1
"rose gold candle warmer lamp",38.5,66.7,1,623,320,90,,,,255,514,8,1,0,1,0
"battery candle warmer cordless",31,,1,486,330,-18,0.96,0.73,1.26,330,679,8,1,0,1,0
"candle warmer lamp dimmable",,,5,256,256,78,,,,252,">1,000",8,1,1,1,0
"candle warmer large base",37.1,20,12,110,219,-15,,,,117,">2,000",8,1,0,1,1
"candle warmer lamp rustic",36.1,16.7,8,722,434,14,0.89,0.63,1.18,359,601,8,1,0,1,1
"candle warmer lamp glass shade",,,17,384,238,539,,,,195,620,8,1,0,1,1
"amber candle warmer",,,6,277,277,-10,,,,262,">1,000",8,1,0,1,0
"candle warmers for jar candles",17.6,19.6,42,"1,455","1,455",30,0.89,0.62,1.22,458,">1,000",26,1,0,1,0
"candle warmer lamp boho",38.5,25,1,657,354,21,,,,322,539,8,1,0,1,1
"mushroom candle warmer",,,11,335,213,-8,,,,297,636,8,1,0,1,0
"candle warmer cute",22.7,20,2,375,375,-2,0.9,0.62,1.2,346,">1,000",8,1,0,1,0
"wax and candle warmer",54.8,11.1,7,39,391,3,,,,364,">10,000",8,1,0,1,0
"marycele candle warmer lamp",76.6,68.6,49,"4,159","2,196",10,0.86,0.62,1.18,557,528,27,1,0,1,1
"toacsucp candle warmer lamp",100,60,13,803,416,1,,,,276,518,8,1,0,1,1
"candle warmer lamp masculine",,,1,368,256,"n/a",,,,108,695,8,1,0,1,0
"plug in candle warmer",23.8,21,15,644,644,10,0.85,0.68,1.1,335,">1,000",10,1,0,1,0
"candle warmer lamp mid century",,,3,512,259,-12,,,,152,506,8,1,0,1,0
"flower candle warmer",47,50,12,"2,889","1,384",0,0.73,0.57,1.03,484,479,28,1,7,1,0
"brass candle warmer lamp",32.1,40,1,464,274,78,,,,169,590,8,1,0,1,1
"dimmable flower candle warmer lamp",76.9,83.3,17,"1,358",762,-4,0.96,0.76,1.2,386,561,11,1,3,1,0
"heatless candle warmer",,,1,471,265,"n/a",,,,116,563,8,1,0,1,0
"candeldo candle warmer lamp",34.1,40,5,772,423,-57,0.88,0.72,1.12,291,548,8,1,0,1,1
"led candle warmer lamp",,,3,547,373,19,,,,206,">682",8,1,3,1,1
"pink flower candle warmer lamp",59,33.3,5,638,241,"n/a",,,,130,378,8,1,0,1,0
"green candle warmer",38.5,,5,218,436,-2,0.8,0.59,1.12,257,">2,000",8,1,2,1,1
"heated candle warmer lamp",30.6,40,7,448,410,8,1.03,0.73,1.32,207,">916",8,1,0,1,1
"candle warmer glass",,,1,250,250,147,,,,225,">1,000",8,1,0,1,1
"lamp candle warmer for jar candles",36.1,9.1,53,"3,125","3,125",43,0.84,0.57,1.19,553,">1,000",29,1,2,1,0
"candle warmer 3 wick",29.7,20,10,485,394,61,0.76,0.62,0.9,240,813,8,1,0,1,0
"marble base candle warmer lamp",26.1,7.7,45,"4,183","2,196",54,0.76,0.52,1.08,407,525,27,1,1,1,1
"candle warmer base",40.7,16.7,13,225,225,23,,,,206,">1,000",8,1,0,1,1
"candle warmer lamp under 20",,,3,685,378,157,0.81,0.64,1.09,368,552,8,1,0,1,1
"candle warmer adjustable",31,33.3,4,418,402,8,0.95,0.67,1.25,238,">961",8,1,2,1,1
"dimmable flower candle warmer lamp with timer",,,16,411,222,-7,,,,214,540,8,1,3,1,0
"candle warmer lamp farmhouse style",17.8,,6,"1,154",644,31,0.84,0.6,1.14,445,558,10,1,0,1,1
"silver candle warmer",31.8,12.5,9,976,519,14,0.87,0.6,1.16,385,532,9,1,0,1,1
"candle warmer lamp with timer and dimmer",26.6,11.8,23,716,581,40,0.94,0.68,1.3,359,">811",9,1,4,1,0
