"关键词词组","ABA总计 点击份额","ABA总计 转化份额","关键词销量","Magnet IQ得分","搜索量","搜索量趋势","H10 PPC 建议出价","H10 PPC 建议最低出价","H10 PPC 建议最高出价","广告推广ASIN 数","竞品数","CPR","自然","标题密度","Smart Complete","亚马逊推荐"
"large candle warmer lamp for 3 wick candles",31.4,6.7,31,"1,948","1,165",46,0.84,0.6,1.16,514,598,26,1,0,1,0
"candle lamp warmer adjustable with timer",,,2,379,351,21,1.02,0.75,1.32,139,">925",8,1,0,1,0
"black candle lamp warmer",,,4,373,268,13,,,,168,">719",8,1,2,1,0
"electric candle warmer lamp",19.1,7.4,45,"1,428","1,428",21,0.87,0.68,1.32,506,">1,000",27,1,3,1,1
"seenlast candle warmer lamp",85.1,61.1,16,"1,084",581,38,0.84,0.58,1.13,457,536,9,1,0,1,1
"malbella candle warmer lamp",,,6,507,265,108,1.03,0.85,1.29,136,523,8,1,0,1,1
"tulip candle warmer lamp",50,33.3,11,542,283,37,,,,244,522,8,1,0,1,1
"candle warmer lamp with timer dimmer adjustable height,mothers day gifts,electric wax warmer vintage",85.7,60,13,512,277,-25,,,,176,541,8,1,1,1,0
"rustic candle warmer lamp",24.3,21.4,17,"1,354",823,57,0.83,0.59,1.11,380,608,11,1,0,1,1
"3 wick candle warmer lamp",35.3,33.3,16,861,516,52,0.89,0.64,1.23,312,599,9,1,0,1,1
"black candle warmer lamp with timer",32.5,16.7,7,473,324,34,1.08,0.75,1.45,259,">685",8,1,3,1,0
"candle warmer lamp teen girl",,,13,463,232,-24,,,,139,501,8,1,0,1,1
"candle warmer lamp, candle lamp wax warmer heating lamp, timer & dimmer 7-levels, fits cup jar candl",,,6,515,271,-15,,,,158,526,8,1,0,1,0
"candle warmer lamp for large jar candles",,,1,274,274,256,,,,164,">1,000",8,1,1,1,0
"battery candle warmer lamp",28.8,,2,521,400,7,,,,279,">768",8,1,0,1,0
"brass candle warmer lamp",32.1,40,1,464,274,78,,,,169,590,8,1,0,1,0
"candle warmer lamp flower shape",,,4,686,341,161,,,,131,497,8,1,0,1,0
"adjustable candle warmer lamp",23.3,6.8,83,"2,309","2,194",55,0.93,0.61,1.29,514,">950",27,1,1,1,1
"candles lamp warmer",21.4,28.6,7,213,213,69,,,,240,">1,000",8,1,0,1,0
"aikut candle warmer lamp",88,,5,683,364,-15,1.16,0.82,1.46,288,533,8,1,0,1,1
"candle warmer lamp silver finish",45.3,,10,841,439,-5,0.83,0.61,1.1,314,522,8,1,0,1,1
"marble base candle warmer lamp",26.1,7.7,45,"4,183","2,196",54,0.76,0.52,1.08,407,525,27,1,1,1,1
"candle warmer lamp mid century",,,3,512,259,-12,,,,152,506,8,1,0,1,1
"candle warmer lamp on sale",,,7,485,268,"n/a",,,,93,553,8,1,0,1,0
"gold candle warmer lamp",29.4,26.7,21,"1,915","1,218",52,0.85,0.6,1.19,382,">636",27,1,4,1,1
"cozy berry candle warmer lamp",,,2,689,346,-2,1.12,0.85,1.28,348,502,8,1,0,1,1
"candle warmer lamp for 3 wick candles",35.3,10,22,"1,095",644,24,0.83,0.56,1.11,394,588,10,1,0,1,0
"lamp for candle warmer",18.9,18.2,31,"1,242","1,242",53,0.91,0.69,1.24,504,">1,000",26,1,0,1,0
"candle warmer lamp vintage",43.9,,2,535,372,16,,,,265,">695",8,1,0,1,0
"soilsiu candle warmer lamp",,,12,397,213,-30,0.9,0.76,1.22,277,536,8,1,0,1,0
"mocosa candle warmer lamp",,,16,470,247,"n/a",,,,128,525,8,1,0,1,0
"candle warmer lamp auto shut off",,,9,364,274,"n/a",,,,108,753,8,1,0,1,0
"battery operated candle warmer lamp",25.5,,1,509,375,6,,,,332,">737",8,1,0,1,1
"western candle warmer lamp",,,7,431,274,-13,,,,159,635,8,1,0,1,1
"candle warmers lamp",16.2,9.1,49,"1,871","1,871",21,0.93,0.64,1.26,542,">1,000",26,1,0,1,0
"candle warmer lamp with candle",34.4,16.7,8,424,424,117,1.22,0.88,1.41,493,">1,000",8,1,0,1,0
"dimmable flower candle warmer lamp with timer, vintage candle lamp warmer for jar candle, 2024 women",,,10,530,268,4,,,,253,506,8,1,0,1,0
"candle warmer lamp 2 pack best seller",,,7,653,356,-7,,,,173,545,8,1,0,1,0
"candle warmer lamp with timer: electric candles wax warmers glass lamps for jar candles burner adjus",,,16,432,241,-18,,,,135,558,8,1,0,1,0
"candle warmer lamp rose gold",37.9,28.6,1,768,391,7,,,,318,509,8,1,0,1,0
"tigqiang candle warmer lamp",,,22,503,262,26,,,,225,521,8,1,0,1,0
"yuichoy candle warmer lamp with timer, dimmable electric candle wamer adjustable height, glass moder",68.1,,8,"3,169","1,648",52,0.78,0.55,0.96,250,520,26,1,0,1,0
"briever candle warmer lamp",66.7,33.3,6,927,484,112,0.95,0.62,1.17,161,522,9,1,0,1,1
"candle warmer lamp led",,,3,277,277,-1,,,,121,">1,000",8,1,0,1,0
"crystal candle warmer lamp",29.4,25,12,"1,342",762,27,0.8,0.53,1.02,390,">568",11,1,3,1,1
"candle warmer lamp small",25,16.7,6,372,372,25,,,,266,">1,000",8,1,0,1,1
"tiffany candle warmer lamp",46.4,33.3,2,520,338,11,,,,254,650,8,1,0,1,1
"sokcvsea candle warmer lamp",,,17,542,280,-87,0.75,0.63,1.05,328,517,8,1,0,1,0
"candle lamp warmer with timer",29.8,6,173,"3,924","3,924",58,0.91,0.62,1.26,613,">1,000",31,1,5,1,1
"candle warmer lamp with timer",13.2,8.6,660,"34,901","34,901",69,0.84,0.56,1.18,528,">1,000",75,1,28,1,1
"lamp candle warmers",26.9,50,1,333,333,-10,,,,196,">1,000",8,1,1,1,0
"candle warmer lamp amber",,,9,557,311,36,0.95,0.66,1.37,254,558,8,1,0,1,1
"candle warmer lamp￼",31.4,36.4,1,420,420,24,1,0.75,1.31,322,">1,000",8,1,0,1,0
"candles for lamp warmers",,,4,346,346,8,,,,182,">1,000",8,1,0,1,0
"candle warmer lamp for tall jar candles",51.6,16.7,4,317,317,"n/a",,,,67,">1,000",8,1,0,1,0
"lamp and candle warmer",,,5,262,262,"n/a",,,,116,">1,000",8,1,0,1,0
"scented candles for lamp warmers",,,4,232,232,"n/a",,,,104,">1,000",8,1,0,1,0
"candle for candle warmer lamp",35.3,16.7,16,424,424,47,1.47,1.18,1.85,276,">1,000",8,1,0,1,0
"candle warmer lamp with",23,42.9,21,243,"2,426",7,1.05,0.77,1.3,527,">10,000",38,1,35,1,1
"candle warmer lamp christmas",,,11,281,256,-18,0.97,0.88,1.06,266,">911",8,1,0,1,0
"amber candle warmer lamp",,,7,597,341,83,0.96,0.8,1.25,276,571,8,1,0,1,1
"desk lamp candle warmer",,,2,371,235,-15,,,,136,">634",8,1,0,1,1
"candle warmer lamp cordless",37.7,11.1,7,990,762,-13,0.95,0.7,1.25,465,">770",11,1,0,1,1
"adjustable candle warmer lamp with timer",14.9,15.4,2,393,368,6,0.87,0.6,1.2,298,">936",8,1,1,1,0
"unique candle warmer lamp",34.6,50,4,871,296,15,,,,210,340,8,1,0,1,0
"better homes and gardens candle warmer lamp, black ribbed glass",,,8,542,274,"n/a",,,,110,506,8,1,0,1,0
"adjustable height candle warmer lamp",32.1,33.3,1,330,274,56,,,,266,">831",8,1,1,1,0
"fragrance candle warmer lamp",44.5,16.7,3,349,349,-50,1.02,0.77,1.39,260,">1,000",8,1,3,1,0
"candle warmer lamp seenlast",,,5,720,381,-8,1.11,0.92,1.39,216,529,8,1,0,1,0
"modern candle warmer lamp with timer",40,33.3,3,261,219,-7,,,,195,">840",8,1,1,1,0
"candle warmer lamp for men",41.4,50,9,705,408,25,0.83,0.56,1.08,248,579,8,1,0,1,0
"candle warmer lamp amber glass",,,9,315,216,"n/a",,,,106,685,8,1,0,1,0
"candle warmer lamp sunflower",,,7,750,375,"n/a",,,,123,500,8,1,0,1,0
"candle warmer lamp battery operated",35.9,18.8,9,"2,201","1,052",-2,0.88,0.62,1.22,598,478,25,1,0,1,1
"yuichoy candle warmer lamp",94.1,100,10,"1,464",764,8,0.79,0.59,1.06,241,522,11,1,0,1,0
"candle warmer lamp rechargeable",36.7,,2,665,359,4,,,,183,540,8,1,0,1,1
"led candle warmer lamp",,,3,547,373,19,,,,206,">682",8,1,3,1,1
"candle lamp warmer gold",,,13,219,219,"n/a",,,,93,">1,000",8,1,0,1,0
"mikasa electric candle warmer lamp",,,1,423,274,"n/a",,,,92,648,8,1,0,1,0
"candle wax warmer lamp",22.9,20,4,384,384,29,0.99,0.72,1.42,261,">1,000",8,1,1,1,1
"lamp candle warmer with timer",24.7,23.1,23,644,644,65,0.94,0.71,1.31,346,">1,000",10,1,0,1,0
"candle warmer lamp under 20",,,3,685,378,157,0.81,0.64,1.09,368,552,8,1,0,1,1
"candle warmer lamp vintage style",28,25,1,519,296,-6,,,,324,570,8,1,0,1,0
"retro candle warmer lamp",51.1,,4,450,268,70,,,,200,">596",8,1,0,1,1
"candle lamp warmers",,,5,311,311,37,,,,293,">1,000",8,1,0,1,0
"electric candle warmer lamp with timer",23.1,50,11,283,277,-33,,,,155,">978",8,1,1,1,0
"small candle warmer lamp",13.3,,2,644,644,19,0.91,0.69,1.32,298,">1,000",10,1,0,1,1
"electric candle lamp warmer",,,5,344,344,7,1.07,0.79,1.37,434,">1,000",8,1,7,1,1
"candle warmer lamp clear",,,1,281,247,501,,,,243,878,8,1,0,1,1
"candle+warmer+lamp",16.7,16.7,5,336,336,13,1.08,0.83,1.42,456,">1,000",8,1,0,1,1
"candle warmer lamp dimmable",,,5,256,256,78,,,,252,">1,000",8,1,1,1,0
"candle warmer lamp modern style",,,8,356,228,-4,,,,180,641,8,1,0,1,1
"candle lamp warmer",19.8,12.6,826,"22,423","22,423",60,0.89,0.56,1.21,476,">1,000",55,1,14,1,1
