Keyword Phrase,Magnet IQ Score,Search Volume,Search Volume Trend,Competing Products,CPR,Cluster,Subcluster
personal gifts ,4.0,390.0,9.0,100000.0,8, ,work
host gifts ,130.0,390.0,42.0,3000.0,8, ,work
get well gift ,4.0,392.0,11.0,90000.0,8, ,inspirational
postpartum gifts ,197.0,394.0,474.0,2000.0,8, ,work
college student gifts ,4.0,397.0,200.0,100000.0,8, ,work
cute small gifts ,4.0,397.0,18.0,100000.0,8, ,adjective
prizes ,40.0,399.0,39.0,10000.0,8, ,adjective
unusual 's gifts,80.0,399.0,353.0,5000.0,8, ,adjective
drinking gifts ,6.0,401.0,-28.0,70000.0,8, ,work
gifts creative ,4.0,401.0,165.0,100000.0,8, ,adjective
gifts professional ,2.0,401.0,-6.0,200000.0,8, ,work
relaxation gifts,40.0,403.0,346.0,10000.0,8, ,inspirational
funny gifts,4.0,404.0,9.0,100000.0,8, ,adjective
perfect gifts ,2.0,404.0,87.0,200000.0,8, ,adjective
turtles gifts ,40.0,404.0,-5.0,10000.0,8, ,adjective
gifts working ,10.0,406.0,-9.0,40000.0,8, ,work
foodie gifts ,410.0,410.0,95.0,1000.0,8, ,adjective
auntie gifts ,21.0,410.0,235.0,20000.0,8, ,adjective
feel good gifts ,4.0,413.0,9.0,100000.0,8, ,inspirational
party gifts ,4.0,413.0,0.0,100000.0,8, ,work
relax gifts ,5.0,419.0,-2.0,90000.0,8, ,inspirational
hits gifts,47.0,420.0,20.0,9000.0,8, ,adjective
gift items ,4.0,424.0,10.0,100000.0,8, ,work
gifts bougie ,424.0,424.0,24.0,1000.0,8, ,adjective
roses gifts ,5.0,426.0,57.0,90000.0,8, ,adjective
classy gifts ,7.0,427.0,79.0,60000.0,8, ,work
cute little gifts ,4.0,427.0,18.0,100000.0,8, ,adjective
organization gifts ,43.0,429.0,61.0,10000.0,8, ,work
work from home gifts ,14.0,429.0,19.0,30000.0,8, ,work
consumable gifts ,860.0,431.0,159.0,501.0,8, ,work
support gifts ,4.0,431.0,24.0,100000.0,8, ,inspirational
best gifts outdoorsy ,454.0,431.0,11.0,950.0,8, ,adjective
healthy gifts ,22.0,433.0,2.0,20000.0,8, ,inspirational
prosecco gifts ,1417.0,435.0,61.0,307.0,8, ,work
gifts college ,5.0,435.0,51.0,90000.0,8, ,work
leadership gifts ,109.0,436.0,37.0,4000.0,8, ,work
gifts caregivers ,218.0,436.0,25.0,2000.0,8, ,work
bee themed gifts ,218.0,436.0,76.0,2000.0,8, ,adjective
small s gifts,4.0,438.0,73.0,100000.0,8, ,work
unique gifts,4.0,440.0,2798.0,100000.0,8, ,adjective
nature gifts ,22.0,442.0,40.0,20000.0,8, ,adjective
accessory gifts,4.0,445.0,,100000.0,8, ,work
duck gifts ,45.0,447.0,45.0,10000.0,8, ,adjective
flower gifts ,4.0,449.0,-3.0,100000.0,8, ,adjective
natural gifts ,5.0,450.0,58.0,100000.0,8, ,adjective
nivea gift ,3348.0,452.0,26.0,135.0,8, ,adjective
hygge gifts ,806.0,452.0,38.0,561.0,8, ,adjective
best pickleball gifts ,90.0,452.0,,5000.0,8, ,adjective
gifts single ,15.0,454.0,32.0,30000.0,8, ,work
going away gifts ,46.0,456.0,34.0,10000.0,8, ,work
favorite things gifts ,91.0,456.0,205.0,5000.0,8, ,adjective
elegant gifts ,5.0,459.0,37.0,100000.0,8, ,adjective
garden decor gifts ,58.0,461.0,93.0,8000.0,8, ,adjective
alcohol gifts ,47.0,466.0,4.0,10000.0,8, ,work
pamper gifts ,93.0,466.0,2.0,5000.0,8, ,work
pampering gifts ,94.0,468.0,2.0,5000.0,8, ,work
gifts cooks ,47.0,468.0,48.0,10000.0,8, ,work
aesthetic gifts ,9.0,472.0,8.0,50000.0,8, ,adjective
household gifts ,47.0,473.0,56.0,10000.0,8, ,work
artsy gifts ,237.0,473.0,11.0,2000.0,8, ,adjective
wicked gifts ,237.0,473.0,,2000.0,8, ,adjective
same day delivery gifts ,475.0,475.0,15.0,1000.0,8, ,work
candy gifts ,16.0,475.0,2.0,30000.0,8, ,adjective
gifts office ,5.0,475.0,28.0,100000.0,8, ,work
stocking gifts ,10.0,475.0,253.0,50000.0,8, ,work
overnight gifts ,95.0,475.0,-1.0,5000.0,8, ,work
positive affirmation gifts ,68.0,475.0,186.0,7000.0,8, ,inspirational
unique gifts,5.0,481.0,29.0,100000.0,9, ,adjective
weird gifts ,80.0,481.0,10.0,6000.0,9, ,adjective
comforting gifts ,60.0,481.0,1.0,8000.0,9, ,inspirational
gift packs ,5.0,482.0,80.0,100000.0,9, ,work
emotional support gifts ,121.0,482.0,8.0,4000.0,9, ,inspirational
random gifts ,121.0,484.0,5.0,4000.0,9, ,adjective
secretary gifts ,161.0,484.0,67.0,3000.0,9, ,work
tiny gifts ,12.0,486.0,71.0,40000.0,9, ,work
boho gifts unique,24.0,486.0,31.0,20000.0,9, ,adjective
comfy gifts ,6.0,571.0,28.0,100000.0,9, ,work
hand made gifts ,6.0,571.0,56.0,100000.0,9, ,work
garden gifts unique,82.0,571.0,7.0,7000.0,9, ,adjective
adult gifts ,6.0,573.0,26.0,100000.0,9, ,age
bundle gifts ,57.0,573.0,16.0,10000.0,9, ,work
creative gifts ,6.0,573.0,8.0,100000.0,9, ,adjective
warm gifts ,6.0,573.0,137.0,100000.0,9, ,inspirational
gifts unique,6.0,573.0,47.0,100000.0,9, ,adjective
plants gifts ,19.0,574.0,27.0,30000.0,9, ,adjective
organic gifts ,64.0,642.0,16.0,10000.0,10, ,adjective
mexican gifts ,32.0,642.0,6.0,20000.0,10, ,adjective
hosting gifts ,321.0,642.0,74.0,2000.0,10, ,work
home gifts ,6.0,644.0,14.0,100000.0,10, ,work
gift bundles ,64.0,644.0,12.0,10000.0,10, ,work
gifts unique,6.0,644.0,20.0,100000.0,10, ,adjective
best adult gifts,6.0,644.0,21.0,100000.0,10, ,age
outdoor gifts ,7.0,713.0,21.0,100000.0,10, ,adjective
nice gifts ,7.0,713.0,4.0,100000.0,10, ,adjective
silly gifts ,178.0,713.0,10.0,4000.0,10, ,adjective
joke gifts ,89.0,713.0,28.0,8000.0,10, ,adjective
crochet gifts ,71.0,713.0,28.0,10000.0,10, ,work
popular gifts ,12.0,713.0,16.0,60000.0,10, ,work
nerdy gifts ,357.0,713.0,37.0,2000.0,10, ,adjective
rose gifts ,8.0,713.0,9.0,90000.0,10, ,adjective
outdoorsy gifts ,773.0,773.0,23.0,1000.0,11, ,adjective
 self care gifts,77.0,773.0,41.0,10000.0,11, ,work
boujee gifts ,773.0,773.0,19.0,1000.0,11, ,adjective
naughty gifts ,141.0,844.0,19.0,6000.0,11, ,adjective
pick me up gifts ,211.0,844.0,-10.0,4000.0,11, ,work
best gifts who have everything,84.0,844.0,26.0,10000.0,11, ,adjective
destress gifts ,4284.0,844.0,11.0,197.0,11, ,inspirational
unusual gifts who have everything,2600.0,845.0,44.0,325.0,11, ,adjective
little gifts ,4.0,847.0,20.0,200000.0,11, ,work
gifts friends,9.0,907.0,28.0,100000.0,12, ,work
encouraging gifts ,30.0,907.0,6.0,30000.0,12, ,inspirational
gifts adult ,9.0,907.0,31.0,100000.0,12, ,age
red gifts ,9.0,907.0,22.0,100000.0,12, ,adjective
self care gifts,91.0,907.0,32.0,10000.0,12, ,work
booktok gifts ,907.0,907.0,,1000.0,12, ,work
gift guide ,130.0,909.0,110.0,7000.0,12, ,work
handmade gifts ,9.0,909.0,63.0,100000.0,12, ,work
new home gifts ,15.0,916.0,146.0,60000.0,12, ,work
unique gifts who have everything,261.0,1044.0,51.0,4000.0,25, ,adjective
best teacher gifts ,12.0,1163.0,41.0,100000.0,26, ,adjective
bougie gifts ,1163.0,1163.0,54.0,1000.0,26, ,adjective
great gifts ,12.0,1166.0,28.0,100000.0,26, ,adjective
positive gifts ,40.0,1210.0,70.0,30000.0,26, ,inspirational
bay gifts ,121.0,1210.0,44.0,10000.0,26, ,work
teacher appreciation gifts ,40.0,1212.0,103.0,30000.0,29, ,work
bunco gifts ,1398.0,1285.0,58.0,919.0,27, ,adjective
trending gifts ,129.0,1288.0,69.0,10000.0,26, ,work
quirky gifts ,323.0,1290.0,88.0,4000.0,26, ,adjective
garden gifts ,34.0,1340.0,30.0,40000.0,26, ,adjective
grieving gifts ,670.0,1340.0,,2000.0,26, ,inspirational
yellow gifts ,23.0,1365.0,3.0,60000.0,26, ,adjective
boho gifts ,20.0,1375.0,34.0,70000.0,27, ,adjective
promotion gifts ,158.0,1581.0,-3.0,10000.0,30, ,work
gifts unique,16.0,1582.0,-2.0,100000.0,26, ,adjective
mini gifts ,32.0,1584.0,69.0,50000.0,26, ,work
sunshine gifts ,226.0,1584.0,148.0,7000.0,27, ,adjective
inexpensive gifts ,79.0,1586.0,72.0,20000.0,26, ,work
you got this gifts ,161.0,1613.0,-5.0,10000.0,27, ,adjective
gifts plant lovers ,161.0,1613.0,46.0,10000.0,26, ,adjective
tech gifts ,61.0,1825.0,72.0,30000.0,26, ,work
plant gifts ,61.0,1836.0,24.0,30000.0,27, ,adjective
friends gifts ,18.0,1839.0,34.0,100000.0,26, ,work
pampering gift ,415.0,2073.0,2.0,5000.0,27, ,work
cheer up gifts ,215.0,2147.0,-2.0,10000.0,28, ,inspirational
home decor gifts ,23.0,2284.0,205.0,100000.0,27, ,work
gifts travelers ,232.0,2316.0,22.0,10000.0,27, ,work
unusual gifts ,608.0,2431.0,31.0,4000.0,27, ,adjective
office gifts ,24.0,2431.0,21.0,100000.0,27, ,work
turtle gifts ,243.0,2431.0,23.0,10000.0,31, ,adjective
friendship gifts friends,61.0,2431.0,14.0,40000.0,29, ,work
encouragement gifts ,61.0,2433.0,3.0,40000.0,29, ,inspirational
fall gifts ,24.0,2433.0,-39.0,100000.0,28, ,work
 gifts unique,24.0,2434.0,24.0,100000.0,27, ,adjective
practical gifts ,30.0,2434.0,53.0,80000.0,27, ,work
cool gifts ,27.0,2707.0,29.0,100000.0,27, ,adjective
top gifts ,30.0,2984.0,65.0,100000.0,28, ,adjective
gifts christian ,62.0,3088.0,22.0,50000.0,28, ,adjective
clever gifts ,515.0,3090.0,120.0,6000.0,28, ,adjective
kitchen gifts ,33.0,3306.0,47.0,100000.0,28, ,work
beauty gifts ,33.0,3313.0,54.0,100000.0,28, ,adjective
useful gifts ,115.0,3457.0,37.0,30000.0,28, ,work
monogrammed gifts ,687.0,4124.0,45.0,6000.0,31, ,adjective
fun gifts ,42.0,4167.0,25.0,100000.0,29, ,adjective
housewarming gifts ,87.0,4339.0,143.0,50000.0,30, ,work
witchy gifts ,869.0,4344.0,34.0,5000.0,31, ,adjective
candles gifts ,521.0,4688.0,330.0,9000.0,33, ,work
white elephant gifts ,587.0,4693.0,701.0,8000.0,30, ,adjective
best gifts ,25.0,4902.0,34.0,200000.0,30, ,adjective
cute gifts ,54.0,5430.0,17.0,100000.0,31, ,adjective
bestie gifts ,272.0,5433.0,25.0,20000.0,32, ,adjective
gifts friends ,57.0,5722.0,12.0,100000.0,31, ,work
cozy gifts ,71.0,6429.0,58.0,90000.0,32, ,adjective
friend gifts ,64.0,6436.0,22.0,100000.0,33, ,work
coolest gifts ,1074.0,6443.0,45.0,6000.0,32, ,adjective
dachshund gifts ,695.0,6952.0,123.0,10000.0,36, ,adjective
relaxation gifts ,443.0,8854.0,8.0,20000.0,35, ,inspirational
gardening gifts ,512.0,10238.0,42.0,20000.0,41, ,adjective
inspirational gifts ,117.0,10546.0,9.0,90000.0,39, ,inspirational
relaxing gifts ,183.0,12787.0,795.0,70000.0,39, ,inspirational
small gifts ,135.0,13485.0,49.0,100000.0,40, ,work
friendship gifts ,365.0,18252.0,8.0,50000.0,50, ,work
get well gifts ,243.0,19470.0,-7.0,80000.0,50, ,inspirational
personalized gifts ,237.0,23713.0,59.0,100000.0,54, ,work
unique gifts ,241.0,24078.0,42.0,100000.0,54, ,adjective
anniversary gifts ,361.0,36115.0,-12.0,100000.0,67, ,adjective
$15 gifts,4.0,301.0,83.0,80000.0,8, ,price
s gifts 10 dollars,3.0,301.0,143.0,100000.0,8, ,price
10-15 dollar gifts,31.0,310.0,0.0,10000.0,8, ,price
15 gift,3.0,323.0,,100000.0,8, ,price
$20 gifts,3.0,337.0,86.0,100000.0,8, ,price
gifts cheap,2.0,342.0,285.0,200000.0,8, ,work
best gifts 24 year old,0.0,344.0,,0.0,8, ,age
20.00 gifts,4.0,351.0,410.0,100000.0,8, ,price
cool gifts young ,0.0,358.0,,0.0,8, ,age
gifts 30s,182.0,364.0,-12.0,2000.0,8, ,price
15.00 gifts,4.0,378.0,49.0,100000.0,8, ,price
50 dollar gifts,192.0,383.0,492.0,2000.0,8, ,price
gifts young adults 18-25,832.0,387.0,36.0,465.0,8, ,age
gifts young ,5.0,410.0,20.0,80000.0,8, ,age
gifts 23 year old,905.0,410.0,558.0,453.0,8, ,age
best gifts in their 40s,1543.0,415.0,-3.0,269.0,8, ,age
gifts over 40,83.0,417.0,26.0,5000.0,8, ,age
cheap gifts,4.0,424.0,131.0,100000.0,8, ,work
gifts a 25 year old,510.0,424.0,20.0,832.0,8, ,age
25 gifts unique,62.0,431.0,,7000.0,8, ,price
gifts in their 50s,1148.0,435.0,18.0,379.0,8, ,age
top gifts in their 20s,1833.0,438.0,,239.0,8, ,age
30 gifts,4.0,442.0,33.0,100000.0,8, ,price
10 dollar gifts,74.0,445.0,239.0,6000.0,8, ,price
gifts 26 year old,1146.0,447.0,2.0,390.0,8, ,age
25 dollar gifts,152.0,456.0,92.0,3000.0,8, ,price
5.00 gifts,5.0,463.0,395.0,100000.0,8, ,price
gifts middle aged ,573.0,470.0,28.0,820.0,8, ,age
gifts 25 year old,548.0,475.0,-2.0,867.0,8, ,age
10 dollar gifts,79.0,475.0,36.0,6000.0,8, ,price
10.00 gifts,5.0,481.0,209.0,100000.0,9, ,price
15 gifts,5.0,482.0,1311.0,100000.0,9, ,price
best gifts 28 year old,1492.0,482.0,1.0,323.0,9, ,age
gifts in their 30s,906.0,484.0,100.0,534.0,9, ,age
20 dollar gifts,161.0,642.0,608.0,4000.0,10, ,price
25 gifts,6.0,644.0,324.0,100000.0,10, ,price
20 gifts,6.0,644.0,147.0,100000.0,10, ,price
15 dollar gifts,178.0,713.0,411.0,4000.0,10, ,price
gifts young adult ,102.0,713.0,77.0,7000.0,10, ,age
cool gifts in their 20s,1273.0,713.0,9.0,560.0,10, ,age
young 's gifts,10.0,773.0,34.0,80000.0,11, ,age
$10 gifts,9.0,907.0,45.0,100000.0,12, ,price
5 gifts,13.0,1283.0,58.0,100000.0,26, ,price
10 gifts,14.0,1366.0,87.0,100000.0,26, ,price
gifts over 50,264.0,1586.0,44.0,6000.0,26, ,price
gifts in their 20s,3840.0,2431.0,122.0,633.0,27, ,age
gifts young 20- 25,2686.0,2686.0,62.0,1000.0,27, ,age
young adult gifts ,473.0,3308.0,418.0,7000.0,28, ,age
gifts 30s,3310.0,3310.0,37.0,1000.0,28, ,price
unique gifts over 50,1740.0,3480.0,48.0,2000.0,28, ,price
cheap gifts ,36.0,3641.0,50.0,100000.0,29, ,work
gifts young ,58.0,4679.0,62.0,80000.0,30, ,age
gift office ,2.0,301.0,45.0,200000.0,8, ,work
gift adult ,2.0,301.0,13.0,200000.0,8, ,age
gifts unique,3.0,301.0,-24.0,100000.0,8, ,adjective
gift nature lover ,60.0,302.0,8.0,5000.0,8, ,adjective
 gift anniversary,3.0,309.0,12.0,100000.0,8, ,adjective
gift bestie ,10.0,311.0,99.0,30000.0,8, ,adjective
cheap gifts,3.0,315.0,33.0,100000.0,8, ,work
gift young adult ,48.0,334.0,143.0,7000.0,8, ,age
gift middle aged ,467.0,349.0,37.0,748.0,8, ,age
co worker gifts funny,0.0,349.0,,0.0,8, ,work
cute gift ,2.0,358.0,231.0,200000.0,8, ,adjective
gifts the elderly ,53.0,369.0,6.0,7000.0,8, ,age
vintage gifts unique,12.0,373.0,93.0,30000.0,8, ,age
gifts a traveler ,55.0,387.0,-4.0,7000.0,8, ,work
gift older ,6.0,392.0,22.0,70000.0,8, ,age
personalised gift ,79.0,396.0,3.0,5000.0,8, ,work
small gift ,4.0,429.0,12.0,100000.0,8, ,work
funny gift ,4.0,440.0,33.0,100000.0,8, ,adjective
gifts seniors ,45.0,449.0,70.0,10000.0,8, ,age
gift friends ,5.0,458.0,126.0,100000.0,8, ,work
gift friend,2.0,459.0,1.0,200000.0,8, ,work
 care package gift,23.0,459.0,4.0,20000.0,8, ,work
gift unique,5.0,461.0,11.0,100000.0,8, ,adjective
popular gifts senior ,1043.0,463.0,33.0,444.0,8, ,age
mini gift ,23.0,468.0,81.0,20000.0,8, ,work
gift who has everything,81.0,484.0,7.0,6000.0,9, ,work
gifts old ,7.0,535.0,18.0,80000.0,9, ,age
gifts over 70,321.0,642.0,12.0,2000.0,10, ,age
gift travelers ,64.0,642.0,0.0,10000.0,10, ,work
gift over 50,107.0,642.0,11.0,6000.0,10, ,price
small gift ,3.0,644.0,16.0,200000.0,10, ,work
gift young ,7.0,713.0,14.0,100000.0,10, ,age
gifts older over 80,713.0,713.0,17.0,1000.0,10, ,age
gift friend,4.0,773.0,27.0,200000.0,11, ,work
gifts in their 60s,2102.0,1108.0,43.0,527.0,26, ,age
gifts a 80 year old,582.0,1164.0,28.0,2000.0,26, ,age
unique gifts senior ,583.0,1166.0,-15.0,2000.0,26, ,age
gift teachers ,12.0,1209.0,19.0,100000.0,26, ,work
vintage gifts ,14.0,1287.0,54.0,90000.0,26, ,age
gift older ,18.0,1290.0,28.0,70000.0,26, ,age
best gifts over 70,767.0,1533.0,-5.0,2000.0,26, ,age
cool gifts 50 year old,1586.0,1586.0,-3.0,1000.0,27, ,age
coolest gift ,265.0,1588.0,0.0,6000.0,26, ,adjective
gifts older over 70,1832.0,1832.0,32.0,1000.0,26, ,age
co worker gifts ,115.0,3449.0,47.0,30000.0,28, ,work
gifts elderly ,522.0,4176.0,51.0,8000.0,29, ,age
gifts older ,81.0,5653.0,58.0,70000.0,31, ,age
prizes  ,40,399,39,"10,000",8,,adjective
giftsets  ,703,466,440,663,8,,work
