"Keyword Phrase","Magnet IQ Score","Search Volume","Search Volume Trend","H10 PPC Sugg. Bid","H10 PPC Sugg. Min Bid","H10 PPC Sugg. Max Bid","Sponsored ASINs","Competing Products","CPR","Organic","Smart Complete","Amazon Recommended","Title Density",,
"toys for 13 year olds",369,301,117,,,,279,">815",8,1,0,0,0,,
"prime membership gift",391,301,32,0.57,0.47,0.89,161,">770",8,1,0,0,0,,
"snacks variety pack for adults candy",151,301,-31,1.06,0.67,1.4,410,">2,000",8,1,0,0,0,,
"vet tech week gifts",301,301,-55,0.69,0.53,0.9,557,">1,000",8,1,0,0,9,,
"$15 gifts for women",4,301,83,,,,171,">80,000",8,1,0,0,0,,
"womens gifts 10 dollars",3,301,143,,,,101,">100,000",8,1,0,0,0,,
"small patio decor for apartment balcony",151,301,14,1.12,0.77,1.39,297,">2,000",8,1,0,0,0,,
"end of year gifts for students bulk",50,301,73,,,,109,">6,000",8,0,1,0,0,,
"birthday gifts for new mothers",3,301,-16,1.44,1.06,1.87,327,">90,000",8,1,0,0,0,,
"halloween gifts for teens girls",15,301,44,,,,189,">20,000",8,1,0,0,0,,
"halloween family gifts",30,301,29,,,,340,">10,000",8,1,0,0,0,,
"self care sets for women",38,301,-3,,,,326,">8,000",8,1,0,0,0,,
"for moms gifts",3,301,22,1.83,1.27,2.13,293,">100,000",8,1,0,0,0,,
"family valentine gift",3,301,24,,,,300,">100,000",8,1,0,0,0,,
"easter gifts for college guys",405,301,9,,,,288,743,8,1,0,0,0,,
"gifts for mom same day delivery",151,301,3,1.31,1.18,1.67,273,">2,000",8,1,1,0,0,,
"adult back to school gifts",30,301,11,,,,339,">10,000",8,0,1,0,0,,
"gifts woman unique",3,301,-24,1.32,0.94,1.53,254,">100,000",8,1,0,0,0,,
"lego creator animal gift set",698,301,-22,,,,156,431,8,0,1,0,0,,
"hair chalk for girls dark hair","1,615",302,41,,,,161,187,8,1,0,0,0,,
"birthday gifts fir mom",3,302,149,,,,113,">100,000",8,1,0,0,0,,
"unique mom gifts",4,302,6,0.93,0.75,1.31,332,">80,000",8,1,0,0,2,,
"funny snuggies for adults",950,302,5,0.86,0.68,1.09,248,">318",8,1,0,0,0,,
"valentines day food gifts for her",379,302,10,0.81,0.65,1.15,314,797,8,1,0,0,0,,
"mothers day bundle gifts for mom",423,302,41,1.24,0.96,1.55,158,">714",8,1,0,0,0,,
"halloween snack box for kids",319,302,284,,,,93,">948",8,1,0,0,0,,
"cool gifts for girls 6-8",10,302,74,,,,92,">30,000",8,1,0,0,0,,
"gift for nature lover woman",60,302,8,,,,292,">5,000",8,1,0,0,0,,
"chrismas gifts for women",3,302,12,,,,305,">100,000",8,1,0,0,0,,
"dachshund mothers day gifts",101,302,42,1.21,0.95,1.5,137,">3,000",8,0,1,0,0,,
"cute things for girlfriend",38,303,-23,1.21,0.8,1.55,379,">8,000",8,1,0,0,0,,
"gifts for three friends",3,303,62,,,,189,">100,000",8,1,0,0,0,,
"unique gifts for teenagers",34,303,93,,,,79,">9,000",8,1,0,0,0,,
"birthday gifts for a friend",2,303,-9,,,,298,">200,000",8,1,0,0,0,,
"military care packages for women","3,293",303,73,,,,235,92,8,1,0,0,0,,
"amener luxury business gift set","3,443",303,7,,,,1,88,8,1,0,0,0,,
"decor gift",3,303,5,,,,340,">100,000",8,1,0,0,1,,
"forgive me gifts for her","1,056",303,3,,,,239,">287",8,0,1,0,4,,
"best mothers day gifts for wife",4,303,-2,2.11,1.54,2.78,310,">70,000",8,1,0,0,0,,
"spa gifts for women luxury self care relaxation",365,303,23,,,,255,">831",8,1,0,0,0,,
"garden decor for mothers day",38,303,58,0.99,0.79,1.11,187,">8,000",8,1,0,0,0,,
"sherpa socks for women",517,304,13,,,,187,">588",8,1,0,0,0,,
"pamper set for women",51,304,-11,,,,397,">6,000",8,1,0,0,0,,
"valentines day gifts for her same day delivery",372,304,1,1.2,0.83,1.68,217,">817",8,1,0,0,0,,
"mothers day gifts for sister from sister",8,304,31,1.21,0.92,1.62,248,">40,000",8,1,0,0,2,,
"mothers day gift ebt","3,897",304,-3,1.33,0.98,1.64,73,78,8,0,1,0,0,,
"college care package for guys dorm","1,626",304,-20,0.66,0.5,0.84,232,187,8,1,0,0,0,,
"quick fathers day gifts",43,304,-7,,,,224,">7,000",8,1,0,0,0,,
"teacher appreciation gift",6,305,-2,1.17,0.93,1.38,394,">50,000",8,1,0,0,3,,
"gifts for fathers birthday",3,305,3,,,,283,">100,000",8,1,0,0,0,,
"aromatherapy gift sets for women",38,305,30,,,,311,">8,000",8,1,0,0,0,,
"mens gift for birthday",3,305,39,,,,275,">100,000",8,1,0,0,0,,
"body cream gift",61,305,51,,,,134,">5,000",8,1,0,0,5,,
"funny birthday gifts for sister",8,305,-7,,,,333,">40,000",8,1,0,0,1,,
"wedding night gifts",15,305,-16,1.07,0.82,1.39,323,">20,000",8,1,0,0,0,,
"valentines gifts for women",3,305,52,1.32,0.82,1.62,225,">100,000",8,1,0,0,0,,
"spa for women",8,305,-12,,,,237,">40,000",8,1,0,0,0,,
"bombs for shower",305,305,59,1.63,1.14,1.93,241,">1,000",8,1,0,0,0,,
"gag gift for teenage girl",61,305,29,,,,274,">5,000",8,1,0,0,0,,
"learning books for adults",4,305,41,,,,247,">80,000",8,1,0,0,0,,
"gift vard",675,305,56,0.69,0.53,1.02,107,452,8,1,0,0,0,,
"plus gift",3,305,-5,,,,274,">100,000",8,1,0,0,0,,
"friend valentine gift",3,305,39,1.46,0.97,1.81,267,">100,000",8,1,0,0,0,,
"fatjers day gifts",3,305,7,1.85,1.46,2.28,219,">100,000",8,1,0,0,0,,
"gourmet gifts for dad",788,305,61,,,,48,387,8,1,0,0,0,,
"soft gifts for women",3,305,19,,,,388,">100,000",8,1,0,0,0,,
"gift cerificate",153,305,24,0.81,0.47,1.05,241,">2,000",8,1,0,0,0,,
"mothers day gifts from sister",15,305,-15,1.24,0.96,1.53,282,">20,000",8,1,0,0,0,,
"grandma mothers day gift garden",10,305,8,0.9,0.71,1.1,150,">30,000",8,1,0,0,0,,
"top valentine's gifts for her",3,305,3,1.52,1.08,1.97,241,">100,000",8,1,0,0,0,,
"label for kids school stuff","1,215",305,-21,0.99,0.8,1.5,384,251,8,1,0,0,0,,
"burts bees gift set for 9.99","3,315",305,6,,,,100,92,8,1,0,0,0,,
"grooms mens gifts",31,305,-45,1.07,0.71,1.22,192,">10,000",8,1,0,0,0,,
"snacks for college dorm",847,305,10,,,,341,360,8,1,0,0,0,,
"headed hoodies for women",153,305,80,,,,84,">2,000",8,1,0,0,0,,
"fun easter candy for teens","1,380",305,22,,,,180,221,8,1,0,0,0,,
"mothers day gifts for mom relaxation",153,305,1,1.52,1.13,1.83,223,">2,000",8,1,0,0,0,,
"fathers day plant gifts",44,305,46,1,0.89,1.46,172,">7,000",8,1,0,0,0,,
"cute weird gift",51,305,-21,,,,163,">6,000",8,1,0,0,0,,
"pre k halloween gifts",305,305,"n/a",,,,48,">1,000",8,0,1,0,0,,
"top gifts for plant lovers",153,305,"n/a",,,,60,">2,000",8,1,0,0,0,,
"fun gifts for boyfriend",31,306,-3,1.03,0.78,1.3,0,">10,000",8,1,0,0,0,,
"gifts for green thumb",44,306,3,,,,278,">7,000",8,1,0,0,0,,
"fall things for teens",306,306,-2,,,,262,">1,000",8,1,0,0,0,,
"valentines day treats for kids",61,306,48,0.68,0.44,0.76,278,">5,000",8,1,0,0,0,,
"unique+mother+gifts",3,306,59,,,,164,">100,000",8,1,0,0,0,,
"wedding presents for couple",44,306,2,1,0.71,1.2,244,">7,000",8,1,0,0,0,,
"gifts for friends tv show fans",604,306,21,,,,166,507,8,0,1,0,0,,
"cool things for guys apartment","1,437",306,1,0.8,0.54,0.89,341,">213",8,1,0,0,0,,
"gifts for best mom",3,306,10,,,,322,">100,000",8,1,0,0,0,,
"wedding shower gift",3,307,-19,1.33,0.93,1.61,321,">100,000",8,1,0,0,0,,
"gift for 8 years old girl",38,307,-12,,,,186,">8,000",8,1,0,0,0,,
"the best gift for kids",3,307,23,,,,291,">100,000",8,1,0,0,0,,
"fathera day gift",3,307,16,1.82,1.29,2.25,225,">100,000",8,1,0,0,0,,
"best valentines day gifts for wife",2,307,-9,1.8,1.29,2.31,238,">200,000",8,1,0,0,0,,
"solar statues for yard and garden",154,307,-17,0.96,0.65,1.3,360,">2,000",8,1,0,0,0,,
"comfy socks for women gift",31,307,70,0.84,0.67,1.17,193,">10,000",8,1,0,0,0,,
"self care christmas gifts",61,307,89,,,,134,">5,000",8,1,0,0,1,,
"best pampering gifts",44,307,10,,,,287,">7,000",8,1,0,0,0,,
"top rated gifts 2023",51,307,26,,,,245,">6,000",8,1,0,0,0,,
"gif for girls ages 8-12",408,307,39,,,,122,752,8,1,0,0,0,,
"mom gifts unique",2,308,-1,,,,400,">200,000",8,1,0,0,0,,
"lotion gifts for women",77,308,1,,,,343,">4,000",8,1,0,0,0,,
"halloween gifts for teens",10,308,58,0.71,0.49,0.86,891,">30,000",8,1,0,0,0,,
"spotify app for kindle fire","51,333",308,-14,0.83,0.66,1.75,1,6,8,1,0,0,0,,
"gifts for boyfriends birthday",3,308,-11,1,0.8,1.29,343,">100,000",8,1,0,0,0,,
"silly headbands for women",569,308,333,,,,72,541,8,1,0,0,0,,
"solar gifts for women",154,308,11,,,,217,">2,000",8,1,0,0,0,,
"overnight birthday gifts",154,308,-11,1.23,1.07,1.59,282,">2,000",8,1,0,0,0,,
"chemo socks for women",975,308,-7,1.19,0.88,1.36,351,">316",8,1,0,0,0,,
"unique kid gifts",3,308,58,,,,133,">100,000",8,1,0,0,0,,
"decor for outside",3,308,-1,0.63,0.49,0.77,325,">100,000",8,1,0,0,1,,
"instant camera for girls",821,308,76,,,,228,375,8,1,0,0,0,,
"preserved rose gift",308,308,-16,1.59,1.27,1.82,256,">1,000",8,1,0,0,2,,
"girls gifts for 12",3,308,1,,,,315,">100,000",8,1,0,0,0,,
"halloween candy for college students",448,308,"19,108",0.74,0.53,0.99,163,688,8,1,0,0,0,,
"halloween gifts for college students",308,308,83,0.58,0.52,0.91,424,">1,000",8,1,0,0,0,,
"birthday gifts for big girls",3,308,49,,,,130,">100,000",8,1,0,0,0,,
"halloween college care package for girls","1,433",308,"n/a",1.04,0.74,1.25,94,215,8,1,0,0,0,,
"women's valentine's day gifts",3,308,13,,,,235,">100,000",8,1,0,0,0,,
"halloween candy box gift",10,308,336,1.01,0.67,1.53,95,">30,000",8,1,0,0,0,,
"label printer for school supplies",732,308,-6,,,,305,421,8,1,0,0,0,,
"8 year girl birthday gift",51,308,-1,1.64,1.3,2.01,249,">6,000",8,1,0,0,0,,
"gifts for couples 2023",51,308,40,0.98,0.73,1.18,285,">6,000",8,1,0,0,4,,
"gifts for 7 yo girl",308,308,39,,,,237,">1,000",8,1,0,0,0,,
"christmas gifts for family groups",3,308,11,,,,293,">100,000",8,1,0,0,0,,
"easter gift for female friend","1,311",308,26,,,,185,235,8,1,0,0,0,,
"mothers day practical gifts",10,308,22,,,,301,">30,000",8,1,0,0,0,,
"popcorn fathers day gifts","2,525",308,-3,,,,199,122,8,1,0,0,0,,
"top gifts for 8yr old girls",308,308,"n/a",1.31,1.05,1.61,36,">1,000",8,1,0,0,0,,
"japanese toys for girls",309,309,4,0.79,0.69,1,368,">1,000",8,1,0,0,1,,
"women gift for anniversary",3,309,12,,,,289,">100,000",8,1,0,0,0,,
"google play gift code","8,829",309,66,0.8,0.71,1.37,3,35,8,1,0,0,4,,
"toddler personalized gifts",31,309,2,,,,208,">10,000",8,0,1,0,0,,
"gifts for someone with dementia",724,309,11,0.9,0.61,1,332,427,8,1,0,0,0,,
"popcorn gift set christmas","1,236",309,26,,,,176,250,8,1,0,0,0,,
"gift wrapping bows variety pack",369,309,36,,,,243,837,8,0,1,0,0,,
"college student care package for guys","1,030",309,-6,,,,200,300,8,1,0,0,0,,
"adult prize gifts",31,309,6,0.88,0.71,1.06,306,">10,000",8,1,0,0,0,,
"birthday gifts for old guys",103,309,-36,,,,186,">3,000",8,1,0,0,0,,
"educational insights playfoam party pack of 20: non-toxic, gifts for kids classroom, stocking stuffe","6,574",309,"n/a",,,,4,47,8,0,1,0,0,,
"cheap little gifts for friends",3,309,"n/a",,,,60,">100,000",8,1,0,0,0,,
"gifts for friend woman",3,310,161,1.24,0.9,1.54,267,">100,000",8,1,0,0,0,,
"mom bday gift",3,310,-22,1.4,1.06,1.69,340,">100,000",8,1,0,0,0,,
"girls unique gifts",3,310,12,,,,349,">100,000",8,1,0,0,0,,
"valentines day gift sets for her",16,310,11,0.93,0.77,1.21,172,">20,000",8,1,0,0,0,,
"labor day gifts",52,310,37,0.9,0.67,0.99,150,">6,000",8,1,0,0,3,,
"halloween snack boxes for kids",310,310,8,0.75,0.61,1.14,311,">1,000",8,1,0,0,0,,
"best christmas gifts for women 2023",3,310,8,1.17,0.86,1.45,301,">100,000",8,1,0,0,0,,
"fancy tea cups for women",489,310,11,,,,229,">634",8,1,0,0,0,,
"10-15 dollar gifts for women",31,310,0,,,,285,">10,000",8,1,0,0,0,,
"fall favorites gifts for women",31,310,-25,0.99,0.78,1.28,134,">10,000",8,1,0,0,0,,
"washable hair color for kids","1,030",311,-3,0.96,0.69,1.16,265,302,8,1,0,0,1,,
"one day shipping gifts",78,311,4,1.13,0.92,2.25,411,">4,000",8,1,0,0,0,,
"dozen roses for delivery",857,311,17,1.9,1.46,1.98,136,363,8,1,0,0,0,,
"dietician gifts",997,311,53,0.72,0.54,0.89,139,">312",8,1,0,0,1,,
"das gifts",2,311,34,1.15,0.88,1.43,336,">200,000",8,1,0,0,0,,
"gift gards",789,311,30,,,,213,394,8,1,0,0,0,,
"gifts for woken",3,311,3,,,,273,">100,000",8,1,0,0,0,,
"birthday women gifts",3,311,-8,,,,412,">100,000",8,1,0,0,0,,
"housekeeping appreciation gifts",377,311,5,0.75,0.62,0.92,425,825,8,1,0,0,6,,
"halloween treats for teens",311,311,50,0.77,0.58,0.87,301,">1,000",8,1,0,0,0,,
"halloween gift boxes for college students","2,060",311,"n/a",0.68,0.53,0.74,35,151,8,1,0,0,0,,
"halloween candy gift",78,311,158,0.68,0.49,0.97,547,">4,000",8,1,0,0,3,,
"fathers say gifts",3,311,-3,1.8,1.39,2.37,214,">100,000",8,1,0,0,0,,
"father day gift from dog",3,311,11,1.09,0.84,1.33,164,">100,000",8,0,1,0,0,,
"foot cream gift set for women","1,453",311,10,,,,254,214,8,1,0,0,0,,
"women's birthday gift",3,311,37,,,,290,">100,000",8,1,0,0,0,,
"birthday plants gifts for women",31,311,-7,0.9,0.78,1.72,327,">10,000",8,1,0,0,1,,
"halloween candy care package for college students","1,013",311,275,0.89,0.61,0.92,106,307,8,1,0,0,0,,
"best gifts for 6 year old girls 2023",453,311,30,,,,140,">687",8,1,0,0,0,,
"gift for bestie woman",10,311,99,,,,193,">30,000",8,1,0,0,0,,
"cheistmas gift for mom",3,311,60,,,,128,">100,000",8,1,0,0,0,,
"valentine gifts women",3,311,7,,,,245,">100,000",8,1,0,0,0,,
"national women's day gifts","103,667",311,21,,,,180,3,8,1,0,0,0,,
"romantic mothers day gifts",31,311,-3,,,,184,">10,000",8,1,0,0,0,,
"awesome gifts for sisters",31,311,4,1.42,1.12,1.64,154,">10,000",8,1,0,0,0,,
"tihar gift for brother","1,510",311,"n/a",,,,36,206,8,0,1,0,0,,
"christmas unique gifts for women",2,311,"n/a",,,,48,">200,000",8,1,0,0,0,,
"ghostface gifts for women",317,311,"n/a",,,,36,">981",8,0,1,0,0,,
"baby shower hostess thank you gifts","1,177",312,-11,1.1,0.83,1.41,327,265,8,1,0,0,0,,
"apartment gifts for women",31,312,40,,,,399,">10,000",8,1,0,0,0,,
"guy friend gifts",31,312,39,1.17,0.87,1.44,336,">10,000",8,1,0,0,0,,
"words of encouragement gifts",31,312,39,,,,235,">10,000",8,1,0,0,0,,
"funny mens birthday gifts",3,312,5,,,,335,">90,000",8,1,0,0,0,,
"valentines day gift for mom from daughter",3,312,18,1.15,0.86,1.47,216,">100,000",8,1,0,0,0,,
"popcorn gifts for women",312,312,14,1.05,0.88,1.37,316,">1,000",8,1,0,0,1,,
"dorm care packages for college girls","1,472",312,1,,,,249,212,8,1,0,0,0,,
"gifts for indoor gardeners",31,313,27,,,,324,">10,000",8,1,0,0,0,,
"gift care",31,313,20,,,,261,">10,000",8,1,0,0,0,,
"6 yesr old girl gifts",35,313,20,,,,258,">9,000",8,1,0,0,0,,
"fthers day gifts",3,313,1,,,,247,">100,000",8,1,0,0,0,,
"mental health gift",31,313,4,1.06,0.78,1.53,272,">10,000",8,1,0,0,4,,
"mens self care gifts",63,313,37,1.23,0.91,1.66,306,">5,000",8,1,0,0,0,,
"best women's gifts",2,313,10,,,,312,">200,000",8,1,0,0,0,,
"spring legos for kids",389,313,78,0.86,0.54,0.97,125,804,8,1,0,0,0,,
"overnight dad gifts",420,313,17,,,,149,745,8,1,0,0,0,,
"gift for female boss",31,314,32,1.18,0.92,1.45,306,">10,000",8,1,0,0,0,,
"gifts for mothers day from friend",3,314,6,,,,171,">100,000",8,1,0,0,0,,
"snacks for dorm",678,314,-1,,,,423,463,8,1,0,0,0,,
"birthday gifts for new mother",3,314,-22,,,,256,">90,000",8,1,0,0,0,,
"birthday gifts for girls 10 years old",35,315,24,,,,265,">9,000",8,1,0,0,0,,
"christmas gift grandma",3,315,19,1.22,0.95,1.5,339,">100,000",8,1,0,0,0,,
"funny nerd gifts",63,315,-1,,,,257,">5,000",8,1,0,0,1,,
"cheap woman gifts",3,315,33,,,,233,">100,000",8,1,0,0,0,,
"best christmas gifts for wife",3,315,44,1.19,0.94,1.45,176,">100,000",8,1,0,0,0,,
"pottery gift",35,315,-9,,,,207,">9,000",8,1,0,0,1,,
"hair color for kids non toxic washable","1,944",315,132,,,,77,162,8,1,0,0,0,,
"christmas gifts for adults 2023",79,315,460,,,,169,">4,000",8,1,0,0,0,,
"custom picture gifts for dad",3,315,7,,,,298,">100,000",8,0,1,0,0,,
"strange gifts for adults",316,316,14,0.74,0.55,0.95,297,">1,000",8,1,0,0,0,,
"for fun",1,316,20,1.3,0.83,2.48,340,">300,000",8,1,0,0,0,,
"wedding keepsakes for guests",79,316,7,0.82,0.48,1.05,356,">4,000",8,1,0,0,0,,
"fun for women",3,316,17,,,,352,">100,000",8,1,0,0,0,,
"gift boxes with lids 10x10",414,316,38,,,,158,">763",8,0,1,0,0,,
"outdoor mothers day gifts",5,316,45,1.04,0.85,1.27,232,">70,000",8,1,0,0,0,,
"halloween gift for teen girl",16,316,"n/a",,,,60,">20,000",8,1,0,0,0,,
"smoke ice for drinks","1,621",316,92,,,,227,195,8,1,0,0,0,,
"gifts rose",3,317,-2,,,,275,">100,000",8,1,0,0,0,,
"6 year old girls birthday gifts",53,317,-25,,,,278,">6,000",8,1,0,0,0,,
"solar statues for garden",32,317,13,,,,240,">10,000",8,1,0,0,1,,
"mugs for gifts",4,317,36,,,,202,">80,000",8,1,0,0,0,,
"gifts for girls 6",3,317,27,,,,335,">100,000",8,1,0,0,0,,
"hair chalk for girls washable dark hair","1,434",317,6,,,,195,221,8,1,0,0,0,,
"easter for women gift","2,099",317,29,1.2,0.98,1.49,139,151,8,1,0,0,0,,
"mothers day gifts for mom lego","1,791",317,19,,,,149,177,8,1,0,0,0,,
"girl gifts 8 years old",32,318,4,,,,292,">10,000",8,1,0,0,0,,
"annivasary gift",3,318,18,,,,286,">100,000",8,1,0,0,0,,
"birthday gift snacks",64,318,-4,,,,388,">5,000",8,1,0,0,0,,
"fun unique gifts",3,318,-2,,,,375,">100,000",8,1,0,0,0,,
"valentines day gifts for her same day",106,318,14,1.43,0.96,1.71,243,">3,000",8,1,0,0,0,,
"big sister gifts for women",3,318,18,1.04,0.76,1.33,278,">100,000",8,1,0,0,0,,
"treats for halloween",16,318,38,0.79,0.57,0.97,429,">20,000",8,1,0,0,1,,
"aesthetic gifts for teens",16,318,-19,,,,278,">20,000",8,0,1,0,0,,
"plant mothers day gifts",32,318,26,0.9,0.7,1.01,102,">10,000",8,1,1,0,0,,
"7-10 year old girl gifts",80,318,22,,,,255,">4,000",8,1,0,0,0,,
"smoker for bourbon",763,318,24,,,,180,417,8,1,0,0,0,,
"rad tech week gifts 2024","3,495",318,"n/a",,,,0,91,8,0,1,0,0,,
"gift for gardeners",2,319,10,,,,322,">200,000",8,1,0,0,2,,
"birthday treats for college students",792,319,5,,,,257,403,8,1,0,0,0,,
"cute things for gf",778,319,5,,,,272,">410",8,1,0,0,0,,
"practical mothers day gifts",11,319,12,1.4,1.15,1.68,284,">30,000",8,1,0,0,0,,
"great stocking stuffers for women",16,319,5,0.95,0.75,1.56,228,">20,000",8,1,0,0,0,,
"gift crad",32,319,-1,0.46,0.41,0.51,252,">10,000",8,1,0,0,0,,
"lighted outdoor display for mom","1,119",319,-9,0.8,0.77,1.21,290,285,8,1,0,0,0,,
"american candy gift box",802,320,32,,,,229,399,8,1,0,0,0,,
"flannel socks for women","1,013",320,39,,,,167,">316",8,1,0,0,0,,
"ny yankee gifts",64,320,52,0.72,0.51,0.94,144,">5,000",8,0,1,0,0,,
"girfts for her",3,320,6,,,,160,">100,000",8,1,0,0,0,,
"medical assistant gift",53,320,54,0.99,0.66,1.08,371,">6,000",8,1,0,0,0,,
"first day of college gift",107,320,21,0.89,0.68,1.07,297,">3,000",8,1,0,0,0,,
"gifts arriving today","2,406",320,42,,,,193,133,8,1,0,0,0,,
"thank you gifts for women appreciation",16,320,-2,1.19,0.96,1.45,330,">20,000",8,1,0,0,1,,
"friendship mothers day gifts",16,320,-10,,,,210,">20,000",8,1,0,0,0,,
"birthday gifts for father",3,321,-9,,,,392,">100,000",8,1,0,0,0,,
"birthday gift girl",3,321,-9,1.38,1.11,1.71,391,">100,000",8,1,0,0,0,,
"gift mother in law",2,321,52,,,,208,">200,000",8,1,0,0,1,,
"anniversary gift to husband",8,321,-25,,,,320,">40,000",8,1,0,0,0,,
"best sister birthday gifts",3,321,-28,1.12,0.89,1.46,320,">100,000",8,1,0,0,0,,
"married couple christmas gifts",5,321,25,,,,277,">70,000",8,1,0,0,0,,
"1 day delivery gifts",16,321,39,,,,283,">20,000",8,1,0,0,0,,
"mother day gifts for mom",3,321,-10,1.55,1.19,1.96,333,">100,000",8,1,0,0,0,,
"gift fir mom",3,321,63,1.26,1.02,1.63,239,">100,000",8,1,0,0,0,,
"care package for kids at camp",54,321,20,,,,271,">6,000",8,1,0,0,0,,
"galentine gifts",3,321,-4,1.07,0.9,1.61,308,">100,000",8,1,0,0,0,,
"trip essentials for vacation",36,321,-10,0.74,0.73,1.29,295,">9,000",8,1,0,0,0,,
"beat friend christmas gifts",3,321,113,,,,48,">100,000",8,1,0,0,0,,
"cool gifts for girlfriend birthday",11,321,-9,1.69,1.17,2.21,303,">30,000",8,1,0,0,0,,
"wedding shower gifts for couples",32,322,-8,,,,419,">10,000",8,1,0,0,0,,
"bridal shower guest gifts",32,322,-8,0.94,0.72,1.16,326,">10,000",8,1,0,0,0,,
"wool anniversary gifts for her",602,322,-18,1.08,0.71,1.48,362,">535",8,1,0,0,0,,
"cool guys gifts",16,322,11,,,,288,">20,000",8,1,0,0,0,,
"mothers day gift for grandma",4,322,24,1.39,0.99,1.75,258,">90,000",8,1,0,0,1,,
"fall gift set",4,322,-15,0.98,0.74,1.32,386,">90,000",8,1,0,0,2,,
"women valentines gift",3,322,12,,,,175,">100,000",8,1,0,0,0,,
"top gifts 8 year old girl",323,323,-33,1.55,1.26,1.93,326,">1,000",8,1,0,0,0,,
"great kitchen gifts",54,323,-1,,,,351,">6,000",8,1,0,0,0,,
"things for college students",46,323,37,0.72,0.53,0.88,307,">7,000",8,1,0,0,1,,
"women office gifts",3,323,2,,,,227,">100,000",8,1,0,0,0,,
"8 year old girls birthday gifts",54,323,8,1.49,1.15,1.76,260,">6,000",8,1,0,0,0,,
"christmas presents for couples",32,323,25,0.81,0.65,0.94,222,">10,000",8,1,0,0,0,,
"cool gifts for moms",4,323,12,1.41,1.1,2,258,">90,000",8,1,0,0,1,,
"hair gift sets for teens",16,323,32,,,,206,">20,000",8,1,0,0,0,,
"box of snacks variety for kids",162,323,0,0.97,0.48,1.17,261,">2,000",8,1,0,0,0,,
"critter wrap blanket for adults","5,981",323,10,1.01,0.82,1.48,156,54,8,1,0,0,0,,
"back to school gifts for grandkids",674,323,25,0.85,0.62,1.02,264,">479",8,1,0,0,0,,
"buc ee's gifts","1,170",323,-10,,,,176,276,8,0,1,0,0,,
"15 gift women",3,323,"n/a",1.05,0.73,1.31,132,">100,000",8,1,0,0,0,,
"flavored popcorn gift",551,324,31,,,,223,588,8,1,0,0,0,,
"chritmas gifts for mom",3,324,30,,,,223,">100,000",8,1,0,0,0,,
"home kitchen gifts",3,324,4,,,,361,">100,000",8,1,0,0,0,,
"gifts for mothers christmas",3,324,-7,1.33,1.04,1.58,278,">100,000",8,1,0,0,0,,
