"Keyword Phrase","Magnet IQ Score","Search Volume","Search Volume Trend","H10 PPC Sugg. Bid","H10 PPC Sugg. Min Bid","H10 PPC Sugg. Max Bid","Sponsored ASINs","Competing Products","CPR","Organic","Smart Complete","Amazon Recommended","Title Density",,
"gifts for coworkers",100,"9,961",87,0.76,0.51,1.02,645,">100,000",38,1,0,0,5,,
"christmas gift",50,"9,950",174,0.88,0.72,1.19,827,">200,000",37,1,0,0,2,,
"gifts for brother",99,"9,942",85,1.15,0.83,1.61,475,">100,000",42,1,0,0,18,,
"engagement gifts for women",142,"9,931",185,1.42,1.06,1.64,606,">70,000",38,1,0,0,5,,
"inspirational gifts for women",95,"8,570",12,0.96,0.69,1.14,461,">90,000",36,1,0,0,6,,
"gifts for teenage girls",857,"8,567",61,0.91,0.7,1.26,582,">10,000",35,1,0,0,2,,
"wedding gift",86,"8,567",-13,1.13,0.84,1.45,560,">100,000",36,1,0,0,4,,
"christmas gifts for teens",119,"8,342",170,1.05,0.67,1.14,851,">70,000",34,1,0,0,0,,
"best friend birthday gifts for women",834,"8,339",73,1.17,0.89,1.56,644,">10,000",36,1,0,0,5,,
"dad christmas gifts",119,"8,334",198,1.2,0.91,1.48,467,">70,000",34,1,0,0,1,,
"religious gifts for women",208,"8,334",14,0.81,0.61,1.07,479,">40,000",36,1,0,0,7,,
"stress relief gifts",273,"8,188",6,0.82,0.66,1.18,633,">30,000",35,1,0,0,3,,
"small gifts",78,"7,831",58,0.75,0.66,1.11,768,">100,000",34,1,0,0,0,,
"bookish gifts","1,119","7,830",53,0.76,0.53,0.97,794,">7,000",37,1,0,0,12,,
"cheer gifts",112,"7,830",61,0.56,0.42,0.9,751,">70,000",36,1,0,0,7,,
"gifts for mom birthday",78,"7,830",-11,1.25,0.88,1.78,599,">100,000",34,1,0,0,2,,
"long distance relationship gifts","2,609","7,828",-19,0.83,0.49,1.02,656,">3,000",38,1,0,0,15,,
"mens gift",78,"7,828",49,1.26,0.85,1.66,542,">100,000",34,1,0,0,0,,
"relaxation gifts for women",712,"7,117",21,1.15,0.8,1.64,515,">10,000",33,1,0,0,2,,
"funny christmas gifts",71,"7,082",188,0.78,0.57,0.92,756,">100,000",33,1,0,0,0,,
"white elephant gifts for adults funny","1,416","7,081",324,0.74,0.58,0.96,493,">5,000",34,1,0,0,3,,
"burts bees gift sets for women","24,933","7,081",194,0.82,0.65,0.96,475,284,33,1,0,0,0,,
"house warming gifts",177,"7,081",40,1.09,0.75,1.64,669,">40,000",37,1,0,0,15,,
"gift for boyfriend",76,"6,880",-8,0.97,0.73,1.22,657,">90,000",33,1,0,0,1,,
"halloween gifts for teens",224,"6,729",190,0.69,0.48,0.84,850,">30,000",32,1,0,0,0,,
"happy birthday gifts for women",67,"6,729",32,1.21,0.71,1.67,623,">100,000",34,1,0,0,4,,
"gifts under 20 dollars",67,"6,729",103,1.06,0.84,1.29,644,">100,000",32,1,0,0,0,,
"cool gifts",67,"6,729",46,1,0.67,1.26,653,">100,000",33,1,0,0,1,,
"birthday gift",34,"6,729",-10,1.1,0.76,1.46,627,">200,000",34,1,0,0,6,,
"housewarming gifts",67,"6,729",4,1.02,0.6,1.26,523,">100,000",37,1,0,0,14,,
"boyfriend christmas gifts",168,"6,727",311,1,0.79,1.33,573,">40,000",32,1,0,0,0,,
"gifts for couples",75,"6,727",78,1.16,0.84,1.4,540,">90,000",35,1,0,0,9,,
"mens gifts for birthday",67,"6,727",-2,1.57,1.15,2.11,473,">100,000",32,1,0,0,0,,
"birthday gift for women",34,"6,727",-9,1.13,0.84,1.54,610,">200,000",32,1,0,0,0,,
"cancer care gifts for women","1,040","6,237",-1,1.03,0.69,1.25,620,">6,000",35,1,0,0,10,,
"gifts for moms",62,"6,235",51,1.27,0.94,1.59,461,">100,000",32,1,0,0,0,,
"womens birthday gifts",31,"6,235",-8,1.31,0.85,1.82,576,">200,000",32,1,0,0,0,,
"fall gifts",62,"6,234",-4,1.1,0.8,1.35,686,">100,000",32,1,0,0,2,,
"food gifts",104,"6,234",45,1.21,0.74,1.55,620,">60,000",33,1,0,0,3,,
"graduation gifts",62,"6,232",17,0.97,0.76,1.35,634,">100,000",39,1,0,0,23,,
"thinking of you gifts for women",208,"6,230",22,1.1,0.8,1.57,578,">30,000",34,1,0,0,7,,
"daughter gifts",62,"6,230",69,1.33,1.15,1.59,641,">100,000",39,1,0,0,22,,
"senior night gifts","2,076","6,229",202,0.89,0.7,1.09,565,">3,000",35,1,0,0,11,,
"family gifts",62,"6,229",133,0.96,0.73,1.28,695,">100,000",32,1,0,0,1,,
"gifts for teenage boys",890,"6,229",112,1.13,0.81,1.45,732,">7,000",33,1,0,0,3,,
"gardening gifts for women",311,"6,229",30,1.06,0.88,1.55,479,">20,000",36,1,0,0,14,,
"birthday gifts for boyfriend",62,"6,223",-10,1.11,0.81,1.27,685,">100,000",32,1,0,0,2,,
"women christmas gifts",31,"6,223",239,1.02,0.82,1.46,615,">200,000",32,1,0,0,1,,
"teen christmas gifts",89,"6,222",191,1.04,0.87,1.45,744,">70,000",32,1,0,0,0,,
"cool gifts man",55,"5,531",235,1.35,1.07,1.79,686,">100,000",31,1,0,0,0,,
"gifts for teen girls 14-16","1,844","5,531",70,0.97,0.66,1.38,636,">3,000",31,1,0,0,0,,
"gifts for mother in law",276,"5,526",76,1.23,0.93,1.78,623,">20,000",33,1,0,0,7,,
"fall gifts for women",55,"5,519",-16,1.04,0.75,1.35,777,">100,000",32,1,0,0,3,,
"custom gifts",55,"5,517",32,1.42,1.2,1.87,649,">100,000",31,1,0,0,0,,
"witchy gifts",689,"5,510",33,0.94,0.65,1.24,597,">8,000",33,1,0,0,8,,
"birthday gifts for sister",55,"5,507",-15,1.21,0.86,1.67,563,">100,000",35,1,0,0,12,,
"gift sets women",55,"5,464",92,0.88,0.57,0.97,784,">100,000",31,1,0,0,0,,
"best gifts 2024",60,"5,363",103,0.71,0.6,1.07,740,">90,000",31,1,0,0,0,,
"luxury gifts for women",89,"5,363",82,1.32,0.92,1.67,840,">60,000",31,1,0,0,0,,
"engagement gifts",105,"5,260",8,1.07,0.69,1.47,563,">50,000",35,1,0,0,14,,
"house warming gifts new home women","1,315","5,258",124,1.08,0.87,1.37,629,">4,000",31,1,0,0,1,,
"gift boxes with lids","2,629","5,257",35,0.92,0.8,1.05,727,">2,000",39,0,1,0,27,,
"cute gifts",53,"5,255",12,0.98,0.56,1.12,811,">100,000",31,1,0,0,1,,
"gifts for friends",131,"5,253",29,1.22,0.91,1.8,659,">40,000",32,1,0,0,5,,
"gift for girlfriend",53,"5,253",6,1.51,0.93,2,511,">100,000",31,1,0,0,1,,
"stress relief gifts for women",525,"5,251",168,1.23,0.87,1.54,663,">10,000",31,1,0,0,2,,
"christmas gift sets",52,"5,191",284,0.82,0.62,1.1,690,">100,000",30,1,0,0,0,,
"gifts for college girls",250,"5,008",41,0.92,0.7,1.25,723,">20,000",31,1,0,0,1,,
"coolest gifts for women",834,"5,001",55,1.19,1,1.54,707,">6,000",30,1,0,0,0,,
"kids halloween gifts",50,"4,998",209,0.87,0.64,0.99,716,">100,000",30,1,0,0,0,,
"fun gifts",50,"4,998",61,0.94,0.59,1.29,736,">100,000",30,1,0,0,0,,
"cool engagement gift",499,"4,993",96,1.09,0.94,1.45,552,">10,000",30,1,0,0,0,,
"friend gifts for women",24,"4,756",19,1.11,0.73,1.5,573,">200,000",30,1,0,0,0,,
"couples unique gifts",119,"4,754",175,1.14,0.88,1.44,514,">40,000",30,1,0,0,0,,
"gifts for best friend woman",48,"4,754",16,1.19,0.83,1.63,507,">100,000",30,1,0,0,0,,
"coffee gifts",47,"4,749",47,1.18,0.85,1.47,708,">100,000",31,1,0,0,4,,
"gift box for women",47,"4,679",4,0.7,0.5,0.99,697,">100,000",30,1,0,0,2,,
"women birthday gifts",45,"4,540",-10,1.32,0.93,1.83,656,">100,000",30,1,0,0,1,,
"cool gifts for female friend",50,"4,537",-21,1.18,0.89,1.5,720,">90,000",30,1,0,0,0,,
"cute gifts for women",45,"4,535",16,1.11,0.69,1.49,638,">100,000",30,1,0,0,0,,
"best womens gifts 2024",526,"4,206",143,1.23,0.85,1.41,345,">8,000",29,1,0,0,0,,
"gifts for new mom",70,"4,206",6,1.06,0.71,1.41,534,">60,000",30,1,0,0,3,,
"woman gifts",42,"4,206",71,1.28,0.83,1.65,560,">100,000",29,1,0,0,0,,
"office gifts",42,"4,206",66,1.03,0.68,1.15,693,">100,000",30,1,0,0,2,,
"weird gifts",210,"4,204",50,0.73,0.51,0.86,795,">20,000",29,1,0,0,0,,
"gifts for friends women",42,"4,201",13,1.17,0.74,1.57,595,">100,000",29,1,0,0,0,,
"birthday gift for mom",42,"4,201",-16,1.48,0.94,1.93,589,">100,000",29,1,0,0,0,,
"kitchen gifts",42,"4,201",58,1.04,0.81,1.48,872,">100,000",30,1,0,0,2,,
"sister gifts for women",42,"4,197",376,1.45,1.03,1.78,429,">100,000",30,1,0,0,2,,
"novelty gifts",42,"4,197",62,0.79,0.61,1.14,719,">100,000",29,1,0,0,0,,
"gag gifts for women",210,"4,197",26,0.64,0.54,0.96,0,">20,000",30,1,0,0,2,,
"mom gift",40,"4,034",23,1.26,0.91,1.57,483,">100,000",29,1,0,0,0,,
"1 year anniversary gifts for boyfriend","4,031","4,031",-13,0.89,0.69,1.22,546,">1,000",29,1,0,0,1,,
"gift for sister",40,"4,003",24,1.18,0.81,1.6,635,">100,000",29,1,0,0,0,,
"xmas gifts for women",67,"4,002",323,1.16,0.83,1.39,404,">60,000",29,1,0,0,1,,
"skincare gift set",667,"4,002","3,803",1.26,0.91,1.66,805,">6,000",31,1,0,0,6,,
"best women gifts 2024",100,"3,998",-27,1.17,0.8,1.37,443,">40,000",29,1,0,0,0,,
"pink gifts for women",40,"3,997",27,0.8,0.63,0.97,589,">100,000",29,1,0,0,0,,
"beauty gift sets",133,"3,993",126,1.12,0.72,1.73,727,">30,000",29,1,0,0,0,,
"best post surgery gifts","1,996","3,991",590,0.87,0.69,1.19,298,">2,000",29,1,0,0,0,,
"gifts for older women",57,"3,991",48,1.12,0.84,1.38,534,">70,000",29,1,0,0,0,,
"cozy gifts for women",50,"3,991",59,1.21,0.9,1.56,570,">80,000",29,1,0,0,0,,
"wedding registry gifts","1,996","3,991",-28,0.88,0.62,1.15,839,">2,000",29,1,0,0,0,,
"mom gifts for christmas",40,"3,991",440,1.37,0.96,1.7,456,">100,000",29,1,0,0,0,,
"boss gifts",399,"3,991",76,1.01,0.71,1.18,586,">10,000",33,1,0,0,11,,
"gifts for guys",100,"3,991",53,1.31,0.87,1.65,638,">40,000",29,1,0,0,0,,
"best gifts for women",20,"3,991",47,1.16,0.77,1.59,763,">200,000",29,1,0,0,0,,
"gardening gifts",133,"3,991",52,1.11,0.87,1.6,501,">30,000",32,1,0,0,10,,
"pregnancy gifts for expecting mom",998,"3,990",16,1.08,0.68,1.48,594,">4,000",31,1,0,0,5,,
"cheap gifts",40,"3,990",57,0.75,0.64,1.09,791,">100,000",29,1,0,0,0,,
"friend birthday gifts for women",40,"3,990",-20,1.06,0.73,1.41,557,">100,000",30,1,0,0,3,,
"funny birthday gifts for women",40,"3,990",-9,1.22,0.82,1.38,516,">100,000",30,1,0,0,3,,
"cooking gifts",44,"3,990",64,1.09,0.84,1.39,677,">90,000",30,1,0,0,2,,
"christmas gift for mom",40,"3,990",226,1.3,0.98,1.61,472,">100,000",29,1,0,0,1,,
"gift certificates","25,577","3,990",29,0.94,0.56,1.26,501,156,40,1,0,0,35,,
"women gifts for birthday",20,"3,990",-5,1.24,0.79,1.61,460,">200,000",29,1,0,0,0,,
"gift sets for women",39,"3,911",70,0.81,0.62,1.05,727,">100,000",29,1,0,0,1,,
"cheap christmas gifts",559,"3,911",242,0.9,0.7,1.21,620,">7,000",29,1,0,0,0,,
"mom gifts birthday",36,"3,589",-14,1.52,1.06,1.89,571,">100,000",29,1,0,0,0,,
"best christmas gifts 2024",89,"3,573",193,1.13,0.8,1.38,595,">40,000",28,1,0,0,0,,
"cool gifts for college girl",881,"3,523",23,0.95,0.52,1.2,772,">4,000",29,1,0,0,1,,
"monogrammed gifts for women",881,"3,523",49,0.96,0.71,1.25,652,">4,000",31,1,0,0,8,,
"womens gifts for birthday",35,"3,523",-3,1.34,0.84,1.74,513,">100,000",28,1,0,0,0,,
"man gifts",35,"3,523",50,1.39,1.07,1.79,691,">100,000",28,1,0,0,0,,
"guy gifts",117,"3,523",33,1.15,0.71,1.48,711,">30,000",28,1,0,0,0,,
"fun gifts for women",34,"3,371",27,1.2,0.63,1.38,621,">100,000",28,1,0,0,0,,
"cozy gifts",34,"3,352",64,1.29,0.9,1.5,802,">100,000",29,1,0,0,1,,
"family christmas gifts",33,"3,349",228,1.06,0.73,1.34,672,">100,000",28,1,0,0,0,,
"housewarming gifts for women",84,"3,347",102,1.19,0.93,1.55,627,">40,000",29,1,0,0,2,,
"gift for her",33,"3,347",13,1.31,0.86,1.85,470,">100,000",29,1,0,0,2,,
"small christmas gifts",17,"3,345",189,0.81,0.58,0.99,658,">200,000",28,1,0,0,0,,
"long distance gifts",167,"3,345",2,1.06,0.76,1.49,692,">20,000",29,1,0,0,1,,
"spiritual gifts for women",335,"3,345",8,0.95,0.73,1.3,531,">10,000",30,1,0,0,6,,
"travel gifts for women",33,"3,345",3,0.92,0.65,1.18,559,">100,000",29,1,0,0,3,,
"holiday gift set",33,"3,345",489,0.88,0.56,1.34,527,">100,000",30,1,0,0,6,,
"best womens birthday gifts 2024",371,"3,343",188,1.33,0.93,1.84,596,">9,000",28,1,0,0,0,,
"top christmas gifts 2024",669,"3,343",74,0.91,0.62,1.05,654,">5,000",28,1,0,0,0,,
"butterfly gifts for women",67,"3,343",6,0.98,0.7,1.23,630,">50,000",29,1,0,0,3,,
"sister gift",33,"3,343",25,1.06,0.82,1.55,652,">100,000",30,1,0,0,5,,
"unique christmas gifts",33,"3,343",247,1.14,0.73,1.39,547,">100,000",28,1,0,0,0,,
"cancer comfort gifts",371,"3,342",25,1.11,0.79,1.42,653,">9,000",29,1,0,0,2,,
"office gifts for coworkers",84,"3,342",67,0.79,0.56,1.14,731,">40,000",29,1,0,0,3,,
"romantic gifts for her",334,"3,342",13,1.6,1.05,1.91,508,">10,000",29,1,0,0,2,,
"friend gifts",17,"3,342",28,1.26,0.89,1.82,522,">200,000",29,1,0,0,2,,
"gifts for brother adult",167,"3,340",48,1.28,0.9,1.78,632,">20,000",29,1,0,0,2,,
"pregnancy gifts",400,"3,201",5,1.15,0.68,1.52,521,">8,000",30,1,0,0,6,,
"halloween kids gifts",32,"3,199",115,0.87,0.49,1.03,762,">100,000",28,1,0,0,0,,
"women's gifts",32,"3,191",52,1.18,0.83,1.67,646,">100,000",28,1,0,0,0,,
"small boxes for gifts",16,"3,191",35,0.7,0.55,0.86,721,">200,000",28,1,0,0,0,,
"birthday gifts for her",32,"3,187",8,1.36,0.91,1.83,510,">100,000",28,1,0,0,1,,
"womens birthday gifts unique",32,"3,179",5,1.35,0.91,1.96,617,">100,000",28,1,0,0,0,,
"new mom gifts for women",106,"3,174",372,1.41,1.01,2.02,426,">30,000",30,1,0,0,7,,
"self care gifts",158,"3,167",30,1.13,0.78,1.37,578,">20,000",31,1,0,0,9,,
"daughter gifts from mom",45,"3,162",-6,1.19,0.84,1.52,666,">70,000",31,1,0,0,10,,
"funny gift",30,"2,992",37,0.93,0.68,1.19,673,">100,000",28,1,0,0,1,,
"mother birthday gifts",30,"2,992",-11,1.5,1.04,1.82,583,">100,000",28,1,0,0,1,,
"funny white elephant gifts",332,"2,989",227,0.73,0.58,1.04,417,">9,000",29,1,0,0,5,,
"tea gifts",43,"2,987",26,1.26,0.8,1.61,550,">70,000",30,1,0,0,6,,
"gift for mom birthday",29,"2,903",-4,1.48,1.04,1.84,611,">100,000",28,1,0,0,0,,
"best friend gift",29,"2,901",14,1.32,0.9,1.69,524,">100,000",28,1,0,0,1,,
"women gift",29,"2,901",27,1.29,0.92,1.88,672,">100,000",28,1,0,0,1,,
"gifts for daughter",29,"2,899",36,1.29,1.13,1.6,679,">100,000",33,1,0,0,16,,
"home decor gifts",29,"2,899",103,1.03,0.76,1.51,530,">100,000",28,1,0,0,0,,
"house warming gift",72,"2,898",5,1.15,0.81,1.7,695,">40,000",28,1,0,0,0,,
"religious gifts",29,"2,896",30,0.8,0.68,1.05,585,">100,000",30,1,0,0,8,,
"best gifts 2024 women",29,"2,894",480,1.2,0.78,1.55,366,">100,000",28,1,0,0,0,,
"postpartum gifts for mom","2,894","2,894",1,1.12,0.69,1.39,556,">1,000",28,1,0,0,0,,
"gifts for him boyfriend",72,"2,894",18,1.18,0.88,1.43,625,">40,000",29,1,0,0,4,,
"gifts for pregnant women",482,"2,893",19,1.11,0.71,1.48,638,">6,000",28,1,0,0,2,,
"hostess gifts for women",361,"2,891",41,1,0.75,1.29,637,">8,000",28,1,0,0,1,,
"trendy gifts for women 2024",144,"2,886",79,0.93,0.71,0.99,889,">20,000",28,1,0,0,0,,
"gifts for bf",962,"2,886",14,1.03,0.74,1.25,750,">3,000",28,1,0,0,1,,
"christmas gifts for her",32,"2,886",245,1.45,1.04,1.75,441,">90,000",28,1,0,0,0,,
"christmas gift for women",29,"2,886",263,0.97,0.77,1.34,496,">100,000",28,1,0,0,0,,
"mini gifts",29,"2,886",34,0.93,0.73,1.12,731,">100,000",28,1,0,0,0,,
"gift for brother",29,"2,886",35,1.17,0.75,1.67,570,">100,000",28,1,0,0,2,,
"home gifts",14,"2,886",39,1.04,0.8,1.32,713,">200,000",28,1,0,0,1,,
"funny gifts for friends",27,"2,683",17,1.02,0.74,1.28,635,">100,000",27,1,0,0,0,,
"cheap gifts for women",289,"2,603",47,0.99,0.66,1.13,753,">9,000",27,1,0,0,0,,
"best gifts for women 2024",65,"2,599","n/a",1.26,0.98,1.55,141,">40,000",27,1,0,0,0,,
"halloween gift box",65,"2,599",112,0.82,0.55,0.93,724,">40,000",27,1,0,0,0,,
"christmas gifts under 10 dollars",26,"2,599",256,0.92,0.73,0.99,562,">100,000",27,1,0,0,0,,
"anniversary gift",26,"2,599",-15,1.51,1.06,1.89,520,">100,000",28,1,0,0,1,,
"witchy gifts for women",497,"2,485",27,0.99,0.72,1.29,558,">5,000",28,1,0,0,2,,
"halloween candy gift",589,"2,356",314,0.72,0.47,0.91,493,">4,000",28,1,0,0,3,,
"white elephant gift",118,"2,356",210,0.95,0.7,1.28,380,">20,000",30,1,0,0,8,,
"gifts for adults",24,"2,356",83,0.9,0.62,1.26,783,">100,000",30,1,0,0,9,,
"mama gifts",24,"2,356",30,0.96,0.7,1.28,606,">100,000",29,1,0,0,5,,
"funny gifts for coworkers",47,"2,356",39,0.76,0.56,0.99,662,">50,000",27,1,0,0,0,,
"unique gifts for women over 50",785,"2,356",28,1.25,0.89,1.67,719,">3,000",27,1,0,0,0,,
"top gifts for women",24,"2,356",122,1.32,0.88,1.63,633,">100,000",27,1,0,0,0,,
"womens christmas gifts 2024",235,"2,354",282,1.07,0.84,1.29,434,">10,000",27,1,0,0,0,,
"bridal showers gift",34,"2,354",15,1.2,0.82,1.45,617,">70,000",27,1,0,0,0,,
"cotton 2nd anniversary gift","2,354","2,354",74,1.42,1,1.93,364,">1,000",27,1,0,0,0,,
"cool gifts unique",392,"2,354",-4,1.31,0.85,1.55,768,">6,000",27,1,0,0,0,,
"clever gifts for women",471,"2,354",67,1.19,0.81,1.42,725,">5,000",27,1,0,0,0,,
"butterfly gifts",34,"2,354",15,0.93,0.62,1.22,628,">70,000",28,1,0,0,3,,
"gifts for women 30s","2,354","2,354",38,1.05,0.7,1.32,863,">1,000",27,1,0,0,0,,
"music gifts",24,"2,354",17,1.01,0.82,1.42,514,">100,000",28,1,0,0,4,,
"plant gifts",24,"2,354",21,0.86,0.59,1.09,629,">100,000",28,1,0,0,4,,
"best friend birthday gifts",24,"2,354",-51,1.2,0.89,1.62,539,">100,000",30,1,0,0,9,,
"best friends gifts for women",24,"2,354",16,1.22,0.9,1.58,590,">100,000",27,1,0,0,1,,
"birthday gift box",24,"2,354",-8,0.8,0.61,1.16,712,">100,000",28,1,0,0,4,,
"funny office gifts",24,"2,354",39,0.72,0.5,0.98,735,">100,000",27,1,0,0,1,,
"gifts for woman",78,"2,354",38,1.22,0.87,1.61,564,">30,000",27,1,0,0,0,,
