"Keyword Phrase","Magnet IQ Score","Search Volume","Search Volume Trend","H10 PPC Sugg. Bid","H10 PPC Sugg. Min Bid","H10 PPC Sugg. Max Bid","Sponsored ASINs","Competing Products","CPR","Organic","Smart Complete","Amazon Recommended","Title Density",,
"luncheaze","162,766","23,601",20,0.67,0.46,0.89,345,145,53,0,0,1,3,,
"small crock pot","21,049","21,049",14,0.48,0.36,0.78,786,">1,000",49,0,0,1,0,,
"charcuterie board","3,508","21,047",49,1.12,0.71,1.56,511,">6,000",56,1,0,0,20,,
"women",105,"21,047",10,0.95,0.62,1.19,612,">200,000",56,1,0,1,21,,
"happy birthday",210,"21,042",-6,0.81,0.6,1.08,616,">100,000",58,1,0,0,28,,
"shower steamers aromatherapy","35,421","21,040",20,1.78,1.21,2.2,347,">594",61,1,0,0,38,,
"girl","129,877","21,040",-3,0.96,0.63,1.21,884,162,56,1,0,0,22,,
"toys for girls 8-10","1,052","21,034",1,1.21,0.88,1.5,730,">20,000",49,1,0,0,0,,
"bourbon smoker kit","55,643","21,033",316,1.97,1.59,2.36,242,378,52,1,0,0,8,,
"winter socks for women","2,095","20,946",109,1.13,0.86,1.32,615,">10,000",49,1,0,0,0,,
"blanket hoodies for women","19,980","19,980",124,0.84,0.65,1.04,646,">1,000",49,1,0,0,2,,
"portable dishwasher","61,101","19,980",-6,0.9,0.74,1.26,491,">327",55,0,0,1,22,,
"cozy socks","3,995","19,973",24,0.89,0.71,1.19,673,">5,000",51,1,0,0,8,,
"girls toys 8-10","1,997","19,970",69,1.2,0.94,1.5,522,">10,000",48,1,0,0,0,,
"lonchera eléctrica portátil","43,874","19,568",60,0.56,0.43,0.82,450,446,48,0,0,1,1,,
"duck",326,"19,566",3,0.63,0.43,0.86,684,">60,000",62,1,0,0,44,,
"smores maker","40,491","19,476",26,0.84,0.69,0.99,765,481,58,1,0,0,32,,
"spa",194,"19,435",12,0.98,0.64,1.32,570,">100,000",60,1,0,1,40,,
"snacks for adults","1,903","19,026",-9,1.01,0.68,1.57,610,">10,000",48,1,0,0,3,,
"girl toys age 4-5",626,"18,794",8,1.12,0.83,1.49,595,">30,000",47,1,0,0,0,,
"wearable blankets for women","18,794","18,794",554,0.93,0.71,1.13,497,">1,000",47,1,0,0,0,,
"burrito blanket","96,876","18,794",18,0.98,0.7,1.21,395,">194",48,1,0,0,3,,
"instant print camera","21,093","18,794",27,1.5,1.11,1.92,730,">891",52,1,0,0,17,,
"oversized hoodie",268,"18,794",4,0.81,0.6,1.03,676,">70,000",48,1,0,1,4,,
"scrapbook album","9,397","18,794",-4,0.64,0.47,0.83,582,">2,000",53,1,0,0,19,,
"box",94,"18,794",4,1.27,1.17,1.94,764,">200,000",58,0,0,1,37,,
"soup thermos","41,018","18,253",4,0.53,0.35,0.71,573,">445",49,0,0,1,9,,
"vacation",183,"18,253",33,0.71,0.47,0.85,"1,121",">100,000",57,1,0,0,34,,
"winter socks",456,"18,250",110,1.08,0.88,1.37,567,">40,000",47,1,0,0,4,,
"regalos para mujer",563,"16,888",58,1.16,0.79,1.61,626,">30,000",45,1,0,0,2,,
"warm socks",422,"16,873",114,1.11,0.82,1.32,580,">40,000",47,1,0,0,8,,
"planter",843,"16,863",-15,0.48,0.39,0.65,764,">20,000",57,0,0,1,40,,
"cute things",168,"16,845",5,0.69,0.42,1.05,797,">100,000",45,1,0,0,3,,
"plant",168,"16,818",-18,0.96,0.61,1.21,651,">100,000",54,1,0,1,31,,
"girls toys 4-5",420,"16,815",20,1.09,0.79,1.43,701,">40,000",44,1,0,0,0,,
"seeds","22,713","16,785",-20,0.8,0.56,1.09,548,739,57,0,0,1,40,,
"same day delivery items prime","1,586","15,860",-2,1.42,0.93,1.93,455,">10,000",43,1,0,0,0,,
"stocking stuffers for women 2024","7,929","15,858","1,136",1.03,0.77,1.28,342,">2,000",43,1,0,0,0,,
"drink smoker kit","37,335","15,830",367,2.26,1.86,2.3,510,424,46,1,0,0,10,,
"birthday",79,"15,828",-11,0.66,0.53,0.97,792,">200,000",57,1,0,1,42,,
"blanket warmer",528,"15,825",133,1.92,1.48,2.81,729,">30,000",45,0,0,1,6,,
"movie night supplies","3,752","15,008",-19,0.65,0.54,0.93,603,">4,000",45,1,0,0,10,,
"renpho eye massager","118,150","15,005",20,1.9,1.31,2.29,258,127,42,1,0,0,1,,
"hoodie blanket for women","14,999","14,999",40,0.8,0.62,0.98,666,">1,000",42,1,0,0,1,,
"electric pot","3,748","14,992",-12,0.63,0.43,1.03,762,">4,000",49,0,0,1,21,,
"electric candle lighter","18,007","14,946",-5,0.73,0.62,0.84,603,">830",46,1,0,0,11,,
"funny",149,"14,918",26,0.75,0.54,0.96,599,">100,000",54,1,0,0,38,,
"instant print camera for kids","29,709","14,914",41,1.73,1.36,2.15,580,">502",49,1,0,0,21,,
50,149,"14,904",25,1.25,0.72,1.67,662,">100,000",49,1,0,0,23,,
"cool things","40,901","14,888",16,0.57,0.38,0.73,767,364,43,1,0,0,2,,
"eye massager with heat and cooling","54,536","13,525",43,2.12,1.5,2.56,349,248,43,1,0,0,8,,
"under 5 dollar items","2,253","13,518",-8,0.79,0.48,1.07,739,">6,000",40,1,0,0,0,,
"5 dollar items",451,"13,517",-3,0.79,0.55,0.97,689,">30,000",40,1,0,0,0,,
"hair chalk","56,288","13,509",17,0.92,0.74,1.27,386,240,53,1,0,0,40,,
"garden",45,"13,509",-38,1.43,1.08,1.81,721,">300,000",53,0,0,1,39,,
"rechargeable lighter","13,508","13,508",1,0.7,0.6,0.81,583,">1,000",44,1,0,0,13,,
"girl stuff",135,"13,504",-6,0.78,0.65,1.06,841,">100,000",41,1,0,0,1,,
"stocking stuffer",135,"13,497",155,0.9,0.67,1.29,574,">100,000",41,1,0,1,3,,
"charcuterie",675,"13,495",29,0.84,0.62,1.31,702,">20,000",51,1,0,0,33,,
"lego roses","18,819","13,493",-17,0.72,0.56,1.05,548,717,40,1,0,0,0,,
"girl toys 8-10 years old","4,495","13,486",19,1.27,0.93,1.63,587,">3,000",40,1,0,0,0,,
"tea cup set","1,927","13,486",4,0.44,0.29,0.68,774,">7,000",42,1,0,0,5,,
"history",135,"13,485",14,0.68,0.55,1.1,502,">100,000",49,1,0,0,27,,
"home décor accents",135,"13,469",8,0.56,0.43,0.73,563,">100,000",40,1,0,0,0,,
"red stanley cup","53,037","12,835",37,0.66,0.52,0.78,816,242,40,1,0,0,1,,
"hoodie blanket","12,833","12,833",42,0.86,0.61,1.13,591,">1,000",41,1,0,0,6,,
"toys for girls 5-7",321,"12,831",27,1.15,0.92,1.4,635,">40,000",39,1,0,0,0,,
"suitcase covers for luggage","4,276","12,827",-25,0.89,0.55,1.24,622,">3,000",42,1,0,0,7,,
"christmas presents",128,"12,815",107,0.88,0.62,1.13,823,">100,000",40,1,0,1,1,,
"bath bomb","12,806","12,806",0,1.33,0.8,1.6,409,">1,000",47,0,0,1,24,,
"4 year old girl toys","1,600","12,796",44,1.27,0.9,1.62,619,">8,000",39,1,0,0,0,,
"scrap book","31,512","12,794",0,0.68,0.47,0.79,641,406,44,1,0,0,13,,
"gardening",128,"12,792",-20,1.04,0.88,1.21,667,">100,000",48,1,0,1,27,,
"positive crochet animals","17,659","11,637",18,0.77,0.64,0.92,534,">659",41,1,0,0,9,,
"smores maker tabletop indoor kit","42,309","11,635",31,0.97,0.89,1.32,611,275,40,1,0,0,7,,
"garden decor",116,"11,635",-16,0.7,0.48,0.89,709,">100,000",44,1,0,1,19,,
"5 year old girl toys","1,404","11,231",46,1.18,0.91,1.58,632,">8,000",38,1,0,0,0,,
"apple store","59,074","11,224",-28,0.87,0.8,1.24,"1,158",">190",38,1,0,0,0,,
"the ultimate guide to rebuilding a civilization","91,992","11,223",97,1,0.74,1.25,161,122,38,1,0,0,2,,
"vintage",112,"11,223",1,0.75,0.54,1.07,750,">100,000",51,1,0,0,42,,
"shower steamers for women","19,019","11,221",230,1.74,1.29,2.22,372,590,39,1,0,0,3,,
"stocking stuffers for adults women","1,246","11,217","11,298",1.31,0.96,1.78,368,">9,000",39,1,0,0,3,,
"custom",56,"11,217",8,1.52,1.04,1.65,663,">200,000",51,1,0,0,42,,
"stanleys","38,779","11,207",-7,0.64,0.51,0.83,817,289,38,1,0,0,0,,
"care package for women",124,"11,199",5,0.68,0.49,1.06,498,">90,000",41,1,0,0,11,,
"whiskey",353,"10,581",9,1.2,0.77,1.73,486,">30,000",51,1,0,0,43,,
"warm blanket",352,"10,572",41,1.22,0.79,1.52,723,">30,000",41,0,0,1,12,,
"cheese board","16,968","10,571",32,1.04,0.75,1.6,503,623,48,1,0,0,35,,
"stuff for girls 10-12","1,762","10,569",-6,0.87,0.74,1.11,740,">6,000",37,1,0,0,0,,
"hydrojug traveler 32 oz","67,293","10,565",-16,0.54,0.48,0.62,339,157,37,1,0,0,0,,
"toys for girls 10-12",528,"10,564",57,1.09,0.86,1.34,792,">20,000",37,1,0,0,0,,
"visa","31,440","10,564",5,1.02,1,1.18,307,">336",46,1,0,1,28,,
"random stuff","5,280","10,560",-2,0.63,0.48,0.88,777,">2,000",37,1,0,0,0,,
"maquillaje para niñas","25,014","10,556",17,0.76,0.49,0.89,606,422,37,1,0,0,0,,
"cup tumbler stanley","3,518","10,553",-41,0.65,0.46,0.68,880,">3,000",37,1,0,0,0,,
"bag organizer",151,"10,553",-16,0.8,0.59,1.1,689,">70,000",41,1,0,0,13,,
"coffee mugs set of 4","3,516","10,548",-9,0.49,0.34,0.66,606,">3,000",42,1,0,0,17,,
"wearable blanket hoodie","10,546","10,546",114,0.81,0.64,1.02,613,">1,000",47,1,0,1,31,,
"teacher must haves",527,"10,542",-42,0.65,0.48,0.78,564,">20,000",37,1,0,0,2,,
"toys for 7 year old girl","3,511","10,533",0,1.16,0.95,1.45,662,">3,000",37,1,0,0,0,,
"cute mugs",519,"10,370",22,0.7,0.47,0.8,649,">20,000",37,1,0,0,2,,
"flower",104,"10,369",0,0.83,0.63,1.15,469,">100,000",39,1,0,0,9,,
"toys for 8 year old girls","2,071","10,356",5,1.37,1.03,1.73,636,">5,000",37,1,0,0,0,,
"fluffy socks women","10,293","10,293",134,1.15,0.86,1.31,700,">1,000",39,1,0,0,7,,
"womens",51,"10,285",6,0.97,0.58,1.23,871,">200,000",40,1,0,0,12,,
"thick socks women",257,"10,262",67,1.29,0.93,1.61,740,">40,000",36,1,0,0,0,,
"womens stocking stuffers",342,"10,255",225,1.2,0.84,1.59,485,">30,000",36,1,0,0,0,,
"patio decor",103,"10,254",-27,0.85,0.58,1.05,674,">100,000",38,1,0,1,4,,
"emotional support","1,024","10,241",14,0.72,0.55,0.99,605,">10,000",46,1,0,0,31,,
"hooded blanket","10,241","10,241",69,0.79,0.59,1.05,718,">1,000",43,1,0,1,21,,
"polaroid go gen 2 mini","86,034","10,238",14,0.85,0.56,0.96,155,119,36,1,0,0,0,,
"school",34,"10,236",-2,0.64,0.46,1.04,406,">300,000",46,1,0,0,30,,
"sister",102,"10,234",-12,0.9,0.69,1.22,651,">100,000",50,1,0,0,41,,
"toys for girls 4-6",295,"8,858",28,1.07,0.86,1.29,484,">30,000",35,1,0,0,0,,
"stanley lid","1,476","8,858",-19,0.75,0.42,0.92,767,">6,000",35,1,0,0,2,,
"girls fashion",89,"8,858",22,0.67,0.5,0.79,805,">100,000",35,1,0,0,2,,
"food thermos","16,619","8,858",-9,0.46,0.33,0.65,653,">533",37,0,0,1,6,,
"snack packs",98,"8,854",-15,0.92,0.61,1.23,561,">90,000",39,1,0,0,14,,
"fun","71,403","8,854",23,0.71,0.49,1,640,124,43,1,0,0,26,,
"charcuterie accessories","1,475","8,852",33,0.92,0.52,0.97,593,">6,000",36,1,0,0,5,,
"outdoor decor",89,"8,852",-24,0.65,0.51,0.89,632,">100,000",36,1,0,1,3,,
"amazòn",111,"8,849",-58,1.06,0.75,1.45,771,">80,000",35,1,0,0,0,,
"teen stocking stuffers",885,"8,849",227,0.87,0.69,1.2,588,">10,000",35,1,0,0,0,,
"womens fuzzy socks","2,950","8,849",75,0.88,0.66,1.11,591,">3,000",37,1,0,0,8,,
"herbs",88,"8,849",6,0.79,0.52,0.96,706,">100,000",43,1,0,1,25,,
"kids stanley cup with handle","32,292","8,622",27,0.66,0.5,0.83,775,267,34,1,0,0,0,,
"snack pack",86,"8,622",-31,1.02,0.66,1.39,719,">100,000",34,1,0,0,0,,
"cozy",86,"8,622",23,0.99,0.77,1.15,804,">100,000",48,1,0,1,42,,
"temporary hair color","8,620","8,620",24,0.86,0.53,1.27,661,">1,000",40,1,0,0,18,,
"table top fire pit","8,615","8,615",19,0.95,0.74,1.37,614,">1,000",36,1,0,0,6,,
"history books",86,"8,606",10,0.78,0.55,0.98,495,">100,000",34,1,0,0,0,,
"small crockpot","8,597","8,597",7,0.47,0.4,0.88,725,">1,000",34,0,0,1,0,,
"porch decor",86,"8,595",-32,0.66,0.47,0.91,712,">100,000",36,0,0,1,6,,
"camera instant print","9,050","8,190",27,1.28,0.79,1.62,623,">905",37,1,0,0,10,,
"cool things for 10-year-old girls","4,046","8,092",147,1.3,0.97,1.61,550,">2,000",34,1,0,0,0,,
"emotional support plush","4,046","8,092",-34,0.66,0.51,0.78,461,">2,000",38,1,0,0,12,,
"hoodies women",270,"8,092",78,0.76,0.61,0.81,"1,021",">30,000",34,0,0,1,0,,
"balloon",202,"8,092",-1,0.76,0.55,0.93,671,">40,000",42,0,0,1,25,,
"kids instant print camera","16,345","8,091",30,1.97,1.61,2.45,613,">495",35,1,0,0,2,,
"shower steamer","13,621","8,091",10,1.77,1.25,2.21,356,">594",35,1,0,1,4,,
"adult stocking stuffers",270,"8,091",186,1.05,0.7,1.34,527,">30,000",34,0,0,1,0,,
"photo book",809,"8,089",3,0.76,0.47,1.23,676,">10,000",37,1,0,0,11,,
"the 100",809,"8,089",-3,0.56,0.41,0.72,327,">10,000",46,1,0,0,37,,
"hair chalk for girls","39,267","8,089",22,1.01,0.73,1.24,331,206,41,1,0,0,23,,
"adventure book",90,"8,089",-8,0.79,0.57,1.2,359,">90,000",45,1,0,0,34,,
"shower bombs","7,357","7,357",2,1.66,1.17,2.06,494,">1,000",44,1,0,0,33,,
"food warmers","13,675","7,357",31,0.92,0.59,1.16,535,538,38,1,0,0,16,,
"adventure",37,"7,357",-23,0.37,0.34,0.73,578,">200,000",42,1,0,0,29,,
"cloud socks","2,452","7,355",32,1.03,0.66,1.07,543,">3,000",34,1,0,0,4,,
"face massager","2,451","7,354",2,1.47,0.92,1.91,577,">3,000",39,1,0,0,19,,
"insulated food container","1,471","7,354",-39,0.58,0.4,0.78,724,">5,000",34,0,0,1,2,,
"cup set",82,"7,354",1,0.59,0.46,0.83,784,">90,000",34,1,0,0,3,,
"indoor garden",147,"7,340",1,1.12,0.76,1.38,636,">50,000",40,1,0,1,22,,
"indoor herb garden",733,"7,329",2,0.9,0.66,1.18,580,">10,000",38,1,0,1,17,,
"white stanley cup","7,324","7,324",-1,0.98,0.64,1.04,586,">1,000",33,1,0,0,0,,
"barefoot dreams socks","33,587","7,322",66,0.89,0.73,1.22,862,218,33,1,0,0,0,,
"stanley flip straw tumbler","7,989","7,318",-19,0.63,0.37,0.73,795,">916",33,1,0,0,1,,
"mini crockpot","25,674","7,317",13,0.57,0.42,0.86,706,285,33,0,0,1,0,,
"office snacks",813,"7,317",-13,1.5,0.99,2.09,375,">9,000",33,1,0,0,1,,
"body restore shower steamers","25,306","7,111",-39,1.74,1.2,2.26,374,281,33,0,0,1,2,,
"vacation essentials",237,"7,109",-29,0.78,0.52,1.17,727,">30,000",33,1,0,0,0,,
"i love you",71,"7,109",9,0.72,0.57,1.02,562,">100,000",42,1,0,0,30,,
"our adventure book","35,020","7,109",-14,0.65,0.53,0.92,303,">203",45,1,0,0,37,,
"christmas presents for teen girls",711,"7,109",87,0.91,0.67,1.24,711,">10,000",33,1,0,0,0,,
"herb garden planter indoor kit","8,416","6,952",14,0.96,0.62,1.41,516,">826",33,1,0,1,2,,
"goose",695,"6,952",27,0.82,0.56,0.91,549,">10,000",46,1,0,0,41,,
"women stocking stuffers",232,"6,952",225,1.12,0.76,1.42,416,">30,000",33,1,0,0,0,,
"electric car","3,476","6,952",6,0.63,0.57,0.84,859,">2,000",37,0,0,1,13,,
"snack boxes for adults",695,"6,952",-11,0.69,0.38,0.99,689,">10,000",33,1,0,0,1,,
"patio",64,"6,449",-37,0.97,0.73,1.21,889,">100,000",46,1,0,0,43,,
"socks for women ankle",322,"6,447",21,1.09,0.82,1.39,549,">20,000",32,1,0,0,0,,
"soup containers",806,"6,447",5,0.72,0.49,1.09,640,">8,000",39,0,0,1,21,,
"travel accessories for women",64,"6,447",28,0.81,0.5,1,721,">100,000",32,1,0,0,0,,
"mug set",806,"6,447",4,0.5,0.38,0.7,742,">8,000",35,1,0,0,9,,
"indoor fire pit","6,445","6,445",40,1.03,0.77,1.4,627,">1,000",34,1,0,0,6,,
"ebay","12,942","6,445",7,1.14,0.72,1.32,229,">498",46,0,0,1,45,,
"same day delivery items prime womens",805,"6,441",863,1.41,1.03,1.89,311,">8,000",32,1,0,0,0,,
"calpak","10,559","6,441",-23,0.78,0.64,1.01,885,610,32,1,0,0,0,,
"cocktail smoker","12,151","6,440",-8,2.32,1.72,2.42,516,">530",43,1,0,0,36,,
"instant cameras that print photos","10,012","6,438",2,1.27,1.06,1.73,844,643,33,1,0,0,2,,
"warm socks for women winter",644,"6,438",179,1.27,1.03,1.44,624,">10,000",32,1,0,0,0,,
"portable food warmer","3,219","6,438",14,0.72,0.53,0.89,578,">2,000",38,1,0,1,19,,
"burt's bees lip balm","9,250","6,438",28,0.71,0.53,0.89,410,696,32,1,0,0,0,,
"thick socks",80,"6,436",48,1.21,1.04,1.47,622,">80,000",33,1,0,0,3,,
"cute cups",129,"6,434",6,0.63,0.47,0.78,786,">50,000",32,1,0,0,0,,
"6 year old girl toys",919,"6,434",26,1.35,0.97,1.66,695,">7,000",32,1,0,0,0,,
"anmazon com",64,"6,433",-85,1.1,0.86,1.52,723,">100,000",32,1,0,0,0,,
"indoor fire pit tabletop","6,433","6,433",0,0.98,0.76,1.4,527,">1,000",34,1,0,0,6,,
"stocking stuffers'",64,"6,431",813,0.95,0.8,1.42,297,">100,000",32,1,0,0,0,,
"stuff for girls",71,"6,431",8,0.8,0.64,0.98,810,">90,000",32,1,0,0,0,,
"christmas presents for women",71,"6,431",137,1.34,0.92,1.52,601,">90,000",32,1,0,0,0,,
"mugs for women",161,"6,431",100,0.85,0.62,1,750,">40,000",32,1,0,0,1,,
"movie night",214,"6,429",-1,0.63,0.56,0.99,495,">30,000",45,1,0,0,42,,
"womens winter socks",643,"6,429",111,1.19,0.95,1.39,673,">10,000",32,1,0,0,0,,
"books on sale",80,"6,429",-32,0.74,0.55,1.15,809,">80,000",32,1,0,0,0,,
"smoking accessories",643,"6,429",-4,0.72,0.49,0.97,568,">10,000",33,1,0,0,2,,
"bourbon",643,"6,429",8,1.05,0.82,1.28,129,">10,000",47,1,0,0,47,,
"things for girls 10-12","1,431","5,724",5,1.08,0.95,1.45,588,">4,000",31,1,0,0,0,,
"emotional support crochet","5,722","5,722",12,0.72,0.59,0.91,492,">1,000",33,1,0,0,6,,
"coffee mug set",817,"5,720",11,0.51,0.37,0.71,729,">7,000",33,1,0,0,7,,
"scrapbooking",57,"5,715",-11,0.65,0.52,0.81,667,">100,000",41,1,0,0,32,,
