关键词词组,关键词销量,Magnet IQ得分,搜索量,搜索量趋势,竞品数,CPR,Cluster
bedroom necessities,3,153.0,765.0,-21.0,5000.0,11,house decor
xmas clearance,23,14.0,1434.0,193.0,100000.0,26,gift
new job gift,21,9.0,280.0,8.0,30000.0,8,gift
gifts for mom friends,17,3.0,250.0,28.0,100000.0,8,mom gift
ladies christmas gifts,32,6.0,644.0,53.0,100000.0,10,gift
cute christmas gifts for women,13,5.0,517.0,49.0,100000.0,9,gift
christmas present for mom,90,41.0,1656.0,59.0,40000.0,26,mom gift
hard to buy for women gift ideas,5,99.0,394.0,95.0,4000.0,8,gift
cozy room essentials,2,42.0,421.0,10.0,10000.0,8,house decor
christmas presents,85,37.0,3728.0,-33.0,100000.0,30,gift
birthday gifts for woman,1,2.0,317.0,-18.0,200000.0,8,gift
mom birthday gifts,261,80.0,7994.0,-32.0,100000.0,35,mom gift
great gifts for mom,20,5.0,484.0,103.0,100000.0,9,mom gift
mom presents,57,17.0,1655.0,27.0,100000.0,27,mom gift
mom gifts for birthday,1,6.0,581.0,9.0,100000.0,9,mom gift
present for women,15,4.0,436.0,71.0,100000.0,8,gift
moms gifts,30,11.0,1052.0,76.0,100000.0,25,mom gift
art deco decor,14,31.0,2196.0,-6.0,70000.0,27,house decor
birthday present for women,1,2.0,244.0,-3.0,100000.0,8,gift
gifts for mom christmas,119,27.0,2693.0,49.0,100000.0,28,mom gift
useful christmas gifts,3,8.0,304.0,34.0,40000.0,8,gift
lotus lamp,11,2256.0,1940.0,-15.0,860.0,28,adjective + lamp
swan lamp,1,1174.0,365.0,-11.0,311.0,8,adjective + lamp
vintage small lamp,1,58.0,348.0,-5.0,6000.0,8,adjective + lamp
christmas present for women,16,4.0,389.0,68.0,100000.0,8,gift
top rated gifts for women,1,11.0,426.0,105.0,40000.0,8,gift
practical gifts for women,88,33.0,2989.0,59.0,90000.0,28,gift
neutral decor,1,19.0,765.0,-16.0,40000.0,11,house decor
retro vintage decor,2,3.0,308.0,41.0,100000.0,8,house decor
christmas gift women,45,11.0,1093.0,45.0,100000.0,26,gift
gift for host,2,37.0,367.0,87.0,10000.0,8,gift
gifts for them,1,4.0,376.0,72.0,100000.0,8,gift
christmas gifts for friends,94,14.0,2794.0,29.0,200000.0,28,gift
mom christmas gofts,8,3.0,268.0,8.0,100000.0,8,mom gift
mothers christmas gift,9,3.0,314.0,109.0,100000.0,8,mom gift
gift ideas for in laws,1,2.0,216.0,,100000.0,8,gift
gift birthday woman,2,3.0,268.0,4.0,100000.0,8,gift
for mom christmas gifts,218,37.0,3725.0,164.0,100000.0,29,mom gift
birthday women gifts,1,2.0,216.0,-4.0,100000.0,8,gift
fun home gifts,1,34.0,241.0,448.0,7000.0,8,gift
gifts for mom for christmas,46,12.0,1242.0,31.0,100000.0,26,mom gift
plug in wax warmer for scented wax,17,796.0,581.0,-7.0,730.0,9,wax warmer
nice gift for women,2,2.0,320.0,117.0,200000.0,8,gift
luxury gifts under 50,6,352.0,289.0,-3.0,820.0,8,gift
mother-in-law gifts,23,53.0,1052.0,84.0,20000.0,26,mom gift
dark academia decor,59,5070.0,10140.0,8.0,2000.0,39,house decor
whimsigoth decor,2,4294.0,949.0,0.0,221.0,12,house decor
ladies birthday gifts for women,8,4.0,418.0,-15.0,100000.0,8,gift
apartment decor aesthetic cozy,1,113.0,225.0,-2.0,2000.0,8,house decor
dark cottage core decor,2,171.0,341.0,26.0,2000.0,8,house decor
malbella essentials,3,47000.0,235.0,-7.0,5.0,8,lampara
coquette gifts for women,9,38.0,265.0,2.0,7000.0,8,gift
candle related gifts,4,362.0,271.0,-6.0,749.0,8,lampara
best house gift,2,2.0,247.0,,100000.0,8,gift
vintage,65,134.0,13447.0,6.0,100000.0,54,house decor
gifts for women birthday,16,4.0,436.0,-24.0,100000.0,8,gift
birthday gift for woman,10,4.0,392.0,-29.0,100000.0,8,gift
presents for mom,388,93.0,9274.0,101.0,100000.0,36,mom gift
gift for new mom,126,38.0,2693.0,64.0,70000.0,28,mom gift
christmas gift for woman,43,8.0,821.0,71.0,100000.0,11,gift
christmas gift woman,8,4.0,415.0,69.0,100000.0,8,gift
eclectic home decor,17,423.0,4232.0,9.0,10000.0,30,house decor
vintage retro decor,1,3.0,289.0,1.0,100000.0,8,house decor
girly decor,4,154.0,1234.0,-3.0,8000.0,26,house decor
cute gifts for mom,40,11.0,1053.0,67.0,100000.0,25,mom gift
regalos para mujer,319,1088.0,32628.0,112.0,30000.0,64,lampara
expensive christmas gifts,1,43.0,216.0,-9.0,5000.0,8,gift
tart burners,11,306.0,286.0,24.0,935.0,8,lampara
cute lamps,4,300.0,2696.0,-15.0,9000.0,28,adjective + lamp
in law gift ideas,3,34.0,340.0,79.0,10000.0,8,gift
christmas gift mom,34,11.0,1093.0,117.0,100000.0,26,mom gift
mother in law gofts,11,10.0,286.0,59.0,30000.0,8,mom gift
christmas gift for moms,12,4.0,420.0,24.0,100000.0,8,mom gift
mama gifts for women,9,4.0,383.0,36.0,100000.0,8,mom gift
mom gifts for new mom,6,5.0,370.0,-7.0,70000.0,8,mom gift
mother's christmas gifts,12,4.0,380.0,102.0,100000.0,8,mom gift
yankee candles clearance wax melts,15,247.0,247.0,4.0,1000.0,8,wax warmer
cozyberry,8,6778.0,244.0,685.0,36.0,8,mug warmer
modern organic decor,1,52.0,362.0,-17.0,7000.0,8,house decor
things that look like other things decor,4,29.0,265.0,19.0,9000.0,8,house decor
regalo para mujeres,1,12.0,362.0,36.0,30000.0,8,lampara
steel candles that never melt,3,10710.0,332.0,122.0,31.0,8,lampara
gifts for mom' christmas,28,8.0,821.0,57.0,100000.0,11,mom gift
50 gifts women,2,4.0,364.0,1430.0,100000.0,8,gift
practical christmas gifts for mom,5,27.0,265.0,-3.0,10000.0,8,mom gift
practical gifts for moms,6,12.0,247.0,-26.0,20000.0,8,mom gift
home entertainment gifts,2,2.0,247.0,,100000.0,8,gift
last minute gifts for mother in law,1,378.0,213.0,,563.0,8,mom gift
birthday gift for women,86,14.0,2701.0,-34.0,200000.0,27,gift
birthday gifts women,15,5.0,516.0,-32.0,100000.0,9,gift
christmas gifts mom,39,8.0,764.0,41.0,100000.0,11,mom gift
top christmas gifts,9,16.0,1591.0,26.0,100000.0,26,gift
top women gifts,1,3.0,265.0,59.0,100000.0,8,gift
y,120,240.0,14372.0,-42.0,60000.0,41,lampara
mom gifts birthday,16,6.0,644.0,-61.0,100000.0,10,mom gift
christmas gift for mom,804,170.0,16975.0,123.0,100000.0,44,mom gift
women gifts under 50 dollars,6,1.0,216.0,62.0,200000.0,8,gift
christmas gifts for women friends,56,16.0,1596.0,46.0,100000.0,26,gift
best christmas gifts for women,8,3.0,645.0,20.0,200000.0,10,gift
gold bedroom decor,8,44.0,2197.0,-2.0,50000.0,27,house decor
gifts under 50 dollars for women,8,3.0,644.0,4.0,200000.0,10,gift
birthday mom gifts,8,3.0,341.0,3.0,100000.0,8,mom gift
meaning full gifts,1,25.0,250.0,735.0,10000.0,8,gift
funky home decor,9,72.0,1431.0,-4.0,20000.0,26,house decor
shabby chic lamp,1,1046.0,413.0,-10.0,395.0,8,adjective + lamp
girly home decor,1,107.0,644.0,7.0,6000.0,10,house decor
christmas gift for women,373,78.0,7783.0,105.0,100000.0,33,gift
milk glass lamp,1,389.0,389.0,-17.0,1000.0,8,adjective + lamp
vintage home accents,2,6.0,581.0,18.0,90000.0,9,house decor
feminine decor,3,83.0,415.0,-2.0,5000.0,8,house decor
green wax warmer,8,640.0,359.0,-3.0,561.0,8,wax warmer
christmas gift for mother,27,6.0,581.0,85.0,100000.0,9,mom gift
gifts for women in their 60's,14,1316.0,762.0,32.0,579.0,11,gift
christmas gifts for ladies,9,3.0,330.0,15.0,100000.0,8,gift
gifts for woman christmas,15,4.0,405.0,52.0,100000.0,8,gift
chrismas gift for mom,10,3.0,259.0,37.0,100000.0,8,mom gift
gifts for christmas for women,21,5.0,517.0,34.0,100000.0,9,gift
top family gifts,29,19.0,1872.0,135.0,100000.0,26,gift
gift for birthday woman,1,3.0,335.0,-23.0,100000.0,8,gift
morher in law gifts,7,13.0,262.0,151.0,20000.0,8,gift
fairycore decor,2,2620.0,820.0,-5.0,313.0,11,house decor
cottagecore bedroom decor,1,212.0,423.0,-13.0,2000.0,8,house decor
y2k lamp,1,1346.0,420.0,-13.0,312.0,8,adjective + lamp
fairy core decor,1,761.0,405.0,-15.0,532.0,8,house decor
dark academia desk decor,1,1060.0,372.0,14.0,351.0,8,house decor
viral gifts for women,9,396.0,396.0,79.0,1000.0,8,gift
gift ideas under $50,8,3.0,277.0,24.0,100000.0,8,gift
50$ gift,2,3.0,330.0,105.0,100000.0,8,gift
vintage coquette room decor,1,396.0,396.0,-14.0,1000.0,8,house decor
most popular gifts for women 2024,40,292.0,1458.0,194.0,5000.0,26,gift
boho gifts for women vintage boho,3,11.0,219.0,,20000.0,8,gift
gift for women,277,175.0,34903.0,76.0,200000.0,66,gift
christmas present,27,16.0,1648.0,32.0,100000.0,26,gift
birthday gift for mom,41,22.0,2199.0,-27.0,100000.0,27,mom gift
gift mom,23,7.0,698.0,79.0,100000.0,10,mom gift
gift for mom birthday,3,4.0,439.0,-58.0,100000.0,8,mom gift
nice gifts for women,38,8.0,1648.0,103.0,200000.0,26,gift
christmas presents for mom,233,47.0,4240.0,56.0,90000.0,30,mom gift
ladies gifts for christmas,2,3.0,349.0,25.0,100000.0,8,gift
christmas presents for women,199,42.0,4240.0,23.0,100000.0,29,gift
decor gifts,8,4.0,405.0,59.0,100000.0,8,gift
mom gifts for christmas,870,214.0,21445.0,112.0,100000.0,50,mom gift
moms gift,22,6.0,644.0,115.0,100000.0,10,mom gift
birthday for mom,8,6.0,581.0,-27.0,100000.0,9,mom gift
mom gifts christmas,23,6.0,591.0,100.0,100000.0,9,mom gift
best presents for mom,8,3.0,265.0,6.0,100000.0,8,mom gift
best gifts for mother in law,5,19.0,388.0,49.0,20000.0,8,mom gift
scentsy wax melts warmer,3,437.0,437.0,-25.0,1000.0,8,wax warmer
host gifts for women,1,113.0,340.0,-3.0,3000.0,8,gift
interesting finds,14,374.0,1872.0,15.0,5000.0,26,lampara
victorian decor,25,572.0,5151.0,7.0,9000.0,31,house decor
classy gifts for women,12,8.0,482.0,88.0,60000.0,9,gift
working from home gifts,13,20.0,405.0,69.0,20000.0,8,gift
boutique gifts for women,8,25.0,253.0,252.0,10000.0,8,gift
whimsical home decor,1,17.0,516.0,-3.0,30000.0,9,house decor
desk lamp flower,2,322.0,322.0,-15.0,1000.0,8,adjective + lamp
kitschy decor,1,832.0,380.0,13.0,457.0,8,house decor
trending gifts for her,1,124.0,247.0,951.0,2000.0,8,gift
premium decor,2,22.0,2197.0,-45.0,100000.0,27,house decor
gifts for home,111,19.0,3724.0,126.0,200000.0,29,gift
top 100 gifts for women,5,58.0,232.0,190.0,4000.0,8,gift
good christmas gifts,3,4.0,439.0,-33.0,100000.0,8,gift
cozy living room,2,6.0,397.0,-3.0,70000.0,8,house decor
gifts for new mom,269,73.0,5138.0,50.0,70000.0,31,mom gift
gifts for birthday woman,1,3.0,328.0,-13.0,100000.0,8,gift
gift for women christmas,10,2.0,421.0,22.0,200000.0,8,gift
presents for moms,13,7.0,439.0,18.0,60000.0,8,mom gift
good christmas gifts for moms,14,15.0,1053.0,5.0,70000.0,25,mom gift
christmas birthday gifts,3,3.0,259.0,441.0,100000.0,8,gift
mothers christmas gifts,79,22.0,2197.0,103.0,100000.0,27,mom gift
mothers gifts for christmas,29,8.0,821.0,62.0,100000.0,11,mom gift
mom goft,26,6.0,580.0,108.0,100000.0,9,mom gift
steelers lava lamp,9,1444.0,283.0,31.0,196.0,8,adjective + lamp
croquette aesthetic room decor,1,4231.0,567.0,16.0,134.0,9,house decor
whimsigoth home decor,7,2194.0,2194.0,-17.0,1000.0,27,house decor
coquette gifts,19,182.0,1092.0,32.0,6000.0,26,gift
fonton candle,12,906.0,280.0,13.0,309.0,8,lampara
cool gifts for a new mom,53,414.0,3724.0,59.0,9000.0,29,mom gift
popular gifts for women 2024,87,67.0,3348.0,100.0,50000.0,28,gift
aifei candle warmer lamp with timer,15,3652.0,241.0,-7.0,66.0,8,candle warmer
gift for mothers in law,1,9.0,268.0,,30000.0,8,mom gift
vintage decor,126,214.0,21426.0,20.0,100000.0,51,house decor
home gifts for mom,12,3.0,283.0,145.0,100000.0,8,mom gift
vintage lamps,13,366.0,2194.0,-16.0,6000.0,27,adjective + lamp
anthropologie decor,5,840.0,644.0,5.0,767.0,10,house decor
funistree,2,4011.0,349.0,89.0,87.0,8,lampara
vintage room decor,5,58.0,5816.0,-19.0,100000.0,31,house decor
apartment warming gifts,1,69.0,274.0,22.0,4000.0,8,gift
tortoise shell candle,2,5042.0,484.0,-2.0,96.0,9,lampara
香薰灯,1,5950.0,238.0,0.0,40.0,8,lampara
融蜡灯,3,3818.0,378.0,-4.0,99.0,8,lampara
coffee warmer plate,105,3820.0,2063.0,22.0,540.0,27,mug warmer
candle warmer lamp 2 pack,34,1428.0,1428.0,56.0,1000.0,26,candle lamp
banbanda candle warmer lamp,12,3253.0,283.0,,87.0,8,candle lamp
vintage lamp,37,525.0,10509.0,-11.0,20000.0,38,adjective + lamp
new mom gifts,616,205.0,14328.0,76.0,70000.0,44,mom gift
white candle warmer lamp,37,1232.0,1232.0,49.0,1000.0,27,candle lamp
cozy decor,2,17.0,1658.0,-8.0,100000.0,26,house decor
vintage home decor,25,58.0,5810.0,15.0,100000.0,32,house decor
candle stuff,6,32.0,222.0,1.0,7000.0,8,lampara
cottage core lamp,1,1090.0,423.0,-5.0,388.0,8,adjective + lamp
gifts for the home,56,7.0,1456.0,90.0,200000.0,26,gift
mom birthday gift,22,6.0,644.0,-30.0,100000.0,10,mom gift
cottagecore decor,46,1943.0,7772.0,-7.0,4000.0,36,house decor
mother birthday gifts,27,12.0,1159.0,-41.0,100000.0,26,mom gift
house gifts for new home,7,4.0,241.0,3.0,60000.0,8,gift
antique home decor,5,15.0,1050.0,18.0,70000.0,25,house decor
calentador de cafe,7,110.0,219.0,695.0,2000.0,8,lampara
gifts for women home decor,1,1.0,235.0,203.0,200000.0,8,gift
antique gifts for women,10,26.0,517.0,102.0,20000.0,9,gift
christmas gifts for house,5,3.0,324.0,51.0,100000.0,8,gift
lamp vintage,1,32.0,645.0,-25.0,20000.0,10,adjective + lamp
house warming presents,9,25.0,247.0,240.0,10000.0,8,mug warmer
gifts for mom birthday,33,14.0,1429.0,-60.0,100000.0,27,mom gift
aimoptg candle warmer lamp,6,797.0,416.0,34.0,522.0,8,candle lamp
cute lamp,98,812.0,7309.0,-5.0,9000.0,34,adjective + lamp
candle lovers gift ideas,3,311.0,311.0,50.0,1000.0,8,lampara
cute birthday gifts for women,5,5.0,484.0,-44.0,100000.0,9,gift
working woman gifts,29,6.0,247.0,48.0,40000.0,8,gift
gifts for a new mom,22,8.0,581.0,54.0,70000.0,9,mom gift
house gifts for home,85,22.0,2197.0,137.0,100000.0,27,gift
birthday gifts for women,480,664.0,132890.0,-23.0,200000.0,190,gift
new home gifts for women,20,5.0,437.0,-16.0,80000.0,8,gift
gifts for new mothers,5,5.0,517.0,79.0,100000.0,9,mom gift
vintage things,2,12.0,365.0,-5.0,30000.0,8,house decor
best holiday gifts 2024,1,7.0,274.0,-13.0,40000.0,8,gift
house warming gifts,174,156.0,7786.0,53.0,50000.0,38,gift
wax warmer plate,2,430.0,364.0,-11.0,846.0,8,wax warmer
calentador de taza,2,416.0,346.0,28.0,832.0,8,lampara
cute christmas gifts,21,12.0,1232.0,7.0,100000.0,26,gift
electric large candle warmer plate,16,213.0,213.0,,1000.0,8,electric candle warmer
birthday gift mom,1,4.0,375.0,-8.0,100000.0,8,mom gift
home gofts,5,2.0,362.0,116.0,200000.0,8,house decor
electric potpourri simmer pot,12,6553.0,1232.0,20.0,188.0,26,lampara
wax warmers electric,2,381.0,381.0,15.0,1000.0,8,wax warmer
cofee warmer,13,392.0,392.0,71.0,1000.0,8,mug warmer
vintage gifts for women,27,16.0,1591.0,86.0,100000.0,26,gift
new mom christmas gifts,72,31.0,1245.0,167.0,40000.0,26,mom gift
gifts for mom useful,9,27.0,271.0,12.0,10000.0,8,mom gift
house warming,45,24.0,1456.0,23.0,60000.0,36,mug warmer
gold room decor,29,91.0,7306.0,-5.0,80000.0,33,house decor
electric wax warmer,43,1596.0,1596.0,4.0,1000.0,27,wax warmer
elegant home decor,1,6.0,644.0,10.0,100000.0,10,house decor
trending home decor,1,104.0,519.0,8.0,5000.0,9,house decor
house warming gifts new apartment,11,291.0,581.0,21.0,2000.0,9,gift
coffee and candle warmer,12,328.0,265.0,119.0,808.0,8,electric candle warmer
traditional home decor,4,6.0,644.0,8.0,100000.0,10,house decor
vintage home,1,8.0,764.0,3.0,100000.0,11,house decor
lampara para vela,3,429.0,219.0,12.0,510.0,8,lampara
candle warmer lantern,15,1592.0,1592.0,25.0,1000.0,29,electric candle warmer
cute home gifts,5,2.0,219.0,247.0,100000.0,8,gift
gifts for the hostess,12,58.0,1164.0,24.0,20000.0,26,gift
home warming gift,1,4.0,213.0,14.0,50000.0,8,gift
decor gifts for women,11,2.0,247.0,733.0,100000.0,8,gift
new house gifts,5,6.0,517.0,133.0,90000.0,9,gift
gifts for apartment,2,9.0,359.0,42.0,40000.0,8,gift
candles & candleholders,24,194.0,1940.0,19.0,10000.0,27,lampara
gifts for bedroom,1,3.0,280.0,1344.0,100000.0,8,gift
candle wamer,9,13.0,397.0,17.0,30000.0,8,lampara
home decor aesthetic,49,73.0,7309.0,-18.0,100000.0,34,house decor
mug earmer,7,222.0,222.0,,1000.0,8,mug warmer
"candle warmer lamp with timer dimmer adjustable height,mothers day gifts,electric wax warmer vintage",13,512.0,277.0,-25.0,541.0,8,candle warmer
mothers day gift,3,6.0,644.0,28.0,100000.0,10,mom gift
home gifts for women,37,17.0,1656.0,112.0,100000.0,26,gift
cup warmer,360,9240.0,9240.0,50.0,1000.0,46,mug warmer
room decor gifts,1,3.0,268.0,33.0,100000.0,8,gift
nancy meyers home decor,3,15749.0,2693.0,8.0,171.0,27,house decor
melt warmer,6,124.0,373.0,-5.0,3000.0,8,mug warmer
christmas gifts for home decor,5,3.0,250.0,,100000.0,8,gift
lamparas para velas aromaticas,3,4175.0,764.0,88.0,183.0,11,lampara
vintage gift,5,3.0,348.0,31.0,100000.0,8,gift
candle warm,6,23.0,225.0,5.0,10000.0,8,electric candle warmer
candle light warmer,94,2693.0,2693.0,62.0,1000.0,28,electric candle warmer
house warming gifts new home women,64,413.0,2063.0,-17.0,5000.0,27,gift
cute gifts for women,395,122.0,12205.0,114.0,100000.0,39,gift
gifts for mother in law christmas,70,105.0,2093.0,129.0,20000.0,27,mom gift
cottagecore lamp,1,866.0,439.0,-4.0,507.0,8,adjective + lamp
potpourri simmer pot plug in,1,3000.0,222.0,80.0,74.0,8,lampara
vintage kitchen decor,13,24.0,2426.0,0.0,100000.0,27,house decor
lamp for candle,1,404.0,404.0,-2.0,1000.0,8,adjective + lamp
warm candle lamp,11,407.0,407.0,6.0,1000.0,8,candle lamp
vintage modern decor,2,4.0,343.0,-8.0,90000.0,8,house decor
coffee warmee,16,250.0,250.0,25.0,1000.0,8,mug warmer
heating lamp for candles,2,563.0,391.0,76.0,694.0,8,candle lamp
candle for warmer lamp,6,415.0,415.0,30.0,1000.0,8,candle lamp
housewarming gifts for women,65,42.0,2093.0,-6.0,50000.0,27,gift
mothers birthday gift,5,2.0,235.0,-24.0,100000.0,8,mom gift
gift for new apartment women,7,7.0,274.0,,40000.0,8,gift
cute lamps for bedrooms,5,83.0,1663.0,-8.0,20000.0,27,adjective + lamp
mugwarmer,14,259.0,259.0,138.0,1000.0,8,mug warmer
home decor gifts for women,196,58.0,5815.0,141.0,100000.0,31,gift
gifts for new house,7,4.0,328.0,112.0,90000.0,8,gift
candle warmer 2 pack,7,208.0,415.0,17.0,2000.0,8,electric candle warmer
cozy mom gifts,1,13.0,259.0,51.0,20000.0,8,mom gift
50 christmas gifts for women,11,13.0,396.0,46.0,30000.0,8,gift
perfect housewarming gifts,31,3412.0,1450.0,19.0,425.0,26,gift
marycele,4,3926.0,373.0,-4.0,95.0,8,lampara
lamp candle warmer,436,16484.0,16484.0,42.0,1000.0,44,candle lamp
last minute gift,22,41.0,1215.0,3000.0,30000.0,26,gift
new apartment gift,14,23.0,225.0,85.0,10000.0,8,gift
farmhouse gifts for women,5,14.0,271.0,14.0,20000.0,8,gift
magnolia home decor,8,403.0,1208.0,22.0,3000.0,26,house decor
black home decor,33,28.0,2791.0,7.0,100000.0,28,house decor
last minute christmas gifts for mom,77,220.0,2196.0,1345.0,10000.0,27,mom gift
candle.warmer lamp,4,299.0,299.0,-11.0,1000.0,8,candle lamp
gifts for mother in law,460,776.0,15528.0,103.0,20000.0,44,mom gift
electric candle warmer lamp,45,1428.0,1428.0,21.0,1000.0,27,candle lamp
best housewarming gifts 2024,217,2037.0,12221.0,1.0,6000.0,39,gift
candle warner lamp,14,271.0,271.0,109.0,1000.0,8,adjective + lamp
electric candle warmer plate,1,438.0,274.0,191.0,626.0,8,electric candle warmer
antique candle warmer lamp,6,1399.0,256.0,-16.0,183.0,8,candle lamp
adjustable height candle warmer,7,298.0,298.0,,1000.0,8,electric candle warmer
candle warmer light,57,2196.0,2196.0,38.0,1000.0,27,candle lamp
house gifts for mom,4,7.0,286.0,97.0,40000.0,8,mom gift
oil warmer for scented oil,15,76.0,762.0,-11.0,10000.0,11,mug warmer
lamp candle warmers,1,333.0,333.0,-10.0,1000.0,8,candle lamp
candle warmers lamp with timer,2,644.0,644.0,83.0,1000.0,10,candle warmer
lamp wax warmer,17,698.0,698.0,20.0,1000.0,10,wax warmer
warm and cozy gifts,14,2.0,228.0,168.0,100000.0,8,gift
erumpere candle warmer lamp,27,541.0,289.0,36.0,534.0,8,candle lamp
candle warmers lamp,49,1871.0,1871.0,21.0,1000.0,26,candle lamp
women's home decor gifts,13,3.0,268.0,0.0,100000.0,8,gift
electric candle warmers,1,189.0,378.0,0.0,2000.0,8,electric candle warmer
candles warmer lamp,15,698.0,698.0,34.0,1000.0,10,candle lamp
candle lamp warmers,5,311.0,311.0,37.0,1000.0,8,candle lamp
warmer candle,5,80.0,399.0,4.0,5000.0,8,electric candle warmer
electric lamp candle warmer,4,228.0,228.0,34.0,1000.0,8,candle lamp
candle warmer with lamp,7,384.0,384.0,34.0,1000.0,8,candle lamp
candle warmer lamp under 25,8,1888.0,253.0,186.0,134.0,8,candle lamp
candle warmer lamp dimmable timer,10,246.0,238.0,2.0,966.0,8,candle warmer
candle heater lamp,11,566.0,517.0,16.0,914.0,9,candle lamp
lamp for candles,1,333.0,333.0,11.0,1000.0,8,adjective + lamp
cup watmer,9,225.0,225.0,947.0,1000.0,8,mug warmer
house decor gifts for women,11,10.0,405.0,36.0,40000.0,8,gift
wax melt warmer plug in wall,48,3025.0,1431.0,-16.0,473.0,27,wax warmer
calentador de vela,2,125.0,375.0,32.0,3000.0,8,lampara
hong in candle warmer lamp,11,1610.0,235.0,21.0,146.0,8,candle lamp
a candle warmer lamp,34,3125.0,3125.0,37.0,1000.0,28,candle lamp
candle lamp,452,27730.0,27730.0,74.0,1000.0,64,adjective + lamp
flower lamp,144,3874.0,15496.0,-11.0,4000.0,45,adjective + lamp
candle warm lamp,12,274.0,274.0,75.0,1000.0,8,candle lamp
house warming gifts new home,1195,4541.0,45413.0,49.0,10000.0,82,gift
candle wamer lamp,1,213.0,213.0,-2.0,1000.0,8,adjective + lamp
"briever dimmable candle warmer lamp with timer, height adjustable electric candle wax warmer for jar",11,551.0,286.0,,519.0,8,candle warmer
house decor for women,23,22.0,1092.0,-11.0,50000.0,26,house decor
wax scent warmer,14,136.0,408.0,-8.0,3000.0,8,wax warmer
gifts for the house,7,4.0,405.0,121.0,100000.0,8,gift
gifts for candle lovers,8,86.0,344.0,36.0,4000.0,8,lampara
calentador de velas,4,322.0,644.0,32.0,2000.0,10,lampara
wax warmer electric,11,424.0,424.0,-10.0,1000.0,8,wax warmer
wax melter warmer,40,1234.0,1234.0,10.0,1000.0,26,wax warmer
warm candle,11,12.0,232.0,85.0,20000.0,8,electric candle warmer
lamp for candle warmer,31,1242.0,1242.0,53.0,1000.0,26,candle lamp
cadle warmer,1,8.0,238.0,1938.0,30000.0,8,mug warmer
top down candle warmer,7,587.0,405.0,64.0,690.0,8,electric candle warmer
unique home decor,2,21.0,2092.0,9.0,100000.0,27,house decor
lamp candle,28,1232.0,1232.0,47.0,1000.0,26,adjective + lamp
vintage home decor aesthetic,2,15.0,581.0,9.0,40000.0,9,house decor
camdle warmer,7,11.0,317.0,31.0,30000.0,8,mug warmer
lamp warmer,75,2700.0,2700.0,62.0,1000.0,31,candle lamp
candel warmers,11,58.0,232.0,153.0,4000.0,8,mug warmer
candle warmer lamp for jar candles,12,222.0,222.0,114.0,1000.0,8,candle lamp
candle warmer lamp with remote,17,3411.0,764.0,-2.0,224.0,11,candle lamp
canle warmer,4,10.0,303.0,-15.0,30000.0,8,mug warmer
candle waemer,1,8.0,241.0,-4.0,30000.0,8,lampara
candle warmers￼,4,57.0,341.0,5.0,6000.0,8,lampara
fragrance wax warmer,10,131.0,392.0,-17.0,3000.0,8,wax warmer
modern candle warmer,3,598.0,581.0,-28.0,971.0,9,electric candle warmer
candle warmer lights,1,256.0,256.0,17.0,1000.0,8,electric candle warmer
black candle lamp,12,368.0,232.0,25.0,630.0,8,adjective + lamp
lamp with candle warmer,8,421.0,421.0,6.0,1000.0,8,candle lamp
unique candle warmer lamp,4,871.0,296.0,15.0,340.0,8,candle lamp
