"ExpandKeywords(3000)-US-B0DDX8MYKQ,B0CTJGJL2T,B0CGZS5129,B0CXJ9338V,B0CZ9F35PT,B0CQQLYD3W,B0C2771TLS,B0CDRDK6MR,B0CFLRBTYN,B0C27FG8L9-Last-30-days-20250108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
关键词,关键词翻译,AC推荐词,流量占比,流量词类型,预估周曝光量,相关产品,相关ASIN,ABA周排名,月搜索量,月购买量,购买率,展示量,点击量,SPR,标题密度,商品数,需供比,广告竞品数,点击集中度,前三ASIN转化总占比,PPC竞价,建议竞价范围,#1 前三ASIN,#1 点击共享,#1 转化共享,#2 前三ASIN,#2 点击共享,#2 转化共享,#3 前三ASIN,#3 点击共享,#3 转化共享,前十ASIN
home,家,,1.01%,自然搜索词/SP广告词,"112,843 ",6 ,B0CTJGJL2T/B0CDRDK6MR/B0CQQLYD3W/B0CGZS5129/B0DDX8MYKQ/B0CXJ9338V,"1,629","293,573 ",440 ,0.15%,"6,379,713 ","119,712 ",10 ,34 ,"375,649 ",0.8 ,377 ,31.5%,2.5%,$1.88,$1.35 - $2.41,B079HPWSNJ,26.3%,0.0%,B0CFGYFCYL,2.6%,2.5%,B091MLZZW4,2.5%,0.0%,"B09Z65MVY5,B0CXH19D34,B08M43LDG9,B0CKXTQRMF,B08H8S7W2F,B09YH5CPQP,B0C3317LML,B00JH98GR4,B0DJCBNM8P,B00A2F99F0"
lamp candle warmer,灯蜡烛加热器,,0.96%,自然搜索词/HR推荐词/SP广告词,"107,418 ",10 ,B0CXJ9338V/B0DDX8MYKQ/B0C2771TLS/B0CQQLYD3W/B0CZ9F35PT/B0CTJGJL2T/B0C27FG8L9/B0CFLRBTYN/B0CGZS5129/B0CDRDK6MR,"19,518","47,279 ","1,134 ",2.40%,"977,939 ","22,014 ",26 ,6 ,"1,336 ",35.4 ,155 ,21.0%,12.4%,$1.59,$1.25 - $1.84,B0CDRDK6MR,9.5%,5.3%,B0DDX8MYKQ,6.4%,4.6%,B0CQQLYD3W,5.1%,2.5%,"B0CTJGJL2T,B0BWJRJYS7,B0CDL7XPM1,B0CGZS5129,B0D9HPTW4G,B0CCYCBRSK,B0CNR9SF74,B0BZ7ZDVRW,B0BZ53N7RL,B0D8JH8PKN"
house warming gifts new home,暖房礼物新家,,0.87%,SP广告词,"97,006 ",6 ,B0DDX8MYKQ/B0CTJGJL2T/B0CGZS5129/B0CDRDK6MR/B0CZ9F35PT/B0C2771TLS,"5,594","119,320 ","2,744 ",2.30%,"2,492,869 ","45,404 ",63 ,38 ,"14,488 ",8.2 ,286 ,10.6%,6.3%,$1.69,$1.50 - $2.15,B08YQRPYPS,3.7%,3.2%,B07DL7ZV31,3.5%,1.4%,B0B7VM5NC7,3.4%,1.7%,"B0BWJRJYS7,B0CZ3JSJNQ,B01DTFF0Y8,B0CGZS5129,B07DL7ZV31,B09RN1ZH6L,B0B5LQL24B,B0CN2MKFRS,B0D5QMS8BN,B0BRSGRGBG"
wax melt warmer,蜡熔炉,Y,0.76%,自然搜索词/AC推荐词/SP广告词,"84,697 ",7 ,B0CXJ9338V/B0CQQLYD3W/B0CDRDK6MR/B0CZ9F35PT/B0DDX8MYKQ/B0CFLRBTYN/B0CTJGJL2T,"4,318","181,292 ","3,970 ",2.19%,"4,730,105 ","73,195 ",92 ,40 ,"3,238 ",56.0 ,202 ,16.7%,15.0%,$0.64,$0.46 - $0.75,B09WZWWT8S,8.1%,6.8%,B0CYLMZYD6,5.3%,5.2%,B09BVR2Q9N,3.3%,3.0%,"B0DMJFY676,B0DMJHRW8X,B0DMD6T44H,B0DLWZNZN5,B0DM9X49W8,B0BWJRJYS7,B0DM9RS441,B09BVR2Q9N,B0DM9TXJ7H,B0CXJ9338V"
decor,装饰,,0.71%,自然搜索词,"79,395 ",9 ,B0CTJGJL2T/B0CDRDK6MR/B0CXJ9338V/B0CQQLYD3W/B0CGZS5129/B0C2771TLS/B0DDX8MYKQ/B0C27FG8L9/B0CZ9F35PT,"4,657","121,520 ",328 ,0.27%,"2,651,820 ","54,477 ",8 ,69 ,"218,039 ",0.6 ,294 ,6.0%,3.8%,$1.19,$0.88 - $1.49,B0DJQ9RM7Y,2.6%,0.0%,B0BYSQPLJN,1.8%,1.3%,B0C2MHG632,1.6%,2.5%,"B09FK1GSXY,B0BQHV84H6,B09Y8SV5RY,B0D7D6R6F5,B07DQCJ84X,B0BHP4RM3K,B0CDFCK8PC,B07KRPZP75,B09H5JZC97,B09LQJBCT7"
wax warmer for scented wax,用于香蜡的蜡加热器,Y,0.66%,自然搜索词/AC推荐词/品牌广告词/SP广告词,"74,007 ",8 ,B0CXJ9338V/B0CQQLYD3W/B0CTJGJL2T/B0CGZS5129/B0CDRDK6MR/B0DDX8MYKQ/B0CFLRBTYN/B0CZ9F35PT,"14,093","87,667 ","1,823 ",2.08%,"2,419,029 ","35,361 ",42 ,17 ,"3,660 ",24.0 ,55 ,15.0%,12.0%,$0.81,$0.62 - $1.01,B09WZWWT8S,6.5%,4.9%,B0CYLMZYD6,5.2%,5.2%,B08PNP2LNL,3.2%,1.9%,"B0BWJRJYS7,B0CDRDK6MR,B0CXJ9338V,B0D5GF7PMV,B09BVR2Q9N,B0CQQLYD3W,B01N9Y6077,B09WZWWT8S,B0CZ9DDMKP,B0D8JH8PKN"
women gifts,女性礼物,,0.63%,自然搜索词,"71,011 ",5 ,B0DDX8MYKQ/B0CGZS5129/B0CDRDK6MR/B0C2771TLS/B0C27FG8L9,"6,115","111,016 ","5,695 ",5.13%,"2,822,520 ","50,709 ",130 ,0 ,"229,169 ",0.5 ,264 ,12.5%,4.6%,$2.46,$1.61 - $2.74,B0CRMZ9PFR,5.9%,2.0%,B07Y2BP7F2,3.5%,1.7%,B0C7QZP3CS,3.2%,0.9%,"B089D3Q24T,B097BSKN9P,B0BNYR7MQV,B0B9M4119W,B07SM61FCT,B08GHNRG5Q,B09RN1ZH6L,B09F2J4SX1,B0CHMDT2FM,B0BX92ZT75"
flower lamp,花灯,,0.54%,视频广告词,"60,306 ",8 ,B0DDX8MYKQ/B0CQQLYD3W/B0C27FG8L9/B0CGZS5129/B0CDRDK6MR/B0CXJ9338V/B0CFLRBTYN/B0C2771TLS,"19,961","58,192 ",349 ,0.60%,"1,723,455 ","24,421 ",9 ,15 ,"4,660 ",12.5 ,226 ,34.3%,35.4%,$1.20,$0.89 - $1.50,B0CWNVV16D,14.6%,14.6%,B0CGTJRVGK,12.9%,20.1%,B0CQK613S1,6.8%,0.7%,"B0CWNVV16D,B000MRDD5K,B0CQK613S1,B0BG761237,B0CGTJRVGK,B0D62TFQF1,B0D7CJ6BDH,B0D49Q585L,B0D3V4ZH18,B09TW285ND"
bedroom decor,卧室装饰,,0.52%,自然搜索词,"57,828 ",8 ,B0CQQLYD3W/B0CGZS5129/B0CDRDK6MR/B0C2771TLS/B0C27FG8L9/B0CXJ9338V/B0CZ9F35PT/B0DDX8MYKQ,"2,193","225,302 ",540 ,0.24%,"4,842,980 ","109,635 ",13 ,6 ,"140,606 ",1.6 ,407 ,10.0%,6.2%,$0.67,$0.40 - $0.83,B0BXY61MQT,3.6%,3.0%,B0D9GFYJBV,3.4%,1.3%,B0BYSQPLJN,3.0%,1.9%,"B099WTN2TR,B0D4DJ6BRR,B0DMLPGM33,B0BQHV84H6,B099ZRCGWW,B0BPLB81LX,B08DFLJL24,B0BYSQPLJN,B0BQ8P6MCH,B0995M1JW7"
candle holder,烛台,,0.51%,视频广告词/SP广告词,"56,929 ",4 ,B0CTJGJL2T/B0DDX8MYKQ/B0CDRDK6MR/B0C27FG8L9,"5,854","172,779 ","1,693 ",0.98%,"4,679,882 ","68,698 ",39 ,76 ,"15,327 ",11.3 ,521 ,13.0%,12.9%,$0.62,$0.44 - $0.82,B0DDT1LP4T,5.9%,5.6%,B07W554ZNB,4.3%,4.8%,B08SCHZB81,2.8%,2.5%,"B09LM9Q5HB,B07W554ZNB,B08SCHZB81,B09NTHDNVZ,B0DDT1LP4T,B0CTSSLFM3,B0C33MG9BQ,B085GLYYCB,B097QPND5Z,B09LMC5JLX"
house decor,房屋装饰,,0.49%,自然搜索词,"55,439 ",9 ,B0CTJGJL2T/B0CGZS5129/B0DDX8MYKQ/B0CDRDK6MR/B0C2771TLS/B0CZ9F35PT/B0C27FG8L9/B0CQQLYD3W/B0CXJ9338V,"12,176","78,724 ",244 ,0.31%,"2,305,611 ","32,268 ",6 ,6 ,"132,743 ",0.6 ,265 ,15.3%,4.7%,$0.81,$0.57 - $1.01,B09ZRT5QPG,6.2%,4.2%,B0CJ56M8D4,5.9%,0.5%,B0C2Y3T5LN,3.2%,0.0%,"B09Q4GWMZQ,B09ZRT5QPG,B09Y8SV5RY,B091ZFL4X5,B0CJ56M8D4,B07DQCJ84X,B000QTUJXS,B0B27WGC8Q,B08YQRPYPS,B0C6L1P8JV"
living room decor,客厅装饰,,0.49%,自然搜索词,"55,032 ",4 ,B0CQQLYD3W/B0C2771TLS/B0CGZS5129/B0C27FG8L9,"3,690","149,577 ",358 ,0.24%,"4,427,693 ","56,997 ",9 ,5 ,"128,939 ",1.2 ,550 ,14.8%,8.9%,$1.21,$0.91 - $1.34,B09ZRT5QPG,6.8%,4.3%,B08Z36X6B4,4.4%,1.6%,B0CD59K7PX,3.5%,2.9%,"B099WTN2TR,B086ZLGLV3,B09ZRT5QPG,B003VP5TPW,B0BPLB81LX,B0BTRZBGGZ,B0714K41PB,B0CD59K7PX,B074KFP426,B000QTUJXS"
white elephant gifts for adults,给大人的白象礼物,,0.49%,自然搜索词/SP广告词,"54,796 ",2 ,B0CDRDK6MR/B0CXJ9338V,298,"1,046,242 ","13,182 ",1.26%,"21,797,705 ","433,075 ",304 ,20 ,"10,886 ",96.1 ,502 ,8.8%,3.8%,$0.53,$0.42 - $0.84,B0CH9TWC91,3.9%,1.6%,B07T6FNLQV,2.7%,2.0%,B09BDFXNQX,2.2%,0.2%,"B0BQ5PFMF3,B099ZRCGWW,B0DG2YRCWG,B07KRCGWHR,B005Q8X6IO,B0BRM4N25N,B0CJKTBMZM,B01E4LWBLQ,B0CH8GLN9V,B0BJV68C17"
vintage decor,复古装饰,,0.44%,自然搜索词/视频广告词,"49,655 ",5 ,B0C27FG8L9/B0CGZS5129/B0CDRDK6MR/B0CZ9F35PT/B0CXJ9338V,"12,933","57,730 ",155 ,0.27%,"1,365,352 ","24,921 ",4 ,6 ,"133,343 ",0.4 ,135 ,14.8%,4.8%,$0.61,$0.49 - $0.75,B09LQJBCT7,7.5%,3.2%,B0C4KDHN3M,4.6%,0.8%,B07W554ZNB,2.7%,0.8%,"B07JPYYMLK,B09LQJBCT7,B07W554ZNB,B0C2KMYPQ9,B0CFT7H56L,B08Q2Y9GQS,B07FHDCJ55,B0DHWXYDSB,B07F31FSC6,B0BJGXKD9H"
candle warmers,暖烛器,Y,0.42%,自然搜索词/AC推荐词/视频广告词/SP广告词,"46,573 ",10 ,B0CXJ9338V/B0DDX8MYKQ/B0C2771TLS/B0CQQLYD3W/B0CZ9F35PT/B0CTJGJL2T/B0CGZS5129/B0CDRDK6MR/B0C27FG8L9/B0CFLRBTYN,"49,320","28,799 ",694 ,2.41%,"704,175 ","11,805 ",16 ,13 ,"4,867 ",5.9 ,85 ,16.6%,8.6%,$1.50,$1.27 - $1.75,B09YCVYCQ2,7.0%,5.6%,B0CDRDK6MR,5.8%,2.5%,B0CGZS5129,3.7%,0.5%,"B0CTJGJL2T,B0BWJRJYS7,B0CP95C852,B0D9HPTW4G,B0C2771TLS,B0DC6GPFZH,B09YCVYCQ2,B0CCYCBRSK,B0CGZS5129,B0CXJ9338V"
birthday gifts for women,送给女性的生日礼物,,0.41%,自然搜索词,"46,161 ",3 ,B0CGZS5129/B0CDRDK6MR/B0C27FG8L9,"1,275","391,342 ","11,153 ",2.85%,"9,128,600 ","184,152 ",257 ,27 ,"196,186 ",2.0 ,552 ,46.2%,10.0%,$1.52,$1.14 - $1.90,B0DCNDVTD1,33.7%,0.0%,B07T2S93Z8,9.7%,8.1%,B0CBJMBLWS,2.8%,1.9%,"B08CHBCGFL,B074B4BCBV,B07SM61FCT,B097BSKN9P,B0BXGJLK8P,B0DB5YXB6V,B0BRQGZL84,B0D2WXMZ5J,B0DJWK7N8Y,B0BX6B67T8"
christmas gifts for mom,给妈妈的圣诞礼物,,0.40%,自然搜索词/SP广告词,"44,919 ",2 ,B0CDRDK6MR/B0C27FG8L9,"3,407","205,170 ","7,427 ",3.62%,"5,421,765 ","100,221 ",169 ,9 ,"126,874 ",1.6 ,178 ,10.5%,5.7%,$1.00,$0.75 - $1.25,B07GBFT6Z3,4.8%,2.9%,1081439793,3.0%,1.8%,B091Q17CGW,2.7%,1.0%,"B089D3Q24T,B07SM61FCT,1081439793,B0B5R3MPGQ,B07GBFT6Z3,B07S651GSW,B0CKXMY8X6,B075DHT9J3,B08BC88KG1,B0CH8LYF42"
candle wax warmer,蜡烛蜡盒,,0.40%,自然搜索词,"44,339 ",10 ,B0CXJ9338V/B0C2771TLS/B0DDX8MYKQ/B0CQQLYD3W/B0CTJGJL2T/B0CGZS5129/B0CZ9F35PT/B0CDRDK6MR/B0C27FG8L9/B0CFLRBTYN,"47,274","32,183 ",724 ,2.25%,"819,400 ","12,953 ",17 ,18 ,"12,634 ",2.6 ,80 ,18.5%,11.4%,$0.87,$0.64 - $1.09,B09WZWWT8S,8.9%,5.7%,B09BVR2Q9N,5.4%,3.1%,B0BXXFPK2D,4.3%,2.6%,"B0CDRDK6MR,B09BVR2Q9N,B0BWJRJYS7,B09WZWWT8S,B0D5GF7PMV,B0CXJ9338V,B01N9Y6077,B0CQQLYD3W,B0BZ7ZDVRW,B0CHN15LWF"
housewarming gifts new home,乔迁礼物新家,,0.36%,自然搜索词/HR推荐词/SP广告词,"40,922 ",4 ,B0DDX8MYKQ/B0CTJGJL2T/B0CGZS5129/B0CDRDK6MR,"22,411","59,503 ","1,630 ",2.74%,"1,426,580 ","23,696 ",38 ,16 ,"45,240 ",1.3 ,141 ,10.6%,8.0%,$1.42,$1.28 - $1.69,B0CZ3JSJNQ,4.4%,4.8%,B01DTFF0Y8,3.3%,2.2%,B0DH3FXV9X,2.9%,1.1%,"B01DTFF0Y8,B0CZ3JSJNQ,B0CN2MKFRS,B0CSFS455Q,B0D5QMS8BN,B0CJH76S39,B0CMTB1YHN,B0BRSGRGBG,B09RN1ZH6L,B0BHFCR4WB"
candle warmer plate,蜡烛暖盘,,0.34%,自然搜索词,"38,422 ",10 ,B0CQQLYD3W/B0DDX8MYKQ/B0CTJGJL2T/B0CFLRBTYN/B0CDRDK6MR/B0CZ9F35PT/B0CGZS5129/B0C2771TLS/B0CXJ9338V/B0C27FG8L9,"30,652","34,596 ","1,442 ",4.17%,"804,043 ","14,125 ",33 ,26 ,"1,585 ",21.8 ,115 ,27.8%,20.9%,$1.21,$0.92 - $1.50,B09YCVYCQ2,14.0%,13.3%,B0CG8MNCYS,7.9%,4.1%,B0C5D5Y3KD,5.9%,3.6%,"B0BXFGV3C5,B0036FQDA2,B0CG8MNCYS,B09YCVYCQ2,B0D9N7HW86,B012E36JZ0,B08PG5PGG2,B0CHYLBWTB,B0D9N8Y3WL,B0C68YFPSG"
candle warmer with timer,带定时器的蜡烛加热器,,0.33%,自然搜索词,"37,072 ",10 ,B0CXJ9338V/B0DDX8MYKQ/B0C2771TLS/B0CQQLYD3W/B0CTJGJL2T/B0CGZS5129/B0CDRDK6MR/B0CZ9F35PT/B0C27FG8L9/B0CFLRBTYN,"57,976","17,962 ",443 ,2.47%,"378,583 ","7,654 ",11 ,4 ,"1,803 ",10.0 ,67 ,24.6%,12.6%,$1.23,$0.92 - $1.53,B0CYBXS2QD,15.3%,9.8%,B0C7T96PVK,5.5%,2.8%,B0CF94WHQH,3.8%,0.0%,"B0BWJRJYS7,B0CTJGJL2T,B0036FQDA2,B0CZRL5NDB,B0CP95C852,B0CDRDK6MR,B0CGZS5129,B0D97RGH4J,B0CQQ16KGD,B0D9HPTW4G"
candle warmer lamp bulb,蜡烛暖气片灯泡,,0.31%,自然搜索词,"34,695 ",10 ,B0CZ9F35PT/B0CQQLYD3W/B0CTJGJL2T/B0CGZS5129/B0CXJ9338V/B0C2771TLS/B0C27FG8L9/B0CDRDK6MR/B0DDX8MYKQ/B0CFLRBTYN,"48,657","24,579 ","3,753 ",15.27%,"636,778 ","11,732 ",86 ,6 ,"2,332 ",10.5 ,106 ,55.8%,45.9%,$1.86,$1.39 - $2.32,B0CGXDP73D,24.8%,22.8%,B07F9VM5KP,17.5%,17.1%,B09MD68NM8,13.5%,6.1%,"B0CGXDP73D,B0C4ZX94BR,B0CXXY48RK,B0CM6H3T26,B07GFRLJ9C,B0D839Q2LC,B085HRP3LQ,B0CXXSXMB1,B09MD68NM8,B0CXTBPLML"
lamps,灯具,,0.30%,自然搜索词,"34,040 ",8 ,B0CTJGJL2T/B0CDRDK6MR/B0CGZS5129/B0C2771TLS/B0C27FG8L9/B0CQQLYD3W/B0CXJ9338V/B0DDX8MYKQ,"3,996","196,310 ","1,452 ",0.74%,"5,686,262 ","76,998 ",34 ,38 ,"20,977 ",9.4 ,322 ,12.0%,8.4%,$1.40,$0.91 - $1.88,B07Z5NQPDS,4.2%,5.5%,B0C4SZBN64,4.1%,0.8%,B08Z36X6B4,3.7%,2.1%,"B099WTN2TR,B086ZLGLV3,B07Z5NQPDS,B0C4DGFFCM,B08Z36X6B4,B0D3WTFWQ9,B0C4SZBN64,B095NXXP8C,B0CP3YL6QJ,B0BZXNSW5K"
cute room decor,可爱的房间装饰,,0.30%,自然搜索词,"34,015 ",5 ,B0C27FG8L9/B0CQQLYD3W/B0CDRDK6MR/B0CGZS5129/B0CXJ9338V,"17,536","78,073 ",101 ,0.13%,"1,794,794 ","29,946 ",3 ,3 ,"138,607 ",0.6 ,141 ,15.3%,6.6%,$0.52,$0.37 - $0.66,B077GWL4T2,6.2%,1.1%,B0BPLB81LX,4.6%,2.2%,B0BXY61MQT,4.5%,3.3%,"B085HLWXHN,B0BPLB81LX,B01COH2R98,B07CWT7YYL,B09FL6YR9L,B09V7M9DSK,B0BMW361N3,B0CZ7ZP44X,B077GWL4T2,B0BXY61MQT"
candle warming lamp,烛光暖灯,,0.30%,自然搜索词/视频广告词/SP广告词,"33,811 ",10 ,B0CXJ9338V/B0DDX8MYKQ/B0C2771TLS/B0CQQLYD3W/B0CZ9F35PT/B0CTJGJL2T/B0C27FG8L9/B0CGZS5129/B0CDRDK6MR/B0CFLRBTYN,"79,808","15,689 ",445 ,2.84%,"432,758 ","7,836 ",11 ,7 ,"1,022 ",15.4 ,108 ,19.6%,14.8%,$1.59,$1.19 - $1.95,B0CDRDK6MR,7.8%,5.2%,B0DDX8MYKQ,6.2%,4.5%,B0CQQLYD3W,5.6%,5.2%,"B0CTJGJL2T,B0BWJRJYS7,B0BZPGDR1B,B0CCYCBRSK,B0D9HPTW4G,B0CGZS5129,B0CP95C852,B0CT274BX5,B0C2771TLS,B01N9Y6077"
