Keyword,,流量占比,流量词类型,自然流量占比,自然排名,广告排名,月搜索量,点击量,商品数,供需比,转化总占比
cat string toy,猫绳玩具,0.01%,视频广告词,,前3页无排名,50,"8,802","3,997","1,173",7.5,49.3%
cool gadgets for teens,适合青少年的酷玩意,0.01%,SP广告词,,前3页无排名,19,"8,913","3,877","2,419",3.7,11.1%
teenager boy gift ideas,青少年男孩礼物创意,0.01%,视频广告词,,前3页无排名,53,"8,990","4,324","4,593",2.0,6.9%
gift for teen boy,给十几岁男孩的礼物,0.01%,SP广告词,,前3页无排名,81,"7,108","3,521","24,432",0.3,9.8%
levi wand,利维魔杖,0.01%,视频广告词,,前3页无排名,4,"11,600","4,547",40,290.0,78.6%
web-shooters,网络射手,0.01%,视频广告词,,前3页无排名,10,"6,178","2,444",248,24.9,28.6%
gimp string,gimp 字符串,0.01%,视频广告词,,前3页无排名,50,"7,443","3,249",289,25.8,37.7%
prank toys,恶作剧玩具,0.01%,视频广告词,,前3页无排名,4,"5,496","2,650","6,536",0.8,8.7%
teen boy gift,十几岁的男孩礼物,0.01%,SP广告词,,前3页无排名,134,"4,772","2,254","24,418",0.2,11.1%
rope swing,绳索秋千,0.01%,视频广告词,,前3页无排名,99,"5,761","2,699","1,757",3.3,18.5%
teen boy gifts trendy stuff,少年男孩的礼物 潮流的东西,0.01%,SP广告词,,前3页无排名,134,"4,440","2,053","1,727",2.6,0.0%
lasso rope kids,套索绳孩子,0.01%,视频广告词,,前3页无排名,50,"4,260","2,124",173,24.6,31.0%
cool gifts for college guys,给大学生的很酷的礼物,0.01%,SP广告词,,前3页无排名,4,"4,578","2,188","2,472",1.9,20.0%
cool fidget toys,很酷的玩具,0.01%,SP广告词,,前3页无排名,125,"3,555","1,656","3,254",1.1,0.0%
light up fidget spinner,点亮指尖陀螺,0.01%,视频广告词,,前3页无排名,50,"3,810","1,725",539,7.1,34.0%
