Keyword,,流量占比,流量词类型,自然流量占比,自然排名,广告排名,月搜索量,点击量,商品数,供需比,转化总占比
superhero toys,超级英雄玩具,0.27%,自然搜索词,100%,51,前3页无排名,"1,840",819,"4,321",0.4,38.9%
starry night lego set,星夜乐高套装,0.27%,自然搜索词/视频广告词,5%,52,50,"1,859",831,174,10.7,31.3%
deadpool lego,死侍雷戈,0.27%,自然搜索词/视频广告词/SP广告词,65%,36,136,"1,922",927,"5,213",0.4,0.0%
the office lego set,办公室乐高套装,0.26%,自然搜索词,100%,15,前3页无排名,"2,197","1,034",33,66.6,75.0%
fortnite legos,堡垒之夜乐高积木,0.26%,SP广告词,,前3页无排名,65,"142,059","67,512","7,870",18.1,14.0%
flower legos,花乐高积木,0.25%,自然搜索词/视频广告词,11%,32,4,"1,357",555,"7,046",0.2,16.7%
legos for boys age 8-12,8-12 岁男孩的乐高积木,0.25%,自然搜索词,100%,31,前3页无排名,"13,333","6,533",33,404.0,100.0%
pokemon lego,口袋妖怪乐高,0.24%,自然搜索词/视频广告词/SP广告词,41%,16,50,837,400,161,5.2,20.0%
lego deals,乐高交易,0.24%,自然搜索词/视频广告词,31%,52,51,"1,614",653,296,5.5,60.0%
lego disney,迪士尼乐高,0.23%,自然搜索词/视频广告词/SP广告词,62%,57,160,"2,826","1,409","13,328",0.2,18.2%
lego venom,乐高毒液,0.23%,SP广告词,,前3页无排名,82,"70,033","31,711","23,968",2.9,5.0%
disney legos,迪斯尼乐高积木,0.23%,自然搜索词,100%,138,前3页无排名,"6,971","3,101",203,34.3,32.1%
gifts for 10 year old boys,给10岁男孩的礼物,0.23%,视频广告词,,前3页无排名,4,"62,134","30,760",63,986.3,70.3%
super hero toys,超级英雄玩具,0.23%,自然搜索词,100%,116,前3页无排名,"6,801","2,696","3,448",2.0,20.7%
r2d2 lego,洛克菲勒,0.22%,视频广告词,,前3页无排名,49,"46,816","19,539","2,000",23.4,0.0%
lego simba,,0.22%,自然搜索词,100%,78,前3页无排名,"1,913",765,"12,699",0.2,25.0%
lego deadpool,乐高死侍,0.22%,视频广告词,,前3页无排名,51,"44,230","21,446",231,191.5,18.9%
lego roses,乐高玫瑰,0.22%,自然搜索词,100%,125,前3页无排名,"5,389","2,216","4,101",1.3,27.6%
lego sets marvel,乐高套装奇迹,0.21%,视频广告词,,前3页无排名,122,"45,233","21,162","11,510",3.9,13.2%
lego groot,乐高格鲁特,0.20%,SP广告词,,前3页无排名,22,"39,902","15,409",116,344.0,25.9%
lego bonsai,乐高盆景,0.19%,SP广告词,,前3页无排名,1,"35,293","13,868",603,58.5,6.0%
daily bugle lego set,每日号角乐高套装,0.19%,SP广告词,,前3页无排名,65,"26,823","12,340","9,850",2.7,8.7%
groot lego,格鲁特乐高,0.18%,视频广告词,,前3页无排名,183,"31,056","12,344","15,321",2.0,11.0%
legos marvel,乐高奇迹,0.18%,视频广告词,,前3页无排名,186,"29,011","11,367","2,729",10.6,13.4%
spiderman legos,蜘蛛侠乐高积木,0.18%,自然搜索词,100%,97,前3页无排名,"2,128",881,"1,349",1.6,22.7%
lego batmobile,莱戈蝙蝠车,0.18%,视频广告词,,前3页无排名,62,"22,946","9,471",437,52.5,17.1%
toys for ages 14 and up,适用于14岁及以上的玩具,0.18%,视频广告词,,前3页无排名,6,"18,099","7,789",163,111.0,41.0%
big legos,大乐高积木,0.18%,品牌广告词/视频广告词,,前3页无排名,11,"19,870","7,659",164,121.2,9.1%
dark falcon lego,,0.18%,视频广告词,,前3页无排名,50,"13,178","6,488",749,17.6,25.0%
lego guitar,乐高吉他,0.17%,视频广告词,,前3页无排名,52,"12,400","5,801",194,63.9,49.1%
lego friends,乐高朋友系列,0.17%,视频广告词,,前3页无排名,53,"10,077","4,549","1,210",8.3,5.6%
star wars lego,乐高星球大战,0.17%,视频广告词,,前3页无排名,50,"8,802","3,997","1,173",7.5,49.3%
lego r2d2,乐高R2D2,0.16%,SP广告词,,前3页无排名,19,"8,913","3,877","2,419",3.7,11.1%
lego galaxy,乐高星系,0.16%,视频广告词,,前3页无排名,53,"8,990","4,324","4,593",2.0,6.9%
big lego sets,大乐高套装,0.16%,SP广告词,,前3页无排名,81,"7,108","3,521","24,432",0.3,9.8%
disney lego,迪斯尼乐高,0.15%,视频广告词,,前3页无排名,4,"11,600","4,547",40,290.0,78.6%
lego hulkbuster,莱戈-胡克斯特,0.15%,视频广告词,,前3页无排名,10,"6,178","2,444",248,24.9,28.6%
up lego set,乐高套装,0.15%,视频广告词,,前3页无排名,50,"7,443","3,249",289,25.8,37.7%
lego ideas,乐高创意,0.15%,视频广告词,,前3页无排名,4,"5,496","2,650","6,536",0.8,8.7%
all the lego sets,,0.14%,SP广告词,,前3页无排名,134,"4,772","2,254","24,418",0.2,11.1%
legos for boys,男孩的乐高积木,0.14%,视频广告词,,前3页无排名,99,"5,761","2,699","1,757",3.3,18.5%
lego marvel the avengers vs the leviathan,,0.14%,SP广告词,,前3页无排名,134,"4,440","2,053","1,727",2.6,0.0%
lego sale,莱戈销售,0.14%,视频广告词,,前3页无排名,50,"4,260","2,124",173,24.6,31.0%
large lego sets,大型乐高套装,0.13%,SP广告词,,前3页无排名,4,"4,578","2,188","2,472",1.9,20.0%
toys,玩具,0.13%,SP广告词,,前3页无排名,125,"3,555","1,656","3,254",1.1,0.0%
lego iron man,乐高铁人,0.13%,视频广告词,,前3页无排名,50,"3,810","1,725",539,7.1,34.0%
lego wolverine,乐高狼牙棒,0.13%,,,,,,,,,
lego nintendo,乐高任天堂,0.13%,,,,,,,,,
cool lego sets,酷乐高套装,0.13%,,,,,,,,,
lego van gogh,乐高梵高,0.13%,,,,,,,,,
avengers tower lego set,复仇者联盟塔乐高套装,0.12%,,,,,,,,,
lego avengers,乐高复仇者联盟,0.12%,,,,,,,,,
lego milky way galaxy,,0.12%,,,,,,,,,
iron man lego sets,钢铁侠乐高套装,0.12%,,,,,,,,,
lego xmen,乐高xmen,0.11%,,,,,,,,,
avengers lego sets,复仇者联盟乐高套装,0.11%,,,,,,,,,
mario lego set,马里奥乐高套装,0.11%,,,,,,,,,
lego pokemon,乐高宝可梦,0.11%,,,,,,,,,
lego statue of liberty,乐高自由女神像,0.11%,,,,,,,,,
wolverine lego,金刚狼乐高,0.11%,,,,,,,,,
deadpool lego sets,死侍乐高套装,0.10%,,,,,,,,,
lego marvel dancing groot,,0.10%,,,,,,,,,
lego icons roses,,0.10%,,,,,,,,,
lego hulk,莱戈-绿巨人,0.10%,,,,,,,,,
